Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-11-16,0.001121,0.001121,0.001107,0.001113,3.0,85.0,0.0
2015-11-17,0.001113,0.001492,0.000807,0.000827,4.0,85.0,0.0
2015-11-18,0.000825,0.007813,0.00082,0.001312,20.0,70.0,0.0
2015-11-19,0.001312,0.007167,0.001144,0.001155,25.0,1434.0,0.0
2015-11-20,0.001157,0.006702,0.000913,0.002476,119.0,1273.0,0.0
2015-11-21,0.002477,0.004605,0.001097,0.001167,61.0,2747.0,0.0
2015-11-22,0.001168,0.003311,0.001072,0.002341,40.0,1304.0,0.0
2015-11-23,0.00234,0.002372,0.000484,0.001061,43.0,2629.0,0.0
2015-11-24,0.001061,0.001156,0.000493,0.000603,13.0,1200.0,0.0
2015-11-25,0.000603,0.001983,0.000538,0.001166,73.0,687.0,0.0
2015-11-26,0.001166,0.002198,0.000881,0.000889,42.0,1338.0,0.0
2015-11-27,0.000887,0.001084,0.000615,0.000637,30.0,1024.0,0.0
2015-11-28,0.000635,0.000811,0.000593,0.000692,17.0,738.0,0.0
2015-11-29,0.000692,0.000699,0.000461,0.000485,12.0,809.0,0.0
2015-11-30,0.000486,0.00091,0.000227,0.000566,49.0,571.0,0.0
2015-12-01,0.000566,0.00131,0.000407,0.000606,129.0,670.0,0.0
2015-12-02,0.000605,0.000868,0.00043,0.000536,21.0,720.0,0.0
2015-12-03,0.000536,0.000841,0.000535,0.000567,114.0,643.0,0.0
2015-12-04,0.000567,0.000669,0.000514,0.000545,10.0,685.0,0.0
2015-12-05,0.000546,0.000585,0.000545,0.000573,20.0,662.0,0.0
2015-12-06,0.000574,0.000731,0.000319,0.000319,32.0,701.0,0.0
2015-12-07,0.00032,0.001587,0.00032,0.00055,133.0,393.0,0.0
2015-12-08,0.00055,0.001105,0.000548,0.000692,71.0,680.0,0.0
2015-12-09,0.00069,0.000851,0.000593,0.00065,33.0,858.0,0.0
2015-12-10,0.000651,0.000653,0.000576,0.000578,14.0,814.0,0.0
2015-12-11,0.000578,0.000669,0.00056,0.00061,19.0,727.0,0.0
2015-12-12,0.000611,0.000635,0.000413,0.00042,16.0,773.0,0.0
2015-12-13,0.00042,0.000523,0.00035,0.000417,19.0,536.0,0.0
2015-12-14,0.000417,0.000466,0.00034,0.000345,7.0,534.0,0.0
2015-12-15,0.000354,0.00044,0.000144,0.00034,22.0,456.0,0.0
