Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-04-06,0.8951,1.37,0.840433,1.37,10317.0,-1.0,1.11
2017-04-07,1.36,1.39,0.873077,1.12,15162.0,-1.0,1.13
2017-04-08,1.11,1.18,0.907787,1.05,3561.0,-1.0,1.04
2017-04-09,1.05,1.12,0.944391,1.07,5961.0,-1.0,1.03
2017-04-10,1.07,1.07,0.659187,0.754041,6051.0,-1.0,0.86
2017-04-11,0.754251,1.08,0.740978,0.955971,10542.0,-1.0,0.91
2017-04-12,0.955812,1.08,0.921556,0.982347,9581.0,-1.0,1.0
2017-04-13,0.982879,1.26,0.914477,1.1,12704.0,-1.0,1.09
2017-04-14,1.05,1.19,0.963666,1.07,10807.0,-1.0,1.08
2017-04-15,1.07,1.4,1.02,1.23,21858.0,-1.0,1.21
2017-04-16,1.23,1.53,1.15,1.29,21806.0,-1.0,1.34
2017-04-17,1.33,1.61,1.2,1.43,15783.0,-1.0,1.41
2017-04-18,1.43,1.45,1.25,1.35,16569.0,-1.0,1.35
2017-04-19,1.35,1.52,1.26,1.32,19621.0,-1.0,1.39
2017-04-20,1.32,1.72,1.28,1.49,25011.0,-1.0,1.5
2017-04-21,1.49,1.7,1.36,1.36,18857.0,-1.0,1.53
2017-04-22,1.29,2.05,1.29,2.04,28837.0,-1.0,1.67
2017-04-23,2.04,3.54,1.79,2.44,74457.0,-1.0,2.67
2017-04-24,2.65,3.28,2.43,3.01,63208.0,-1.0,2.85
2017-04-25,3.08,3.2,2.78,2.78,36217.0,-1.0,2.99
2017-04-26,2.83,3.14,2.64,2.97,32928.0,-1.0,2.89
2017-04-27,2.96,3.1,2.79,2.98,31284.0,2489610.0,2.95
2017-04-28,2.98,3.05,2.62,2.83,46023.0,2517880.0,2.83
2017-04-29,2.83,3.53,2.66,3.05,31456.0,2389930.0,3.09
2017-04-30,3.29,3.29,3.04,3.07,21250.0,2780690.0,3.17
2017-05-01,3.16,3.37,3.0,3.22,28659.0,2672500.0,3.19
2017-05-02,3.24,3.33,1.94,2.34,33696.0,2748230.0,2.63
2017-05-03,2.36,3.41,2.33,3.41,34027.0,2004430.0,2.87
2017-05-04,3.18,3.42,2.3,2.61,27900.0,2705480.0,2.86
2017-05-05,2.68,3.17,2.68,2.89,22275.0,2276870.0,2.92
2017-05-06,2.89,3.15,2.1,2.84,38490.0,2461890.0,2.62
2017-05-07,2.84,3.25,2.42,2.59,17388.0,2421120.0,2.83
2017-05-08,2.41,2.94,2.3,2.58,22290.0,2055000.0,2.62
2017-05-09,2.58,3.11,2.48,2.62,17642.0,2197870.0,2.79
2017-05-10,2.62,2.88,2.34,2.61,15468.0,2231210.0,2.61
2017-05-11,2.71,3.34,2.65,3.07,25416.0,2307390.0,3.0
2017-05-12,3.11,3.26,2.91,2.96,22549.0,2648930.0,3.08
2017-05-13,2.95,2.97,2.32,2.75,19546.0,2517620.0,2.65
2017-05-14,2.79,3.22,2.79,3.14,23813.0,2388560.0,3.0
2017-05-15,3.21,3.21,2.48,2.65,17614.0,2747130.0,2.84
2017-05-16,2.64,2.95,2.32,2.65,17396.0,2270410.0,2.63
2017-05-17,2.64,2.84,2.48,2.52,21333.0,2272600.0,2.66
2017-05-18,2.51,2.73,1.39,2.73,54963.0,2164040.0,2.06
2017-05-19,2.73,2.77,2.49,2.65,18436.0,2360390.0,2.63
2017-05-20,2.58,2.85,2.55,2.71,15325.0,2232420.0,2.7
2017-05-21,2.71,3.1,2.62,2.77,22178.0,2340920.0,2.86
2017-05-22,2.77,3.09,2.66,2.78,20367.0,2399360.0,2.88
2017-05-23,2.78,3.05,2.45,2.86,29831.0,2400580.0,2.75
2017-05-24,2.87,3.41,2.87,3.22,18185.0,2478940.0,3.14
2017-05-25,3.21,3.47,2.73,2.89,11788.0,2781030.0,3.1
2017-05-26,2.87,3.24,2.15,2.51,9861.0,2482530.0,2.7
2017-05-27,2.52,2.81,2.09,2.3,4769.0,2177090.0,2.45
2017-05-28,2.32,2.5,2.12,2.37,7170.0,2007070.0,2.31
2017-05-29,2.45,4.01,2.41,3.54,25840.0,2123110.0,3.21
2017-05-30,3.55,5.15,3.45,3.52,37077.0,3070950.0,4.3
2017-05-31,3.75,4.54,3.5,4.23,48735.0,3246320.0,4.02
2017-06-01,4.13,4.81,3.93,4.62,17494.0,3587340.0,4.37
2017-06-02,4.49,4.88,3.98,4.17,32634.0,3901680.0,4.43
2017-06-03,4.16,4.59,3.51,4.01,26116.0,3622610.0,4.05
2017-06-04,4.01,4.14,3.4,3.59,19099.0,3493860.0,3.77
2017-06-05,3.63,4.72,3.43,4.09,24523.0,3164940.0,4.08
2017-06-06,4.65,5.97,4.14,4.79,51508.0,4058160.0,5.05
2017-06-07,4.87,5.72,4.22,4.48,21716.0,4265290.0,4.97
2017-06-08,4.4,5.27,3.9,4.86,24524.0,3855180.0,4.58
2017-06-09,4.63,5.07,4.07,4.63,23584.0,4060020.0,4.57
2017-06-10,4.53,4.81,3.89,4.29,21337.0,3969070.0,4.35
2017-06-11,4.28,5.18,4.09,4.58,40090.0,3753690.0,4.63
2017-06-12,4.41,5.19,3.78,5.04,71420.0,3864640.0,4.49
2017-06-13,4.66,5.68,4.66,5.5,97564.0,4089010.0,5.17
2017-06-14,5.32,5.78,4.54,5.16,65665.0,4669740.0,5.16
2017-06-15,5.02,5.46,4.13,4.64,25467.0,4411350.0,4.79
2017-06-16,4.71,5.46,4.3,4.94,33225.0,4146700.0,4.88
2017-06-17,4.8,5.94,4.75,5.34,43041.0,4231310.0,5.35
2017-06-18,5.44,6.24,5.17,6.24,62559.0,4817790.0,5.71
2017-06-19,5.92,8.12,5.91,7.56,113819.0,5264040.0,7.01
2017-06-20,7.59,9.99,6.27,7.84,132760.0,6794360.0,8.13
2017-06-21,7.75,8.31,7.23,7.34,55188.0,6984070.0,7.77
2017-06-22,7.72,8.29,7.07,8.03,52788.0,6970550.0,7.68
2017-06-23,7.86,10.4,7.49,10.26,125542.0,7113270.0,8.95
2017-06-24,10.27,10.48,9.44,9.82,104097.0,9322380.0,9.96
2017-06-25,9.51,10.0,9.17,9.43,85092.0,8679150.0,9.59
2017-06-26,9.53,9.69,6.57,8.95,91698.0,8720250.0,8.13
2017-06-27,9.12,9.33,8.16,9.05,65263.0,8382660.0,8.75
2017-06-28,9.11,12.71,8.91,12.52,249395.0,8393910.0,10.81
2017-06-29,12.33,12.81,10.98,12.18,150098.0,11376300.0,11.89
2017-06-30,12.2,14.73,11.62,14.18,246533.0,11333300.0,13.18
2017-07-01,14.05,23.62,14.01,21.06,647145.0,13131400.0,18.82
2017-07-02,21.61,21.61,18.84,20.74,229278.0,20384100.0,20.23
2017-07-03,20.67,23.11,19.88,22.4,296738.0,19573500.0,21.49
2017-07-04,22.26,23.32,21.83,22.75,288360.0,21174700.0,22.57
2017-07-05,22.81,40.29,21.92,37.38,1478440.0,21769800.0,31.11
2017-07-06,37.17,46.1,33.86,41.56,1083020.0,35603000.0,39.98
2017-07-07,42.16,49.07,26.17,34.74,1543120.0,40590000.0,37.62
2017-07-08,34.87,36.58,29.97,32.65,433534.0,33836800.0,33.27
2017-07-09,32.73,33.56,22.83,27.5,540454.0,31993500.0,28.2
2017-07-10,27.18,31.65,24.88,26.74,392072.0,26657400.0,28.27
2017-07-11,26.67,26.67,22.29,24.26,426426.0,26267400.0,24.48
2017-07-12,24.22,29.52,23.32,28.38,356367.0,23974400.0,26.42
2017-07-13,29.12,29.74,25.8,26.45,383475.0,28926500.0,27.77
2017-07-14,26.15,27.02,15.38,21.22,474069.0,26114300.0,21.2
2017-07-15,21.19,21.19,5.21,13.12,528970.0,21217600.0,13.2
2017-07-16,13.14,13.54,11.2,12.22,123929.0,13177100.0,12.37
2017-07-17,12.01,14.74,12.0,14.72,133472.0,12050300.0,13.37
2017-07-18,14.7,15.69,11.54,13.22,165145.0,14761700.0,13.61
2017-07-19,13.24,14.28,10.3,12.33,162377.0,13310200.0,12.29
2017-07-20,11.28,13.19,8.81,10.99,292849.0,11341900.0,11.0
2017-07-21,11.07,11.31,8.99,10.1,115093.0,11142500.0,10.15
2017-07-22,10.0,11.75,9.92,11.17,83331.0,10065700.0,10.84
2017-07-23,11.05,11.41,9.86,10.52,74862.0,11130700.0,10.63
2017-07-24,10.69,11.1,10.45,10.85,85625.0,10763600.0,10.77
2017-07-25,10.85,14.2,10.18,12.8,107927.0,10929200.0,12.19
2017-07-26,13.67,13.95,11.52,13.67,104121.0,13778100.0,12.73
2017-07-27,13.71,14.92,13.33,14.33,170543.0,13817500.0,14.12
2017-07-28,14.56,15.07,9.95,12.01,123847.0,14696400.0,12.51
2017-07-29,11.43,12.21,10.66,11.04,65133.0,11540400.0,11.44
2017-07-30,11.06,12.14,10.45,11.17,43259.0,11167500.0,11.29
2017-07-31,11.1,11.5,10.35,10.36,54541.0,11213500.0,10.93
2017-08-01,10.37,12.51,9.98,10.86,49466.0,10477100.0,11.25
2017-08-02,10.98,11.1,7.55,10.52,88346.0,11095400.0,9.32
2017-08-03,9.3,10.32,7.92,8.2,62838.0,9405950.0,9.12
2017-08-04,8.37,12.04,7.95,9.28,99041.0,8460140.0,9.99
2017-08-05,9.26,11.59,9.23,10.74,196871.0,9367460.0,10.41
2017-08-06,10.66,11.2,10.2,10.34,43270.0,10786700.0,10.7
2017-08-07,10.53,11.11,9.77,10.14,52865.0,10651800.0,10.44
2017-08-08,10.13,10.19,8.53,8.72,49483.0,10249600.0,9.36
2017-08-09,8.97,11.14,8.62,10.7,110614.0,9073010.0,9.88
2017-08-10,10.7,11.14,10.38,10.84,63126.0,10824400.0,10.76
2017-08-11,10.84,10.94,9.85,9.86,69443.0,10964400.0,10.39
2017-08-12,9.91,12.11,9.83,10.18,52986.0,10028400.0,10.97
2017-08-13,10.28,11.09,9.78,10.1,74671.0,10406200.0,10.43
2017-08-14,10.11,11.0,9.9,10.15,57139.0,10239600.0,10.45
2017-08-15,10.51,10.66,8.44,9.49,65400.0,10640300.0,9.55
2017-08-16,9.51,9.69,8.43,9.61,43235.0,9635330.0,9.06
2017-08-17,9.6,9.93,8.85,9.06,51676.0,9725420.0,9.39
2017-08-18,9.21,9.46,8.35,8.64,64382.0,9335930.0,8.91
2017-08-19,8.7,9.32,8.13,8.75,68911.0,8823830.0,8.73
2017-08-20,8.74,8.9,8.0,8.59,62067.0,8862180.0,8.45
2017-08-21,8.49,8.7,8.01,8.23,41858.0,8618770.0,8.36
2017-08-22,8.23,8.91,7.57,8.64,57550.0,8350400.0,8.24
2017-08-23,8.63,9.07,8.35,8.61,130332.0,8755210.0,8.71
2017-08-24,8.61,9.14,8.42,8.92,60907.0,8737220.0,8.78
2017-08-25,8.84,9.08,7.62,7.86,73445.0,8989540.0,8.35
2017-08-26,7.88,7.9,6.49,7.69,3685.0,8053950.0,7.2
2017-08-27,7.69,11.63,7.06,9.19,4872.0,7904380.0,9.35
2017-08-28,9.18,9.18,5.77,6.37,87166.0,9493500.0,7.47
2017-08-29,6.45,6.65,5.77,6.26,71581.0,6712440.0,6.21
2017-08-30,6.15,6.6,5.84,6.24,75887.0,6434410.0,6.22
2017-08-31,6.16,6.64,6.1,6.35,58533.0,6481200.0,6.37
2017-09-01,6.32,7.08,6.13,6.84,96522.0,6680000.0,6.61
2017-09-02,6.88,6.96,6.21,6.38,74940.0,7321280.0,6.58
2017-09-03,6.43,6.56,5.85,6.12,64450.0,6880240.0,6.21
2017-09-04,6.17,6.22,4.85,5.23,71986.0,6632590.0,5.54
2017-09-05,5.19,5.4,4.24,5.27,59162.0,5608100.0,4.82
2017-09-06,5.17,5.36,4.24,4.87,65205.0,5619180.0,4.8
2017-09-07,4.86,5.92,4.72,5.11,62552.0,5312660.0,5.32
2017-09-08,5.02,5.23,4.17,4.35,54142.0,5512820.0,4.7
2017-09-09,4.36,4.68,4.19,4.48,35647.0,4816690.0,4.44
2017-09-10,4.36,4.46,3.83,4.16,35943.0,4844150.0,4.14
2017-09-11,4.28,4.33,3.8,3.8,34535.0,4778110.0,4.06
2017-09-12,3.85,4.04,3.38,3.87,56911.0,4321450.0,3.71
2017-09-13,3.85,5.45,3.46,4.37,98431.0,4344360.0,4.46
2017-09-14,4.39,6.83,4.21,5.34,152091.0,4978950.0,5.52
2017-09-15,5.36,5.68,3.73,5.0,84345.0,6108830.0,4.71
2017-09-16,4.95,5.28,4.21,4.39,61591.0,5672610.0,4.75
2017-09-17,4.42,5.35,3.92,4.62,56661.0,5083660.0,4.63
2017-09-18,4.69,5.08,4.47,4.66,52125.0,5426410.0,4.78
2017-09-19,4.69,4.91,4.35,4.41,35692.0,5453500.0,4.63
