Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-03-26,0.016243,0.020638,0.016207,0.016262,92.0,187268.0,0.02
2014-03-27,0.016253,0.073314,0.015721,0.031635,6059.0,187452.0,0.04
2014-03-28,0.035269,0.04984,0.01336,0.049696,5504.0,407840.0,0.03
2014-03-29,0.038964,0.045658,0.025854,0.040892,5059.0,452969.0,0.04
2014-03-30,0.042444,0.059028,0.037755,0.055347,17292.0,493465.0,0.05
2014-03-31,0.053115,0.234989,0.051792,0.174376,26361.0,620159.0,0.14
2014-04-01,0.174151,0.178356,0.062401,0.110877,8250.0,2036540.0,0.12
2014-04-02,0.114827,0.125904,0.025558,0.040017,3321.0,1344940.0,0.08
2014-04-03,0.040138,0.096442,0.030137,0.062616,6552.0,470758.0,0.06
2014-04-04,0.062707,0.142238,0.058058,0.118084,18225.0,736625.0,0.1
2014-04-05,0.11824,0.126299,0.09249,0.114346,11792.0,1391460.0,0.11
2014-04-06,0.114514,0.122184,0.069717,0.088641,5793.0,1349510.0,0.1
2014-04-07,0.089102,0.095523,0.049673,0.052009,2335.0,1051480.0,0.07
2014-04-08,0.051795,0.089239,0.046727,0.077973,1546.0,612114.0,0.07
2014-04-09,0.077528,0.085458,0.047894,0.074055,1493.0,917526.0,0.07
2014-04-10,0.073874,0.109949,0.055457,0.06225,5597.0,875709.0,0.08
2014-04-11,0.061822,0.075075,0.034924,0.054245,4387.0,734001.0,0.05
2014-04-12,0.057698,0.062959,0.033833,0.038008,2078.0,685893.0,0.05
2014-04-13,0.038,0.050354,0.027028,0.033958,1778.0,452432.0,0.04
2014-04-14,0.03391,0.044753,0.026639,0.032437,4540.0,404322.0,0.04
2014-04-15,0.032484,0.036755,0.015984,0.030973,1171.0,387856.0,0.03
2014-04-16,0.030935,0.057698,0.018127,0.027681,2325.0,369845.0,0.04
2014-04-17,0.027685,0.033676,0.011874,0.030029,4575.0,331429.0,0.02
2014-04-18,0.030089,0.030351,0.015147,0.021944,3682.0,360723.0,0.02
2014-04-19,0.021904,0.022361,0.013447,0.01404,3550.0,263024.0,0.02
2014-04-20,0.014141,0.01981,0.00809,0.010875,3836.0,170043.0,0.01
2014-04-21,0.010908,0.015826,0.006065,0.014565,582.0,131351.0,0.01
2014-04-22,0.014555,0.014601,0.009498,0.010452,309.0,175527.0,0.01
2014-04-23,0.01045,0.014419,0.008034,0.00804,2254.0,126195.0,0.01
2014-04-24,0.008058,0.012659,0.005926,0.009132,2937.0,97450.0,0.01
2014-04-25,0.009134,0.009134,0.0046,0.005721,3475.0,110625.0,0.01
2014-04-26,0.007261,0.007423,0.004596,0.007423,1972.0,88064.0,0.01
2014-04-27,0.007426,0.007426,0.004562,0.005546,277.0,90208.0,0.01
2014-04-28,0.005522,0.006584,0.004435,0.004442,1457.0,67173.0,0.01
2014-04-29,0.004444,0.006598,0.004339,0.005085,2379.0,54143.0,0.01
2014-04-30,0.005085,0.005085,0.00402,0.005006,611.0,62032.0,0.0
2014-05-01,0.005015,0.005148,0.003993,0.004196,630.0,61261.0,0.0
2014-05-02,0.0042,0.004201,0.001783,0.004175,464.0,51381.0,0.0
2014-05-03,0.004167,0.00493,0.001461,0.004043,260.0,51049.0,0.0
2014-05-04,0.004036,0.004367,0.001108,0.004229,431.0,49520.0,0.0
2014-05-05,0.004236,0.004772,0.003641,0.004772,464.0,52052.0,0.0
2014-05-06,0.004776,0.004968,0.003045,0.00427,898.0,58777.0,0.0
2014-05-07,0.004256,0.005023,0.003006,0.004817,492.0,52450.0,0.0
2014-05-08,0.004922,0.004999,0.001031,0.003369,2536.0,60747.0,0.0
2014-05-09,0.003367,0.003368,0.002425,0.002626,316.0,41616.0,0.0
2014-05-10,0.002623,0.003762,0.002579,0.003617,853.0,32458.0,0.0
2014-05-11,0.003615,0.004134,0.002417,0.002423,1129.0,44803.0,0.0
2014-05-12,0.002423,0.004525,0.002303,0.002497,1809.0,30065.0,0.0
2014-05-13,0.002864,0.002911,0.00058,0.001779,875.0,35599.0,0.0
2014-05-14,0.001776,0.002003,0.000738,0.000956,118.0,22099.0,0.0
2014-05-15,0.000955,0.005664,0.000892,0.001133,110.0,11909.0,0.0
2014-05-16,0.001134,0.002686,0.001118,0.001134,0.0,14149.0,0.0
2014-05-17,0.001133,0.001136,0.001119,0.001123,5.0,14169.0,0.0
2014-05-18,0.001124,0.003143,0.001122,0.003143,175.0,14075.0,0.0
2014-05-19,0.003145,0.004316,0.001139,0.001171,17.0,39430.0,0.0
2014-05-20,0.001165,0.004407,0.001165,0.004257,46.0,14621.0,0.0
2014-05-21,0.004256,0.004794,0.001793,0.003964,413.0,53513.0,0.0
2014-05-22,0.003966,0.018106,0.003035,0.011971,1461.0,49934.0,0.01
2014-05-23,0.011987,0.01218,0.004944,0.006021,113.0,151158.0,0.01
2014-05-24,0.006015,0.009604,0.00517,0.005516,106.0,75953.0,0.01
2014-05-25,0.005516,0.008431,0.002091,0.002163,422.0,69744.0,0.01
2014-05-26,0.002166,0.009291,0.002143,0.009119,297.0,27431.0,0.01
2014-05-27,0.009123,0.009409,0.004943,0.005128,236.0,115692.0,0.01
2014-05-28,0.005134,0.005992,0.00258,0.002894,128.0,65200.0,0.0
2014-05-29,0.002803,0.005618,0.002683,0.005591,63.0,35644.0,0.0
2014-05-30,0.005591,0.005609,0.002932,0.003421,0.0,71203.0,0.0
2014-05-31,0.003421,0.00645,0.003361,0.006436,149.0,43630.0,0.0
2014-06-01,0.006426,0.006693,0.003143,0.005545,29.0,82056.0,0.0
2014-06-02,0.005555,0.006804,0.00313,0.006748,109.0,71026.0,0.0
2014-06-03,0.006754,0.009827,0.003875,0.00494,274.0,86495.0,0.01
2014-06-04,0.00494,0.005971,0.003083,0.003083,137.0,63347.0,0.0
2014-06-05,0.003084,0.006743,0.002896,0.005383,100.0,39594.0,0.0
2014-06-06,0.005388,0.00796,0.003392,0.007957,100.0,69281.0,0.01
2014-06-07,0.007951,0.009798,0.003911,0.004056,101.0,102384.0,0.01
2014-06-08,0.004056,0.010332,0.003935,0.009226,335.0,52303.0,0.01
