Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-30,0.000127,0.00014,0.000121,0.000128,4885.0,-1.0,0.0
2016-10-01,0.000128,0.000234,0.000122,0.000153,8338.0,-1.0,0.0
2016-10-02,0.00016,0.00016,0.000134,0.000141,2005.0,-1.0,0.0
2016-10-03,0.000141,0.000153,0.000128,0.000141,2284.0,-1.0,0.0
2016-10-04,0.000141,0.000147,0.000122,0.000128,1267.0,8446.0,0.0
2016-10-05,0.000128,0.000134,6.7e-05,7.4e-05,271.0,7689.0,0.0
2016-10-06,7.3e-05,0.000116,4.3e-05,8.6e-05,823.0,4410.0,0.0
2016-10-07,8.6e-05,0.00011,6.8e-05,8e-05,130.0,5146.0,0.0
2016-10-08,8e-05,8e-05,6.2e-05,7.4e-05,55.0,4815.0,0.0
2016-10-09,6.8e-05,0.000142,6.2e-05,8e-05,848.0,4087.0,0.0
2016-10-10,8e-05,0.000111,8e-05,8.7e-05,17.0,4811.0,0.0
2016-10-11,8.7e-05,0.000102,8.7e-05,9e-05,123.0,5202.0,0.0
2016-10-12,9e-05,0.000102,7e-05,9.5e-05,123.0,5383.0,0.0
2016-10-13,9.5e-05,0.000102,5.7e-05,5.7e-05,45.0,5724.0,0.0
2016-10-14,5.7e-05,6.4e-05,4.5e-05,4.5e-05,40.0,3440.0,0.0
2016-10-15,4.5e-05,5.8e-05,3.8e-05,5.1e-05,34.0,2690.0,0.0
2016-10-16,5.1e-05,5.1e-05,3.2e-05,3.2e-05,14.0,3068.0,0.0
2016-10-17,3.2e-05,5.1e-05,3.2e-05,4.5e-05,18.0,1925.0,0.0
2016-10-18,4.5e-05,6.4e-05,4.5e-05,6.4e-05,44.0,2686.0,0.0
2016-10-19,6.4e-05,9.6e-05,4.5e-05,8.8e-05,63.0,3829.0,0.0
2016-10-20,8.8e-05,8.8e-05,6.3e-05,8.8e-05,1.0,5298.0,0.0
2016-10-21,8.8e-05,8.9e-05,5.7e-05,7.6e-05,12.0,5299.0,0.0
2016-10-22,7.6e-05,8.6e-05,5.7e-05,8.5e-05,3.0,4559.0,0.0
2016-10-23,8.5e-05,8.6e-05,5.9e-05,5.9e-05,0.0,5129.0,0.0
2016-10-24,5.9e-05,6.6e-05,3.3e-05,3.9e-05,88.0,3549.0,0.0
2016-10-25,3.9e-05,5.9e-05,2.6e-05,2.6e-05,68.0,2354.0,0.0
2016-10-26,2.6e-05,4.7e-05,2.6e-05,3.4e-05,32.0,1578.0,0.0
2016-10-27,3.4e-05,8.9e-05,3.4e-05,7.6e-05,181.0,2035.0,0.0
2016-10-28,7.6e-05,7.6e-05,4.8e-05,6.9e-05,25.0,4543.0,0.0
2016-10-29,6.9e-05,6.9e-05,4.8e-05,5e-05,4.0,4142.0,0.0
2016-10-30,5e-05,5.7e-05,4.9e-05,5.6e-05,6.0,2999.0,0.0
2016-10-31,5.6e-05,7e-05,5.6e-05,6.3e-05,22.0,3369.0,0.0
2016-11-01,6.3e-05,6.6e-05,5.1e-05,5.1e-05,7.0,3787.0,0.0
2016-11-02,5.1e-05,5.1e-05,3.6e-05,3.7e-05,58.0,3066.0,0.0
2016-11-03,3.7e-05,4.5e-05,3.7e-05,4.1e-05,1.0,2227.0,0.0
2016-11-04,4.1e-05,4.9e-05,3.5e-05,4.2e-05,4.0,2481.0,0.0
2016-11-05,4.2e-05,4.2e-05,4.2e-05,4.2e-05,0.0,2533.0,0.0
2016-11-06,4.2e-05,7.1e-05,4.2e-05,6.4e-05,21.0,2534.0,0.0
2016-11-07,6.4e-05,6.4e-05,5.6e-05,5.6e-05,0.0,3842.0,0.0
2016-11-08,5.6e-05,5.7e-05,5.6e-05,5.6e-05,0.0,3375.0,0.0
2016-11-09,4.3e-05,4.4e-05,4.3e-05,4.3e-05,7.0,2593.0,0.0
2016-11-10,4.3e-05,6.4e-05,4.3e-05,5e-05,39.0,2602.0,0.0
2016-11-11,5e-05,5.7e-05,5e-05,5.7e-05,14.0,3005.0,0.0
2016-11-12,5.7e-05,5.7e-05,3.5e-05,5.6e-05,17.0,3440.0,0.0
2016-11-13,5.6e-05,5.6e-05,5.5e-05,5.6e-05,1.0,3385.0,0.0
