Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-05-05,0.07468,0.074743,0.074678,0.074713,488.0,-1.0,0.07
2016-05-06,0.074675,0.08871,0.073885,0.088641,1959.0,-1.0,0.08
2016-05-07,0.088597,0.088606,0.077253,0.083392,959.0,-1.0,0.08
2016-05-08,0.08339,0.084637,0.076618,0.078831,756.0,-1.0,0.08
2016-05-09,0.078731,0.086436,0.071692,0.080455,2009.0,-1.0,0.08
2016-05-10,0.080446,0.086509,0.072952,0.074642,924.0,-1.0,0.08
2016-05-11,0.074647,0.078814,0.06926,0.071064,1491.0,-1.0,0.07
2016-05-12,0.071092,0.07658,0.069953,0.073764,1856.0,-1.0,0.07
2016-05-13,0.073911,0.074235,0.070679,0.070899,962.0,-1.0,0.07
2016-05-14,0.070857,0.071202,0.063538,0.068216,798.0,-1.0,0.07
2016-05-15,0.068219,0.070267,0.062121,0.068106,575.0,-1.0,0.07
2016-05-16,0.068064,0.071938,0.063097,0.068042,1025.0,-1.0,0.07
2016-05-17,0.068011,0.075081,0.061192,0.068664,2806.0,-1.0,0.07
2016-05-18,0.06866,0.069651,0.05867,0.05867,1175.0,-1.0,0.06
2016-05-19,0.058537,0.065068,0.054019,0.057917,690.0,-1.0,0.06
2016-05-20,0.05792,0.059909,0.050387,0.052023,1162.0,-1.0,0.06
2016-05-21,0.052031,0.052043,0.039552,0.042659,843.0,-1.0,0.05
2016-05-22,0.04266,0.047812,0.035888,0.036413,690.0,-1.0,0.04
2016-05-23,0.036429,0.040476,0.035915,0.040475,455.0,-1.0,0.04
2016-05-24,0.040464,0.065051,0.040464,0.061652,899.0,-1.0,0.05
2016-05-25,0.061696,0.06296,0.053624,0.053829,388.0,563680.0,0.06
2016-05-26,0.05383,0.081664,0.053828,0.077003,3378.0,491817.0,0.07
2016-05-27,0.076993,0.083877,0.075386,0.081902,1597.0,703443.0,0.08
2016-05-28,0.081866,0.085824,0.075707,0.08344,1605.0,747965.0,0.08
2016-05-29,0.083249,0.083495,0.068536,0.071049,970.0,760597.0,0.08
2016-05-30,0.071086,0.07789,0.070366,0.071619,582.0,649472.0,0.07
2016-05-31,0.071709,0.077678,0.069803,0.073299,422.0,655166.0,0.07
2016-06-01,0.073266,0.09806,0.07157,0.07742,947.0,669394.0,0.08
2016-06-02,0.077413,0.080428,0.072295,0.080319,302.0,707285.0,0.08
2016-06-03,0.080333,0.089929,0.080272,0.081979,1084.0,733962.0,0.09
2016-06-04,0.082037,0.086862,0.075683,0.075683,1557.0,749533.0,0.08
2016-06-05,0.075738,0.088358,0.075397,0.077494,154.0,691979.0,0.08
2016-06-06,0.077487,0.079081,0.075045,0.078643,833.0,707959.0,0.08
2016-06-07,0.078643,0.082818,0.076641,0.080094,1180.0,718522.0,0.08
2016-06-08,0.080109,0.084599,0.079018,0.084487,1378.0,731913.0,0.08
2016-06-09,0.084502,0.097875,0.082966,0.097761,1997.0,772052.0,0.09
2016-06-10,0.097811,0.097822,0.083743,0.088628,719.0,893644.0,0.09
2016-06-11,0.088607,0.088783,0.07953,0.088617,923.0,809552.0,0.08
2016-06-12,0.088705,0.090591,0.045027,0.068234,1923.0,810448.0,0.07
2016-06-13,0.068327,0.070788,0.04014,0.050472,2622.0,624265.0,0.06
2016-06-14,0.050476,0.071171,0.036346,0.048596,1687.0,461176.0,0.05
2016-06-15,0.048595,0.059641,0.036735,0.048126,1464.0,443984.0,0.05
2016-06-16,0.048212,0.064753,0.035689,0.052193,3796.0,440485.0,0.05
2016-06-17,0.052206,0.054072,0.0427,0.045606,3232.0,476976.0,0.05
2016-06-18,0.045633,0.048593,0.022592,0.034564,4375.0,416928.0,0.04
