Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-05-15,0.00017,0.000171,0.000116,0.000116,644.0,18794.0,0.0
2014-05-16,0.000116,0.000184,0.000116,0.000175,218.0,12831.0,0.0
2014-05-17,0.000175,0.000229,0.000175,0.000197,80.0,19284.0,0.0
2014-05-18,0.000198,0.000224,0.000183,0.000189,422.0,21801.0,0.0
2014-05-19,0.000189,0.000191,0.000127,0.000128,321.0,20916.0,0.0
2014-05-20,0.000128,0.000212,0.000115,0.000156,259.0,14173.0,0.0
2014-05-21,0.00015,0.000161,0.00012,0.000161,195.0,16599.0,0.0
2014-05-22,0.000161,0.000205,8.3e-05,0.000144,424.0,17821.0,0.0
2014-05-23,0.000144,0.000256,6.3e-05,0.00025,636.0,15898.0,0.0
2014-05-24,0.00025,0.000252,0.000135,0.000252,108.0,27621.0,0.0
2014-05-25,0.000252,0.000254,0.0001,0.000125,252.0,27850.0,0.0
2014-05-26,0.000125,0.000193,5.2e-05,0.00019,263.0,13784.0,0.0
2014-05-27,0.00019,0.000201,9.6e-05,0.00013,104.0,21014.0,0.0
2014-05-28,0.00013,0.000132,9.4e-05,0.000113,73.0,14340.0,0.0
2014-05-29,0.000113,0.000127,7.5e-05,0.000101,130.0,12496.0,0.0
2014-05-30,0.000101,0.000114,8.1e-05,0.000113,35.0,11140.0,0.0
2014-05-31,0.000113,0.000164,7.9e-05,0.000132,168.0,12535.0,0.0
2014-06-01,0.000132,0.000182,9.4e-05,0.000178,114.0,14552.0,0.0
2014-06-02,0.000195,0.0002,0.000116,0.000135,41.0,21619.0,0.0
2014-06-03,0.000135,0.000154,0.000125,0.000154,9.0,14905.0,0.0
2014-06-04,0.000154,0.000155,0.000126,0.000154,17.0,16984.0,0.0
2014-06-05,0.000154,0.000197,9.9e-05,9.9e-05,9.0,17036.0,0.0
2014-06-06,9.9e-05,0.000177,4.6e-05,0.000177,69.0,10941.0,0.0
2014-06-07,0.000177,0.000177,0.000103,0.00017,64.0,19530.0,0.0
2014-06-08,0.00017,0.000244,0.000131,0.000243,314.0,18847.0,0.0
2014-06-09,0.000197,0.000221,0.000162,0.000175,91.0,21786.0,0.0
2014-06-10,0.000175,0.000224,0.000124,0.000176,137.0,19399.0,0.0
2014-06-11,0.000176,0.000393,0.000176,0.000393,2439.0,19520.0,0.0
2014-06-12,0.000392,0.000414,0.000239,0.000272,1065.0,43448.0,0.0
2014-06-13,0.00027,0.000356,0.000207,0.00033,315.0,29894.0,0.0
2014-06-14,0.00033,0.000331,0.000143,0.000227,263.0,36552.0,0.0
2014-06-15,0.000225,0.000312,0.000162,0.00029,332.0,24938.0,0.0
2014-06-16,0.000184,0.000296,0.000169,0.000237,326.0,20358.0,0.0
2014-06-17,0.000237,0.000301,0.000162,0.00025,237.0,26235.0,0.0
2014-06-18,0.00025,0.00025,0.000165,0.000219,47.0,27739.0,0.0
2014-06-19,0.000219,0.000328,0.000164,0.000216,682.0,24241.0,0.0
2014-06-20,0.000215,0.000294,0.000191,0.000273,359.0,23846.0,0.0
2014-06-21,0.000273,0.000364,0.000236,0.000256,1216.0,30270.0,0.0
2014-06-22,0.000256,0.000289,0.000162,0.000289,529.0,28337.0,0.0
2014-06-23,0.000289,0.000918,0.000189,0.000594,6577.0,32019.0,0.0
2014-06-24,0.000594,0.002017,0.000501,0.001184,40444.0,65858.0,0.0
2014-06-25,0.001089,0.001705,0.000873,0.001196,26853.0,120775.0,0.0
2014-06-26,0.001076,0.001202,0.000574,0.000615,9688.0,119395.0,0.0
2014-06-27,0.000616,0.000814,0.000355,0.000621,2697.0,68373.0,0.0
2014-06-28,0.000419,0.000719,0.000419,0.000704,1371.0,46580.0,0.0
2014-06-29,0.000704,0.000733,0.0005,0.0005,990.0,78167.0,0.0
2014-06-30,0.0005,0.000558,0.000187,0.000556,1276.0,55574.0,0.0
2014-07-01,0.000557,0.000571,0.000366,0.000506,499.0,61840.0,0.0
2014-07-02,0.000506,0.000525,0.000372,0.000391,475.0,56251.0,0.0
2014-07-03,0.000391,0.000554,0.000386,0.000542,618.0,43401.0,0.0
2014-07-04,0.000542,0.000542,0.000296,0.00041,906.0,60232.0,0.0
2014-07-05,0.000409,0.000654,0.000208,0.000524,1195.0,45517.0,0.0
2014-07-06,0.000524,0.000635,0.000381,0.000591,1408.0,58268.0,0.0
2014-07-07,0.000591,0.000725,0.000533,0.000637,1328.0,65742.0,0.0
2014-07-08,0.000635,0.000977,0.000625,0.000662,4301.0,70561.0,0.0
2014-07-09,0.000663,0.000877,0.000374,0.000437,3621.0,73704.0,0.0
2014-07-10,0.000437,0.000783,0.000377,0.000611,2581.0,48657.0,0.0
