Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-08-07,2.83,3.54,2.52,2.77,164329.0,-1.0,3.03
2015-08-08,2.79,2.8,0.714725,0.753325,674188.0,167911000.0,1.76
2015-08-09,0.706136,0.87981,0.629191,0.701897,532170.0,42637600.0,0.75
2015-08-10,0.713989,0.729854,0.636546,0.708448,405283.0,43130000.0,0.68
2015-08-11,0.708087,1.13,0.663235,1.07,1463100.0,42796500.0,0.9
2015-08-12,1.06,1.29,0.883608,1.22,2150620.0,64018400.0,1.09
2015-08-13,1.22,1.97,1.17,1.83,4068680.0,73935400.0,1.57
2015-08-14,1.81,2.26,1.75,1.83,4637030.0,109594000.0,2.0
2015-08-15,1.8,1.88,1.57,1.69,2554360.0,109160000.0,1.73
2015-08-16,1.68,1.7,1.09,1.57,3550790.0,102028000.0,1.4
2015-08-17,1.58,1.58,1.19,1.2,1942830.0,95819700.0,1.39
2015-08-18,1.22,1.33,1.09,1.09,1485680.0,88143200.0,1.21
2015-08-19,1.17,1.32,1.17,1.26,1486240.0,84663900.0,1.25
2015-08-20,1.25,1.53,1.25,1.46,2843760.0,90809000.0,1.39
2015-08-21,1.48,1.56,1.35,1.4,2020970.0,107266000.0,1.46
2015-08-22,1.4,1.48,1.35,1.38,948310.0,101404000.0,1.42
2015-08-23,1.38,1.41,1.3,1.35,1589300.0,99894500.0,1.35
2015-08-24,1.35,1.36,1.23,1.23,924920.0,97791600.0,1.29
2015-08-25,1.23,1.24,1.13,1.14,1307180.0,89321900.0,1.19
2015-08-26,1.13,1.2,1.06,1.16,1056750.0,82384400.0,1.13
2015-08-27,1.17,1.19,1.14,1.15,686662.0,85106100.0,1.17
2015-08-28,1.15,1.21,1.12,1.19,721872.0,83521700.0,1.17
2015-08-29,1.19,1.21,1.15,1.18,375377.0,86887600.0,1.18
2015-08-30,1.18,1.37,1.17,1.32,1337650.0,86145900.0,1.27
2015-08-31,1.32,1.4,1.2,1.36,1447180.0,96251000.0,1.3
2015-09-01,1.35,1.39,1.34,1.35,778862.0,98617200.0,1.36
2015-09-02,1.35,1.35,1.26,1.29,883769.0,98504600.0,1.31
2015-09-03,1.3,1.31,1.21,1.26,702991.0,94418700.0,1.26
2015-09-04,1.26,1.3,1.24,1.27,474391.0,92234100.0,1.27
2015-09-05,1.28,1.34,1.27,1.34,448453.0,93402300.0,1.31
2015-09-06,1.34,1.37,1.29,1.3,491968.0,97625500.0,1.33
2015-09-07,1.3,1.31,1.24,1.25,489014.0,94585300.0,1.27
2015-09-08,1.25,1.28,1.23,1.24,427892.0,91020700.0,1.25
2015-09-09,1.24,1.26,1.2,1.21,366748.0,90518300.0,1.23
2015-09-10,1.21,1.22,1.14,1.17,662782.0,88230500.0,1.18
2015-09-11,1.16,1.17,0.940675,0.982978,1942600.0,85144300.0,1.06
2015-09-12,0.987228,1.11,0.96978,1.04,772430.0,72179000.0,1.04
2015-09-13,1.04,1.04,0.902832,0.936003,644138.0,76193600.0,0.97
2015-09-14,0.940566,0.949387,0.87176,0.875622,741085.0,68814400.0,0.91
2015-09-15,0.875189,1.05,0.875189,0.94441,703390.0,64052400.0,0.96
2015-09-16,0.941977,0.952698,0.901639,0.907175,615593.0,68963300.0,0.93
2015-09-17,0.906865,0.909204,0.831132,0.874231,897940.0,66415200.0,0.87
2015-09-18,0.874574,0.888102,0.833908,0.853685,484622.0,64071300.0,0.86
2015-09-19,0.849603,0.911883,0.833784,0.882391,386988.0,62262700.0,0.87
2015-09-20,0.881191,0.947741,0.873205,0.938445,508314.0,64600000.0,0.91
2015-09-21,0.941496,0.957326,0.878301,0.919047,424039.0,69045900.0,0.92
2015-09-22,0.919337,0.919337,0.865225,0.901796,487914.0,67444200.0,0.89
2015-09-23,0.90356,0.90891,0.885136,0.893406,200541.0,66309600.0,0.9
2015-09-24,0.896796,0.908571,0.79346,0.81361,842505.0,65836400.0,0.85
2015-09-25,0.820031,0.825665,0.712745,0.736223,903457.0,60221400.0,0.77
2015-09-26,0.73763,0.787544,0.709328,0.785964,369620.0,54188900.0,0.75
2015-09-27,0.791277,0.791277,0.719169,0.720839,413801.0,58149600.0,0.76
2015-09-28,0.723715,0.725677,0.557062,0.582886,1320890.0,53201800.0,0.64
2015-09-29,0.579414,0.67583,0.558346,0.661146,913992.0,42607700.0,0.62
2015-09-30,0.661192,0.746722,0.635861,0.738644,619926.0,48636600.0,0.69
2015-10-01,0.734307,0.734307,0.655906,0.690215,596084.0,54032300.0,0.7
2015-10-02,0.683732,0.69112,0.654605,0.678574,219318.0,50328700.0,0.67
2015-10-03,0.678783,0.709204,0.675482,0.687171,163326.0,49981900.0,0.69
2015-10-04,0.686343,0.693126,0.660716,0.668379,103497.0,50556000.0,0.68
2015-10-05,0.666784,0.674438,0.62445,0.628643,234263.0,49131600.0,0.65
2015-10-06,0.622218,0.653944,0.60623,0.650645,262674.0,45863300.0,0.63
2015-10-07,0.650515,0.656301,0.602423,0.609388,218327.0,47964700.0,0.63
2015-10-08,0.609501,0.633138,0.591971,0.621716,310266.0,44955900.0,0.61
2015-10-09,0.655084,0.692296,0.632116,0.650628,386420.0,48334900.0,0.66
2015-10-10,0.641187,0.649022,0.624374,0.627857,141555.0,47325200.0,0.64
2015-10-11,0.627461,0.639506,0.618335,0.634963,102128.0,46327500.0,0.63
2015-10-12,0.634515,0.657789,0.62603,0.62603,109567.0,46864200.0,0.64
2015-10-13,0.627943,0.63024,0.599214,0.607655,303044.0,46395200.0,0.61
2015-10-14,0.61224,0.61224,0.483974,0.522968,971664.0,45250600.0,0.55
2015-10-15,0.523278,0.572714,0.51473,0.561878,371022.0,38688300.0,0.54
2015-10-16,0.562593,0.568861,0.522533,0.536495,249891.0,41608900.0,0.55
2015-10-17,0.534117,0.56346,0.526961,0.547178,313860.0,39515900.0,0.55
2015-10-18,0.547913,0.552234,0.512861,0.517734,133690.0,40550400.0,0.53
2015-10-19,0.517621,0.521546,0.480994,0.489014,243742.0,38321300.0,0.5
2015-10-20,0.489629,0.501898,0.431648,0.434829,383921.0,36261200.0,0.47
2015-10-21,0.431589,0.482988,0.420897,0.447329,609085.0,31973600.0,0.45
2015-10-22,0.444988,0.619466,0.420991,0.567702,924822.0,32977300.0,0.52
2015-10-23,0.56637,0.611743,0.504284,0.539657,878822.0,41986400.0,0.56
2015-10-24,0.539681,0.577396,0.518688,0.56359,258356.0,40022100.0,0.55
2015-10-25,0.563207,0.688192,0.561383,0.616039,635384.0,41781300.0,0.62
2015-10-26,0.619743,0.757517,0.597098,0.731317,1089120.0,45991300.0,0.68
2015-10-27,0.70889,0.898172,0.70889,0.869641,1846370.0,52624300.0,0.8
2015-10-28,0.870938,1.06,0.807857,1.0,2373050.0,64676600.0,0.93
2015-10-29,1.01,1.21,0.947374,1.21,2279240.0,74675600.0,1.08
2015-10-30,1.21,1.35,0.96816,1.04,2429200.0,89857400.0,1.16
2015-10-31,1.05,1.06,0.900171,0.916627,673892.0,77800300.0,0.98
2015-11-01,0.920847,1.08,0.899082,1.06,588913.0,68477200.0,0.99
2015-11-02,1.06,1.1,0.953647,0.989789,1145200.0,78701400.0,1.03
2015-11-03,0.994568,1.07,0.936615,1.01,1907690.0,74010000.0,1.0
2015-11-04,1.01,1.04,0.725665,0.89905,3060340.0,75232400.0,0.88
2015-11-05,0.900699,0.991259,0.860382,0.895637,1179840.0,67070700.0,0.93
2015-11-06,0.904772,0.989848,0.852929,0.926032,913666.0,67397100.0,0.92
2015-11-07,0.923732,0.943787,0.863539,0.927974,890187.0,68833200.0,0.9
2015-11-08,0.915661,1.03,0.915661,1.03,1021460.0,68254300.0,0.97
