Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-08-24,0.000405,0.000407,0.000358,0.000358,0.0,768.0,0.0
2015-08-25,0.000357,0.000405,7.5e-05,0.000222,7.0,687.0,0.0
2015-08-26,0.000222,0.000228,7.6e-05,0.000169,3.0,436.0,0.0
2015-08-27,0.00017,0.000171,8.3e-05,8.3e-05,1.0,338.0,0.0
2015-08-28,8.3e-05,0.000212,8.2e-05,9e-05,0.0,170.0,0.0
2015-08-29,9e-05,0.000177,8e-05,0.000177,2.0,188.0,0.0
2015-08-30,0.000177,0.000503,0.000177,0.000318,4.0,375.0,0.0
2015-08-31,0.000318,0.001144,0.000106,0.000106,1.0,681.0,0.0
2015-09-01,0.000106,0.00046,0.000106,0.000454,0.0,231.0,0.0
2015-09-02,0.000454,0.000454,0.000112,0.000112,0.0,1001.0,0.0
2015-09-03,0.000112,0.000413,8e-05,0.000413,2.0,249.0,0.0
2015-09-04,0.000413,0.000414,9.1e-05,0.000161,1.0,914.0,0.0
2015-09-05,0.000161,0.000345,0.000138,0.000141,0.0,357.0,0.0
2015-09-06,0.000141,0.0006,0.000138,0.000597,34.0,312.0,0.0
2015-09-07,0.000597,0.000599,0.000239,0.00024,4.0,1323.0,0.0
2015-09-08,0.00024,0.000549,0.000131,0.000132,0.0,531.0,0.0
2015-09-09,0.000131,0.000132,0.000128,0.000128,0.0,291.0,0.0
2015-09-10,0.000522,0.001203,0.000145,0.001192,57.0,1155.0,0.0
2015-09-11,0.001192,0.001436,0.000244,0.000372,0.0,3006.0,0.0
2015-09-12,0.000372,0.001079,0.000371,0.001033,15.0,954.0,0.0
2015-09-13,0.001033,0.001036,0.000413,0.000821,17.0,2673.0,0.0
2015-09-14,0.000821,0.000824,0.000307,0.000307,2.0,2145.0,0.0
2015-09-15,0.000307,0.000645,0.000307,0.000645,1.0,813.0,0.0
2015-09-16,0.000645,0.000646,0.00023,0.000346,2.0,1732.0,0.0
2015-09-17,0.000346,0.000348,7.1e-05,7.1e-05,24.0,930.0,0.0
2015-09-18,7.1e-05,7.3e-05,7.1e-05,7.2e-05,3.0,192.0,0.0
2015-09-19,7.2e-05,7.2e-05,7.2e-05,7.2e-05,0.0,194.0,0.0
2015-09-20,7.2e-05,0.000453,7.2e-05,0.000381,0.0,194.0,0.0
2015-09-21,0.000382,0.000382,7.7e-05,7.7e-05,4.0,1030.0,0.0
2015-09-22,7.7e-05,7.9e-05,7.7e-05,7.8e-05,2.0,210.0,0.0
2015-09-23,0.000335,0.000335,0.000334,0.000334,0.0,924.0,0.0
2015-09-24,0.000334,0.000337,9.5e-05,0.000305,1.0,925.0,0.0
2015-09-25,0.000305,0.000319,0.000304,0.00031,1.0,856.0,0.0
2015-09-26,0.00031,0.000311,0.000308,0.000309,0.0,883.0,0.0
2015-09-27,0.00011,0.000292,0.00011,0.000291,1.0,318.0,0.0
2015-09-28,0.000291,0.000299,0.000111,0.000299,2.0,853.0,0.0
