Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-01-10,0.005327,0.007096,0.00265,0.002683,320.0,-1.0,0.0
2016-01-11,0.002687,0.008712,0.002683,0.003959,475.0,-1.0,0.01
2016-01-12,0.003957,0.007013,0.002928,0.004357,221.0,-1.0,0.0
2016-01-13,0.004347,0.004351,0.002508,0.004315,66.0,-1.0,0.0
2016-01-14,0.004309,0.004309,0.00132,0.002753,163.0,-1.0,0.0
2016-01-15,0.002757,0.00318,0.001844,0.002044,98.0,-1.0,0.0
2016-01-16,0.002048,0.006675,0.000582,0.002792,345.0,-1.0,0.0
2016-01-17,0.002826,0.003128,0.001767,0.001995,245.0,4391.0,0.0
2016-01-18,0.001992,0.002692,0.001597,0.002689,137.0,3232.0,0.0
2016-01-19,0.002688,0.003311,0.001709,0.002691,568.0,4548.0,0.0
2016-01-20,0.002688,0.003099,0.001995,0.002569,369.0,4747.0,0.0
2016-01-21,0.002565,0.003122,0.001969,0.002539,292.0,4715.0,0.0
2016-01-22,0.002536,0.002769,0.001823,0.001866,111.0,4867.0,0.0
2016-01-23,0.001866,0.001925,0.001851,0.001871,98.0,3730.0,0.0
2016-01-24,0.001874,0.003836,0.001289,0.001504,427.0,3881.0,0.0
2016-01-25,0.001501,0.003296,0.001494,0.00167,87.0,3213.0,0.0
2016-01-26,0.001672,0.002775,0.001502,0.001676,211.0,3691.0,0.0
2016-01-27,0.001659,0.002448,0.001413,0.001502,159.0,3776.0,0.0
2016-01-28,0.001841,0.002819,0.001463,0.002117,492.0,4316.0,0.0
2016-01-29,0.002121,0.008221,0.001972,0.007957,3576.0,5100.0,0.01
2016-01-30,0.007945,0.014316,0.004736,0.007222,8049.0,19103.0,0.01
2016-01-31,0.007223,0.007283,0.005331,0.005492,1357.0,17368.0,0.01
2016-02-01,0.005873,0.008831,0.00315,0.007292,1675.0,14121.0,0.01
2016-02-02,0.007291,0.00829,0.00452,0.00506,634.0,17531.0,0.01
2016-02-03,0.005401,0.005558,0.004897,0.004962,360.0,12987.0,0.01
2016-02-04,0.004966,0.005391,0.003886,0.004607,565.0,11940.0,0.0
2016-02-05,0.004599,0.004708,0.003775,0.003782,306.0,11058.0,0.0
2016-02-06,0.003783,0.004308,0.003295,0.003327,249.0,9096.0,0.0
2016-02-07,0.003327,0.003618,0.002101,0.002289,525.0,8001.0,0.0
2016-02-08,0.00229,0.003296,0.00229,0.00233,316.0,5507.0,0.0
2016-02-09,0.00233,0.002551,0.002161,0.00218,260.0,5603.0,0.0
2016-02-10,0.00218,0.0032,0.001989,0.002073,296.0,5243.0,0.0
2016-02-11,0.002076,0.002369,0.002022,0.002026,338.0,4991.0,0.0
2016-02-12,0.002026,0.002299,0.001649,0.001858,282.0,4871.0,0.0
