Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-03-22,0.002966,0.00557,0.002674,0.00452,2096.0,148311.0,0.0
2014-03-23,0.004526,0.005081,0.002697,0.00412,1091.0,226305.0,0.0
2014-03-24,0.004129,0.004859,0.003383,0.004854,2356.0,206440.0,0.0
2014-03-25,0.004854,0.004953,0.003747,0.004134,5158.0,242699.0,0.0
2014-03-26,0.004141,0.004735,0.003783,0.004098,2381.0,207063.0,0.0
2014-03-27,0.004095,0.004975,0.001019,0.001019,7355.0,204767.0,0.0
2014-03-28,0.001026,0.001815,0.001026,0.001492,86.0,51313.0,0.0
2014-03-29,0.00157,0.00388,0.00157,0.001959,59.0,78518.0,0.0
2014-03-30,0.001483,0.003761,0.001427,0.003256,429.0,74167.0,0.0
2014-03-31,0.00325,0.00325,0.00133,0.002292,2052.0,162476.0,0.0
2014-04-01,0.002289,0.004589,0.001756,0.00388,5304.0,114445.0,0.0
2014-04-02,0.003874,0.00388,0.001838,0.001849,5628.0,193678.0,0.0
2014-04-03,0.001846,0.0022,0.001749,0.002181,2429.0,92282.0,0.0
2014-04-04,0.002179,0.002628,0.001944,0.002236,1964.0,108960.0,0.0
2014-04-05,0.002239,0.002718,0.002111,0.002687,2514.0,111974.0,0.0
2014-04-06,0.002695,0.003662,0.002677,0.002878,2309.0,134765.0,0.0
2014-04-07,0.002893,0.003628,0.002385,0.003381,4616.0,144657.0,0.0
2014-04-08,0.003367,0.008875,0.003058,0.00634,45695.0,168374.0,0.01
2014-04-09,0.006188,0.011897,0.005338,0.010142,154455.0,309443.0,0.01
2014-04-10,0.010117,0.010488,0.005431,0.005622,58191.0,505924.0,0.01
2014-04-11,0.005283,0.009175,0.004781,0.007904,30731.0,264197.0,0.01
2014-04-12,0.007896,0.012738,0.006846,0.012602,74235.0,394861.0,0.01
2014-04-13,0.012615,0.02876,0.011508,0.024114,398109.0,630905.0,0.02
2014-04-14,0.024084,0.02743,0.019569,0.019569,179762.0,1204450.0,0.02
2014-04-15,0.019211,0.021643,0.006685,0.007743,99192.0,960770.0,0.01
2014-04-16,0.007734,0.018084,0.007014,0.01481,91613.0,386787.0,0.01
2014-04-17,0.014812,0.02037,0.01327,0.017066,73039.0,740811.0,0.02
2014-04-18,0.017249,0.01925,0.010137,0.012349,58471.0,862720.0,0.01
2014-04-19,0.012322,0.016113,0.011825,0.013551,31283.0,616301.0,0.01
2014-04-20,0.013544,0.020572,0.011096,0.014588,89502.0,677409.0,0.02
2014-04-21,0.014605,0.015027,0.007678,0.008956,46149.0,730520.0,0.01
2014-04-22,0.00895,0.009817,0.006734,0.006737,19801.0,447677.0,0.01
2014-04-23,0.007879,0.008322,0.006618,0.006667,12897.0,394122.0,0.01
2014-04-24,0.006682,0.007609,0.004514,0.005036,6958.0,334246.0,0.01
2014-04-25,0.005057,0.006282,0.003168,0.003932,14104.0,252946.0,0.0
2014-04-26,0.004063,0.004982,0.003418,0.003662,5918.0,203239.0,0.0
2014-04-27,0.003663,0.005012,0.002134,0.003557,4966.0,183229.0,0.0
2014-04-28,0.003534,0.003534,0.00245,0.002689,2515.0,176770.0,0.0
2014-04-29,0.00269,0.003466,0.002688,0.003122,1990.0,134545.0,0.0
2014-04-30,0.003122,0.003842,0.002748,0.003344,3949.0,156137.0,0.0
2014-05-01,0.00335,0.003412,0.002745,0.002971,1875.0,167554.0,0.0
2014-05-02,0.002973,0.003179,0.002718,0.002918,1306.0,148709.0,0.0
2014-05-03,0.002912,0.002921,0.002239,0.002239,3012.0,145663.0,0.0
2014-05-04,0.002234,0.002745,0.00205,0.002395,873.0,111766.0,0.0
2014-05-05,0.002399,0.002422,0.001817,0.001928,2754.0,120002.0,0.0
2014-05-06,0.00193,0.002459,0.001925,0.002449,1323.0,96519.0,0.0
2014-05-07,0.002441,0.002448,0.002022,0.002384,1858.0,122119.0,0.0
2014-05-08,0.00238,0.007782,0.002239,0.005533,85866.0,119059.0,0.01
2014-05-09,0.005537,0.006157,0.00405,0.004678,13824.0,276948.0,0.01
2014-05-10,0.004671,0.004694,0.00284,0.003718,7549.0,233643.0,0.0
2014-05-11,0.003716,0.003722,0.002618,0.003535,4216.0,185865.0,0.0
2014-05-12,0.003535,0.00354,0.002933,0.003019,1902.0,176812.0,0.0
2014-05-13,0.002898,0.003302,0.00269,0.002929,1104.0,144938.0,0.0
2014-05-14,0.002929,0.00308,0.002225,0.002233,1460.0,146510.0,0.0
2014-05-15,0.002232,0.002966,0.002231,0.002425,1748.0,111664.0,0.0
2014-05-16,0.002426,0.002658,0.001805,0.001828,2361.0,121324.0,0.0
2014-05-17,0.001826,0.002501,0.001823,0.001961,836.0,91326.0,0.0
2014-05-18,0.001962,0.002154,0.001941,0.001945,1162.0,98141.0,0.0
2014-05-19,0.001946,0.001946,0.001462,0.001704,1770.0,97322.0,0.0
2014-05-20,0.001704,0.002615,0.001666,0.002186,2437.0,85253.0,0.0
2014-05-21,0.002186,0.002469,0.002006,0.00202,947.0,109329.0,0.0
2014-05-22,0.002021,0.002188,0.001721,0.001834,1174.0,101097.0,0.0
2014-05-23,0.001836,0.00204,0.001351,0.001432,1996.0,91836.0,0.0
2014-05-24,0.001431,0.002088,0.00143,0.001728,560.0,71558.0,0.0
2014-05-25,0.001728,0.002446,0.001717,0.002168,2320.0,86418.0,0.0
2014-05-26,0.002172,0.002234,0.001763,0.002152,441.0,108643.0,0.0
2014-05-27,0.002153,0.002364,0.001742,0.001822,860.0,107682.0,0.0
2014-05-28,0.001824,0.002076,0.001584,0.001603,972.0,91255.0,0.0
2014-05-29,0.001604,0.002216,0.001578,0.001875,705.0,80242.0,0.0
