Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-12-31,4e-06,4e-06,4e-06,4e-06,8920.0,99295.0,0.0
2014-01-01,4e-06,4e-06,3e-06,4e-06,10386.0,96085.0,0.0
2014-01-02,4e-06,5e-06,3e-06,4e-06,19732.0,110016.0,0.0
2014-01-03,4e-06,4e-06,2e-06,2e-06,7823.0,124233.0,0.0
2014-01-04,2e-06,2e-06,9.5e-07,1e-06,4529.0,69040.0,0.0
2014-01-05,1e-06,2e-06,9.8e-07,1e-06,3024.0,44683.0,0.0
2014-01-06,1e-06,2e-06,8.7e-07,9.7e-07,3553.0,58030.0,0.0
2014-01-07,9.2e-07,1e-06,5.1e-07,7.7e-07,1732.0,40911.0,0.0
2014-01-08,7.6e-07,2e-06,6.4e-07,1e-06,7178.0,36214.0,0.0
2014-01-09,1e-06,2e-06,1e-06,1e-06,3952.0,73676.0,0.0
2014-01-10,1e-06,1e-06,9.2e-07,9.7e-07,2141.0,55524.0,0.0
2014-01-11,9.7e-07,1e-06,8.8e-07,1e-06,3125.0,56225.0,0.0
2014-01-12,1e-06,1e-06,7.3e-07,8.6e-07,5418.0,61013.0,0.0
2014-01-13,8.5e-07,9.8e-07,6.8e-07,7.4e-07,3905.0,54894.0,0.0
2014-01-14,7.4e-07,9.4e-07,7e-07,8.3e-07,2486.0,50114.0,0.0
2014-01-15,8.1e-07,9e-07,4.9e-07,5.7e-07,1540.0,57468.0,0.0
2014-01-16,5.6e-07,7.9e-07,4.8e-07,6.9e-07,1502.0,42198.0,0.0
2014-01-17,6.9e-07,8e-07,4.6e-07,6.9e-07,2172.0,53652.0,0.0
2014-01-18,6.9e-07,7.1e-07,4.7e-07,4.8e-07,944.0,56470.0,0.0
2014-01-19,4.8e-07,7.3e-07,4.7e-07,5.9e-07,614.0,39867.0,0.0
2014-01-20,5.9e-07,8.5e-07,5.3e-07,8.1e-07,4792.0,48990.0,0.0
2014-01-21,8.2e-07,1e-06,7.2e-07,1e-06,8672.0,74691.0,0.0
2014-01-22,1e-06,2e-06,9.5e-07,2e-06,19357.0,127405.0,0.0
2014-01-23,2e-06,3e-06,1e-06,3e-06,27354.0,171835.0,0.0
2014-01-24,3e-06,1.1e-05,2e-06,8e-06,151973.0,293662.0,0.0
2014-01-25,9e-06,2.2e-05,7e-06,2.1e-05,502783.0,902015.0,0.0
2014-01-26,2.2e-05,3.5e-05,1.6e-05,2.2e-05,270032.0,2339920.0,0.0
2014-01-27,2.3e-05,2.9e-05,1.1e-05,1.1e-05,716452.0,2515370.0,0.0
2014-01-28,1.2e-05,1.4e-05,8e-06,1.2e-05,451955.0,1340280.0,0.0
2014-01-29,1.2e-05,1.4e-05,1.2e-05,1.3e-05,165133.0,1300950.0,0.0
