Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-12-13,11.47,11.51,11.02,11.5,296217.0,-1,11.27
2017-12-14,11.48,11.8,10.95,11.48,391397.0,-1,11.38
2017-12-15,11.48,13.0,11.15,12.9,653202.0,-1,12.07
2017-12-16,12.9,21.95,12.87,20.5,2137330.0,-1,17.41
2017-12-17,20.5,20.5,17.84,19.44,624487.0,-1,19.17
2017-12-18,19.44,19.44,16.88,18.68,908890.0,-1,18.16
2017-12-19,18.68,19.37,16.71,18.69,889906.0,-1,18.04
2017-12-20,18.68,19.77,16.09,19.77,696240.0,-1,17.93
2017-12-21,19.77,28.39,19.66,26.03,1938240.0,-1,24.02
2017-12-22,26.03,28.22,20.07,23.08,757447.0,-1,24.14
2017-12-23,22.87,27.53,22.87,26.88,687780.0,-1,25.2
2017-12-24,25.76,26.86,22.31,24.44,303786.0,-1,24.59
2017-12-25,24.48,25.77,23.44,24.24,295669.0,-1,24.61
2017-12-26,24.22,25.39,22.4,23.4,334395.0,-1,23.89
2017-12-27,23.78,24.33,22.81,23.73,311489.0,-1,23.57
2017-12-28,23.72,23.77,18.84,21.61,445029.0,-1,21.3
2017-12-29,21.63,22.21,19.62,20.02,349125.0,-1,20.91
2017-12-30,19.79,20.38,17.41,18.71,207532.0,-1,18.89
2017-12-31,18.77,20.2,17.87,20.08,126421.0,-1,19.04
2018-01-01,19.79,20.54,18.41,19.48,195680.0,-1,19.48
2018-01-02,19.91,23.92,18.72,20.11,496094.0,-1,21.32
2018-01-03,19.92,20.4,18.85,19.83,535312.0,-1,19.62
2018-01-04,19.82,21.65,19.56,20.42,494825.0,-1,20.6
2018-01-05,20.89,24.51,20.27,24.12,621769.0,-1,22.39
2018-01-06,24.06,24.73,21.99,24.47,702906.0,-1,23.36
2018-01-07,24.48,26.9,22.96,26.02,499795.0,-1,24.93
2018-01-08,26.01,29.85,22.11,26.08,1054710.0,-1,25.98
2018-01-09,26.07,28.44,25.26,27.32,578196.0,-1,26.85
2018-01-10,27.32,27.8,24.05,24.94,828661.0,-1,25.93
2018-01-11,24.94,26.42,22.68,25.72,585585.0,-1,24.55
2018-01-12,25.72,30.15,22.25,27.66,1066420.0,-1,26.2
2018-01-13,27.71,28.73,25.21,26.86,685598.0,-1,26.97
2018-01-14,26.88,28.28,23.85,26.5,1159270.0,-1,26.07
2018-01-15,26.49,29.01,24.04,26.67,846259.0,-1,26.52
