Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-06-26,0.013147,0.013163,0.010108,0.012423,2437.0,-1.0,0.01
2017-06-27,0.012156,0.024294,0.009224,0.010911,3347.0,-1.0,0.02
2017-06-28,0.012153,0.015481,0.007437,0.011497,6027.0,-1.0,0.01
2017-06-29,0.011486,0.012893,0.009914,0.012661,300.0,-1.0,0.01
2017-06-30,0.012686,0.012717,0.007572,0.007947,5430.0,-1.0,0.01
2017-07-01,0.007944,0.013854,0.004954,0.008474,8931.0,-1.0,0.01
2017-07-02,0.008473,0.017597,0.004712,0.010719,18919.0,-1.0,0.01
2017-07-03,0.01068,0.010714,0.001067,0.008836,22154.0,-1.0,0.01
2017-07-04,0.008789,0.009236,0.002511,0.0042,13290.0,-1.0,0.01
2017-07-05,0.004197,0.00998,0.003335,0.008074,22843.0,-1.0,0.01
2017-07-06,0.008078,0.011557,0.007315,0.007839,5327.0,-1.0,0.01
2017-07-07,0.007843,0.01041,0.005569,0.005841,3477.0,-1.0,0.01
2017-07-08,0.005843,0.011127,0.004081,0.009368,9179.0,-1.0,0.01
2017-07-09,0.00931,0.012922,0.005216,0.005501,12030.0,-1.0,0.01
2017-07-10,0.005511,0.006239,0.004526,0.004765,1815.0,-1.0,0.01
2017-07-11,0.004755,0.005024,0.003912,0.00455,4852.0,-1.0,0.0
2017-07-12,0.004543,0.004953,0.002403,0.004938,18484.0,-1.0,0.0
2017-07-13,0.004941,0.005245,0.004384,0.004522,6568.0,-1.0,0.0
2017-07-14,0.004284,0.006873,0.004236,0.006489,7597.0,-1.0,0.01
2017-07-15,0.006478,0.00649,0.002101,0.004261,8721.0,-1.0,0.0
2017-07-16,0.004248,0.004279,0.002352,0.003465,3740.0,-1.0,0.0
2017-07-17,0.003461,0.004168,0.002403,0.004168,11090.0,-1.0,0.0
2017-07-18,0.004179,0.004556,0.002515,0.003031,9847.0,-1.0,0.0
2017-07-19,0.003035,0.004012,0.002427,0.00329,7127.0,-1.0,0.0
2017-07-20,0.00328,0.003731,0.00257,0.002951,10381.0,-1.0,0.0
2017-07-21,0.003226,0.003237,0.00239,0.002748,2239.0,-1.0,0.0
2017-07-22,0.002752,0.002951,0.002209,0.002849,4016.0,-1.0,0.0
2017-07-23,0.002849,0.002879,0.002177,0.002699,3996.0,-1.0,0.0
2017-07-24,0.002696,0.002797,0.002183,0.002345,2362.0,-1.0,0.0
2017-07-25,0.002344,0.00443,0.002175,0.004427,10110.0,-1.0,0.0
2017-07-26,0.004429,0.004478,0.002347,0.002744,2595.0,-1.0,0.0
2017-07-27,0.002752,0.003176,0.002496,0.002733,3451.0,-1.0,0.0
2017-07-28,0.002741,0.002805,0.002528,0.002597,1235.0,-1.0,0.0
2017-07-29,0.002587,0.002752,0.002464,0.002501,452.0,-1.0,0.0
2017-07-30,0.0025,0.003212,0.00242,0.002738,476.0,-1.0,0.0
2017-07-31,0.002741,0.003249,0.002423,0.00309,2182.0,-1.0,0.0
2017-08-01,0.003091,0.003246,0.002434,0.002887,934.0,-1.0,0.0
2017-08-02,0.002887,0.00289,0.002344,0.002522,1077.0,-1.0,0.0
2017-08-03,0.002525,0.002927,0.00178,0.002532,7016.0,-1.0,0.0
2017-08-04,0.002531,0.003111,0.002129,0.003102,1440.0,-1.0,0.0
2017-08-05,0.0031,0.003653,0.002771,0.003189,1132.0,-1.0,0.0
2017-08-06,0.00319,0.003457,0.003128,0.003175,63.0,-1.0,0.0
2017-08-07,0.003172,0.003724,0.003083,0.003219,1022.0,-1.0,0.0
2017-08-08,0.003222,0.003766,0.003195,0.003729,751.0,-1.0,0.0
2017-08-09,0.003726,0.003735,0.003324,0.00351,69.0,-1.0,0.0
2017-08-10,0.00351,0.003767,0.003497,0.003523,1276.0,-1.0,0.0
2017-08-11,0.003523,0.003931,0.003279,0.003763,684.0,-1.0,0.0
2017-08-12,0.00376,0.00422,0.003451,0.004026,4575.0,-1.0,0.0
2017-08-13,0.004022,0.004831,0.002548,0.003613,7494.0,-1.0,0.0
2017-08-14,0.003534,0.004102,0.003049,0.0041,271.0,-1.0,0.0
2017-08-15,0.004111,0.004148,0.002963,0.003693,123.0,-1.0,0.0
2017-08-16,0.003697,0.004119,0.002667,0.004118,294.0,-1.0,0.0
2017-08-17,0.004115,0.005066,0.003854,0.004164,5729.0,-1.0,0.0
2017-08-18,0.004151,0.00449,0.003851,0.003989,261.0,-1.0,0.0
2017-08-19,0.003985,0.004674,0.003293,0.004373,1024.0,-1.0,0.0
2017-08-20,0.004353,0.004567,0.003888,0.004154,7333.0,-1.0,0.0
2017-08-21,0.004138,0.004623,0.004046,0.004111,631.0,-1.0,0.0
2017-08-22,0.004121,0.004517,0.003724,0.004135,2316.0,-1.0,0.0
2017-08-23,0.004127,0.004951,0.004113,0.004804,8371.0,-1.0,0.0
2017-08-24,0.004806,0.005197,0.004801,0.004943,3588.0,-1.0,0.0
2017-08-25,0.004935,0.005355,0.004218,0.005229,2287.0,-1.0,0.0
2017-08-26,0.00524,0.00668,0.00454,0.006041,2823.0,-1.0,0.01
2017-08-27,0.00604,0.006044,0.004425,0.004647,8816.0,-1.0,0.01
2017-08-28,0.004652,0.005529,0.002784,0.004688,9064.0,-1.0,0.0
2017-08-29,0.004696,0.005238,0.004296,0.004879,1640.0,-1.0,0.0
2017-08-30,0.004877,0.005153,0.004533,0.004533,2058.0,-1.0,0.0
2017-08-31,0.004525,0.005101,0.004524,0.004816,891.0,-1.0,0.0
2017-09-01,0.004817,0.005417,0.003676,0.004967,3164.0,-1.0,0.0
2017-09-02,0.004973,0.005131,0.00369,0.004516,435.0,-1.0,0.0
2017-09-03,0.004519,0.00483,0.003854,0.00461,1556.0,-1.0,0.0
2017-09-04,0.004612,0.004615,0.003931,0.003974,744.0,-1.0,0.0
2017-09-05,0.003994,0.004526,0.003994,0.004415,1001.0,-1.0,0.0
2017-09-06,0.00442,0.00487,0.004415,0.00444,80.0,-1.0,0.0
2017-09-07,0.004662,0.00469,0.004385,0.004679,1738.0,-1.0,0.0
2017-09-08,0.00468,0.004698,0.004061,0.004061,624.0,-1.0,0.0
2017-09-09,0.004069,0.004311,0.003953,0.004164,801.0,-1.0,0.0
2017-09-10,0.004169,0.004648,0.003339,0.004499,1690.0,-1.0,0.0
2017-09-11,0.004513,0.004591,0.003371,0.004169,4765.0,-1.0,0.0
2017-09-12,0.004167,0.004378,0.003944,0.004125,680.0,-1.0,0.0
2017-09-13,0.004127,0.004127,0.003643,0.003761,175.0,-1.0,0.0
2017-09-14,0.003761,0.003811,0.002576,0.002576,8325.0,-1.0,0.0
2017-09-15,0.002596,0.003864,0.002596,0.003608,2376.0,-1.0,0.0
2017-09-16,0.003598,0.004111,0.003343,0.003717,198.0,-1.0,0.0
2017-09-17,0.003714,0.004087,0.003655,0.003851,609.0,-1.0,0.0
2017-09-18,0.003843,0.004446,0.00379,0.004093,385.0,-1.0,0.0
2017-09-19,0.004103,0.004423,0.003896,0.004193,461.0,-1.0,0.0
2017-09-20,0.004188,0.004624,0.003807,0.00421,1633.0,-1.0,0.0
2017-09-21,0.00419,0.00419,0.003502,0.003609,891.0,-1.0,0.0
2017-09-22,0.003605,0.003706,0.003255,0.003377,261.0,-1.0,0.0
2017-09-23,0.003367,0.003637,0.003334,0.003637,28.0,-1.0,0.0
2017-09-24,0.003637,0.003637,0.003341,0.003345,30.0,-1.0,0.0
2017-09-25,0.003342,0.003806,0.003341,0.003658,1120.0,-1.0,0.0
2017-09-26,0.003658,0.003857,0.003157,0.003821,2874.0,-1.0,0.0
2017-09-27,0.003811,0.004024,0.001761,0.003409,5666.0,-1.0,0.0
2017-09-28,0.003409,0.003931,0.002535,0.003523,293.0,-1.0,0.0
2017-09-29,0.00352,0.00377,0.001743,0.003462,755.0,-1.0,0.0
2017-09-30,0.003463,0.004227,0.00346,0.004212,2376.0,-1.0,0.0
2017-10-01,0.004214,0.004225,0.00342,0.003869,12842.0,-1.0,0.0
2017-10-02,0.003867,0.004317,0.003692,0.004315,1571.0,-1.0,0.0
2017-10-03,0.004183,0.004309,0.003823,0.00418,651.0,-1.0,0.0
2017-10-04,0.00419,0.004269,0.0037,0.004092,1685.0,-1.0,0.0
2017-10-05,0.004096,0.004323,0.003849,0.00428,901.0,-1.0,0.0
2017-10-06,0.00428,0.004403,0.00397,0.004372,73.0,-1.0,0.0
2017-10-07,0.004374,0.004459,0.004078,0.004228,806.0,-1.0,0.0
2017-10-08,0.004216,0.00457,0.003984,0.004372,2505.0,-1.0,0.0
2017-10-09,0.004373,0.004749,0.00433,0.004691,499.0,-1.0,0.0
2017-10-10,0.00469,0.0049,0.004464,0.004764,1426.0,-1.0,0.0
2017-10-11,0.004763,0.004828,0.004519,0.004822,541.0,-1.0,0.0
2017-10-12,0.004826,0.005332,0.004359,0.005332,3834.0,-1.0,0.0
2017-10-13,0.005349,0.005794,0.003365,0.00554,11654.0,-1.0,0.0
2017-10-14,0.005542,0.005622,0.004587,0.005615,9486.0,-1.0,0.01
2017-10-15,0.005625,0.005643,0.004713,0.004894,29.0,-1.0,0.01
2017-10-16,0.004895,0.005473,0.004291,0.005402,155.0,-1.0,0.0
2017-10-17,0.005402,0.005417,0.003405,0.005152,1145.0,-1.0,0.0
2017-10-18,0.005153,0.005153,0.0034,0.005028,2318.0,-1.0,0.0
