Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-09-15,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,6887.0,0.0
2015-09-16,2.5e-05,5.5e-05,2.5e-05,5.5e-05,0.0,6900.0,0.0
2015-09-17,5.5e-05,5.5e-05,5.5e-05,5.5e-05,2.0,14985.0,0.0
2015-09-18,5.5e-05,5.5e-05,5.5e-05,5.5e-05,2.0,15039.0,0.0
2015-09-19,5.8e-05,5.8e-05,5.8e-05,5.8e-05,0.0,15782.0,0.0
2015-09-20,5.8e-05,5.8e-05,2.5e-05,2.5e-05,22.0,15794.0,0.0
2015-09-21,2.5e-05,2.5e-05,2.5e-05,2.5e-05,22.0,6944.0,0.0
2015-09-22,9e-06,2.3e-05,9e-06,2.3e-05,3.0,2489.0,0.0
2015-09-23,2.3e-05,2.3e-05,9e-06,9e-06,0.0,6311.0,0.0
2015-09-24,9e-06,9e-06,9e-06,9e-06,0.0,2519.0,0.0
2015-09-29,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,7148.0,0.0
2015-09-30,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,7139.0,0.0
2015-10-03,2.6e-05,2.6e-05,2.6e-05,2.6e-05,0.0,7213.0,0.0
2015-10-04,2.6e-05,4.3e-05,2.6e-05,4.3e-05,0.0,7211.0,0.0
2015-10-05,4.3e-05,4.3e-05,4.3e-05,4.3e-05,0.0,11785.0,0.0
2015-10-10,4.6e-05,4.7e-05,4.6e-05,4.7e-05,0.0,12792.0,0.0
2015-10-11,4.7e-05,4.7e-05,4.6e-05,4.7e-05,0.0,12824.0,0.0
2017-07-22,0.000367,0.000454,0.000275,0.000453,251.0,-1.0,0.0
2017-07-23,0.000453,0.000864,0.00028,0.000441,1236.0,-1.0,0.0
2017-07-24,0.00044,0.000475,0.000354,0.000359,177.0,-1.0,0.0
2017-07-25,0.000359,0.000436,0.000294,0.000333,106.0,-1.0,0.0
2017-07-26,0.000333,0.000498,0.000293,0.000352,171.0,-1.0,0.0
2017-07-27,0.000353,0.000387,0.000204,0.000239,373.0,-1.0,0.0
2017-07-28,0.000239,0.000295,0.000239,0.000279,284.0,-1.0,0.0
2017-07-29,0.000278,0.000279,0.000242,0.000272,32.0,-1.0,0.0
2017-07-30,0.000272,0.000357,0.000237,0.000356,55.0,-1.0,0.0
2017-07-31,0.000356,0.000357,0.000298,0.000315,0.0,-1.0,0.0
2017-08-01,0.000315,0.000332,0.000293,0.0003,68.0,-1.0,0.0
2017-08-02,0.0003,0.000303,0.000292,0.000297,6.0,-1.0,0.0
2017-08-03,0.000297,0.000327,0.000251,0.000251,125.0,-1.0,0.0
2017-08-04,0.000251,0.000342,0.00025,0.000286,17.0,-1.0,0.0
2017-08-05,0.000285,0.000399,0.000285,0.000391,3.0,-1.0,0.0
2017-08-06,0.000391,0.000395,0.000316,0.000355,8.0,-1.0,0.0
2017-08-07,0.000354,0.000374,0.000351,0.000369,1.0,-1.0,0.0
2017-08-08,0.000309,0.000373,0.000301,0.000308,38.0,-1.0,0.0
2017-08-09,0.000308,0.000371,0.000292,0.000368,19.0,-1.0,0.0
2017-08-10,0.000368,0.000647,0.000365,0.000444,386.0,-1.0,0.0
2017-08-11,0.000444,0.000462,0.000274,0.000365,181.0,-1.0,0.0
2017-08-12,0.000365,0.000388,0.0003,0.000387,62.0,-1.0,0.0
2017-08-13,0.000387,0.000438,0.000313,0.000325,50.0,-1.0,0.0
2017-08-14,0.000325,0.000432,0.000293,0.000432,160.0,-1.0,0.0
2017-08-15,0.000433,0.000476,0.00027,0.00029,6.0,-1.0,0.0
2017-08-16,0.000291,0.000304,0.000276,0.000299,3.0,-1.0,0.0
2017-08-17,0.000305,0.000403,0.000252,0.000258,202.0,-1.0,0.0
2017-08-18,0.000257,0.000305,0.000239,0.000247,4.0,-1.0,0.0
2017-08-19,0.000247,0.000251,0.000238,0.000242,1.0,-1.0,0.0
2017-08-20,0.000244,0.000249,0.000244,0.000244,11.0,-1.0,0.0
2017-08-21,0.000243,0.000324,0.000238,0.000319,0.0,-1.0,0.0
2017-08-22,0.00032,0.000358,0.000237,0.000246,42.0,-1.0,0.0
2017-08-23,0.000245,0.000375,0.000207,0.000373,39.0,-1.0,0.0
2017-08-24,0.000373,0.000383,0.000212,0.000217,32.0,-1.0,0.0
2017-08-25,0.000216,0.000268,0.000173,0.000262,85.0,-1.0,0.0
2017-08-26,0.000262,0.000741,0.000262,0.000478,903.0,-1.0,0.0
2017-08-27,0.000478,0.000525,0.000475,0.000522,386.0,-1.0,0.0
2017-08-28,0.000521,0.000528,0.000462,0.000526,18.0,-1.0,0.0
2017-08-29,0.000527,0.000557,0.000305,0.000552,52.0,-1.0,0.0
2017-08-30,0.000551,0.000558,0.000412,0.000459,18.0,-1.0,0.0
2017-08-31,0.000458,0.000474,0.000186,0.000474,598.0,-1.0,0.0
2017-09-01,0.000474,0.000478,0.000235,0.000393,62.0,-1.0,0.0
2017-09-02,0.000394,0.000461,0.00036,0.000461,60.0,-1.0,0.0
2017-09-03,0.000461,0.000473,0.000358,0.000369,14.0,-1.0,0.0
2017-09-04,0.00037,0.000407,0.000332,0.000343,14.0,-1.0,0.0
2017-09-05,0.000344,0.000405,0.000325,0.000397,15.0,-1.0,0.0
2017-09-06,0.000398,0.000434,0.000138,0.000324,338.0,-1.0,0.0
2017-09-07,0.000323,0.000327,0.000279,0.000324,12.0,-1.0,0.0
2017-09-08,0.000324,0.000329,0.00029,0.000302,11.0,-1.0,0.0
2017-09-09,0.000303,0.000351,0.000257,0.00026,2.0,-1.0,0.0
2017-09-10,0.000261,0.000344,0.000245,0.000341,12.0,-1.0,0.0
2017-09-11,0.00034,0.00035,8.3e-05,0.000295,166.0,-1.0,0.0
2017-09-12,0.000295,0.000306,0.000246,0.00025,25.0,-1.0,0.0
2017-09-13,0.00025,0.000277,0.000233,0.000233,2.0,-1.0,0.0
2017-09-14,0.000233,0.000253,0.000208,0.000225,6.0,-1.0,0.0
2017-09-15,0.000227,0.000268,0.000151,0.00026,9.0,-1.0,0.0
2017-09-16,0.00026,0.000309,0.000217,0.000223,21.0,-1.0,0.0
2017-09-17,0.000223,0.000228,0.000209,0.000222,28.0,-1.0,0.0
2017-09-18,0.000222,0.00033,0.000222,0.000327,35.0,-1.0,0.0
2017-09-19,0.000328,0.00033,0.000233,0.000235,0.0,-1.0,0.0
2017-09-20,0.000235,0.000243,0.000231,0.000234,8.0,-1.0,0.0
2017-09-21,0.000233,0.000254,0.000229,0.000254,2.0,-1.0,0.0
2017-09-22,0.000253,0.000263,0.000248,0.000253,11.0,-1.0,0.0
2017-09-23,0.000253,0.000297,0.000214,0.000265,6.0,-1.0,0.0
2017-09-24,0.000265,0.000265,0.000256,0.000257,2.0,-1.0,0.0
2017-09-25,0.000257,0.000266,0.000226,0.000236,2.0,-1.0,0.0
2017-09-26,0.000236,0.000276,0.000232,0.000273,1.0,-1.0,0.0
2017-09-27,0.000272,0.000338,0.000272,0.000337,32.0,-1.0,0.0
2017-09-28,0.000337,0.000342,0.000331,0.000333,32.0,-1.0,0.0
2017-09-30,0.000301,0.000305,0.0003,0.000304,0.0,-1.0,0.0
2017-10-01,0.000304,0.000306,0.000258,0.000264,2.0,-1.0,0.0
2017-10-02,0.000264,0.000268,0.000262,0.000264,26.0,-1.0,0.0
2017-10-03,0.000264,0.000266,0.000255,0.000259,1.0,-1.0,0.0
2017-10-04,0.000259,0.000304,0.000252,0.000253,2.0,-1.0,0.0
2017-10-05,0.000253,0.00026,0.000249,0.000259,0.0,-1.0,0.0
2017-10-06,0.000309,0.00031,0.000303,0.000306,3.0,-1.0,0.0
2017-10-07,0.000306,0.000307,0.000304,0.000305,3.0,-1.0,0.0
2017-10-08,0.000267,0.000277,0.000266,0.000276,2.0,-1.0,0.0
2017-10-09,0.000276,0.000292,0.000276,0.000287,1.0,-1.0,0.0
2017-10-10,0.000287,0.000345,0.000286,0.000333,4.0,-1.0,0.0
2017-10-11,0.000333,0.000338,0.000284,0.000338,69.0,-1.0,0.0
2017-10-12,0.000338,0.000367,0.000156,0.000325,17.0,-1.0,0.0
2017-10-13,0.000326,0.000353,0.000221,0.000226,1.0,-1.0,0.0
2017-10-14,0.000226,0.000232,0.000224,0.000229,1.0,-1.0,0.0
2017-10-16,0.000286,0.00029,0.000283,0.000289,0.0,-1.0,0.0
2017-10-17,0.000289,0.00029,0.000111,0.000112,99.0,-1.0,0.0
2017-10-18,0.000112,0.000281,0.000107,0.000279,6.0,-1.0,0.0
2017-10-19,0.000279,0.000287,0.000277,0.000285,1.0,-1.0,0.0
2017-10-20,0.000285,0.000286,0.000171,0.000181,14.0,-1.0,0.0
2017-10-21,0.00018,0.000184,0.000179,0.000183,14.0,-1.0,0.0
2017-10-22,0.000302,0.000303,0.000287,0.000299,20.0,-1.0,0.0
2017-10-23,0.000299,0.000303,0.000283,0.000294,27.0,-1.0,0.0
2017-10-24,0.000293,0.000293,0.000289,0.000289,26.0,-1.0,0.0
2017-10-25,0.000334,0.000345,0.000333,0.000344,3.0,-1.0,0.0
2017-10-26,0.000344,0.000359,0.000342,0.000356,4.0,-1.0,0.0
2017-10-27,0.000237,0.000347,0.000228,0.000345,26.0,-1.0,0.0
