Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-04-06,0.002227,0.002227,0.002221,0.002223,2.0,-1,0.0
2016-04-07,0.002224,0.00466,0.002208,0.002219,3.0,-1,0.0
2016-04-08,0.00222,0.003769,0.002218,0.003712,1.0,-1,0.0
2016-04-09,0.003716,0.003716,0.003678,0.003701,0.0,-1,0.0
2016-04-10,0.002203,0.002978,0.002203,0.002972,1.0,-1,0.0
2016-04-11,0.002974,0.002979,0.002215,0.002218,3.0,-1,0.0
2016-04-12,0.00222,0.002243,0.00222,0.002232,1.0,-1,0.0
2016-04-13,0.002235,0.00224,0.00222,0.002229,0.0,-1,0.0
2016-04-14,0.00223,0.002237,0.002225,0.002232,0.0,-1,0.0
2016-04-17,0.003429,0.00343,0.003404,0.003415,0.0,-1,0.0
2016-04-18,0.003417,0.00343,0.003417,0.003424,0.0,-1,0.0
2016-04-19,0.003425,0.005014,0.003423,0.005009,8.0,-1,0.0
2016-04-20,0.005006,0.005095,0.004996,0.005074,2.0,-1,0.01
2016-04-21,0.002357,0.00579,0.002357,0.005775,0.0,-1,0.0
2016-04-22,0.005778,0.00578,0.005707,0.005731,0.0,-1,0.01
2016-04-23,0.00235,0.002364,0.002341,0.002364,1.0,-1,0.0
2016-04-24,0.002365,0.005292,0.002357,0.005273,0.0,-1,0.0
2016-04-25,0.00528,0.005306,0.005216,0.005298,0.0,-1,0.01
2016-04-26,0.00243,0.002457,0.002424,0.002447,0.0,-1,0.0
2016-04-27,0.002448,0.002452,0.002436,0.002442,0.0,-1,0.0
2016-04-28,0.002352,0.005143,0.002352,0.005137,1.0,-1,0.0
2016-04-29,0.005141,0.006739,0.002384,0.002389,5.0,-1,0.0
2016-04-30,0.00239,0.005223,0.002373,0.002376,6.0,-1,0.0
2016-05-01,0.002377,0.005194,0.002374,0.005174,2.0,-1,0.0
2016-05-02,0.005175,0.005181,0.004983,0.004985,0.0,-1,0.01
2016-05-03,0.004985,0.005054,0.004962,0.005047,0.0,-1,0.01
2016-05-04,0.002344,0.002348,0.002342,0.002345,1.0,-1,0.0
2016-05-05,0.002345,0.002354,0.002341,0.002351,1.0,-1,0.0
2016-05-07,0.00241,0.005047,0.002402,0.002407,1.0,-1,0.0
2016-05-08,0.002407,0.005016,0.000456,0.000459,6.0,-1,0.0
2016-05-09,0.000458,0.004596,0.000457,0.000507,2.0,-1,0.0
2016-05-10,0.000507,0.002994,0.000494,0.002976,0.0,-1,0.0
2016-05-11,0.002976,0.003,0.002976,0.002991,0.0,-1,0.0
2016-05-12,0.000674,0.003402,0.000674,0.003402,6.0,-1,0.0
2016-05-13,0.003402,0.003404,0.000685,0.000688,1.0,-1,0.0
2016-05-14,0.000688,0.00069,0.000687,0.000688,0.0,-1,0.0
2016-05-15,0.000688,0.000689,0.000688,0.000688,0.0,-1,0.0
2016-05-17,0.000569,0.036389,0.000568,0.036098,219.0,-1,0.02
2016-05-18,0.036091,0.036176,0.002273,0.004546,90.0,-1,0.02
2016-05-19,0.004545,0.102124,0.004543,0.082212,27.0,-1,0.05
2016-05-20,0.082039,0.088811,0.078378,0.08839,4.0,-1,0.08
2016-05-21,0.294715,0.340298,0.004303,0.004309,56.0,-1,0.17
2016-05-22,0.004308,0.00431,0.002573,0.002574,9.0,-1,0.0
2016-05-23,0.002575,0.010343,0.002572,0.010339,4350.0,-1,0.01
2016-05-24,0.010342,0.040276,0.007851,0.040259,193.0,-1,0.02
2016-05-25,0.040266,0.040425,0.00814,0.008151,2002.0,-1,0.02
2016-05-26,0.008152,0.009015,0.004531,0.009015,161.0,-1,0.01
2016-05-27,0.009016,0.018852,0.00473,0.005921,62.0,-1,0.01
2016-05-28,0.005915,0.006303,0.00499,0.0053,47.0,-1,0.01
2016-05-29,0.005275,0.009974,0.004578,0.005316,631.0,-1,0.01
2016-05-30,0.005316,0.042066,0.005283,0.041422,529.0,-1,0.02
2016-05-31,0.041383,0.041936,0.002714,0.00283,23.0,-1,0.02
2016-06-01,0.002829,0.00777,0.002677,0.007548,3.0,-1,0.01
2016-06-02,0.007529,0.007582,0.003032,0.003253,33.0,-1,0.01
2016-06-03,0.003251,0.00526,0.001425,0.001451,1.0,-1,0.0
2016-06-04,0.001453,0.001503,0.001439,0.001452,0.0,-1,0.0
2016-06-05,0.001476,0.002091,0.001462,0.001722,1.0,-1,0.0
2016-06-06,0.00172,0.001848,0.001464,0.001476,30.0,-1,0.0
2016-06-07,0.001475,0.001487,0.001469,0.001474,21.0,-1,0.0
2016-06-09,0.0029,0.002901,0.001446,0.001448,1.0,-1,0.0
2016-06-10,0.001451,0.001458,0.001445,0.001453,0.0,-1,0.0
2016-06-11,0.000846,0.000868,0.000843,0.000868,1.0,-1,0.0
2016-06-12,0.000872,0.000979,0.000868,0.000979,1.0,-1,0.0
2016-06-13,0.003452,0.017812,0.000963,0.000968,183.0,-1,0.01
2016-06-14,0.000968,0.016798,0.000942,0.016758,188.0,-1,0.01
2016-06-15,0.016761,0.016761,0.006719,0.006938,3.0,-1,0.01
2016-06-16,0.006958,0.01924,0.006958,0.019052,191.0,-1,0.01
2016-06-17,0.019056,0.019281,0.004011,0.004121,0.0,-1,0.01
2016-06-18,0.004118,0.004155,0.004037,0.004138,0.0,-1,0.0
2016-06-19,0.001918,0.015322,0.001918,0.007252,109.0,-1,0.01
2016-06-20,0.007257,0.017831,0.007168,0.014009,8.0,-1,0.01
2016-06-21,0.013982,0.013982,0.001867,0.001867,1.0,-1,0.01
2016-06-22,0.001865,0.001899,0.001676,0.001699,0.0,-1,0.0
2016-06-23,0.001703,0.012496,0.001594,0.01239,99.0,-1,0.01
2016-06-24,0.01239,0.013246,0.001961,0.001996,7.0,-1,0.01
2016-06-25,0.001996,0.002075,0.00194,0.001961,2.0,-1,0.0
2016-06-26,0.001937,0.001937,0.001851,0.00189,0.0,-1,0.0
2016-06-27,0.001888,0.00195,0.001862,0.001907,0.0,-1,0.0
2016-06-28,0.012002,0.012067,0.011911,0.011965,3.0,-1,0.01
2016-06-29,0.01191,0.01192,0.004726,0.006431,4.0,-1,0.01
2016-06-30,0.006438,0.010042,0.004737,0.009942,103.0,-1,0.01
2016-07-01,0.009932,0.010211,0.002035,0.002789,2.0,-1,0.01
2016-07-02,0.002793,0.002798,0.00207,0.002109,14.0,-1,0.0
2016-07-03,0.002113,0.002113,0.001687,0.001689,0.0,-1,0.0
2016-07-04,0.010751,0.014358,0.008715,0.014358,284.0,-1,0.01
2016-07-05,0.014358,0.014617,0.004012,0.014014,39.0,-1,0.01
2016-07-06,0.014012,0.014252,0.005043,0.005072,260.0,-1,0.01
2016-07-07,0.005074,0.013165,0.004056,0.004228,314.0,-1,0.01
