Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-10,0.000868,0.00413,0.000757,0.00293,109740.0,8964.0,0.0
2017-11-11,0.002919,0.002919,0.000744,0.001279,7514.0,30141.0,0.0
2017-11-12,0.001279,0.001705,0.000907,0.001219,5341.0,13201.0,0.0
2017-11-13,0.001221,0.001573,0.000744,0.001564,1064.0,12608.0,0.0
2017-11-14,0.001567,0.001603,0.00111,0.001356,648.0,16183.0,0.0
2017-11-15,0.001355,0.001418,0.000833,0.000937,1599.0,13994.0,0.0
2017-11-16,0.000942,0.001366,0.00093,0.001281,440.0,9727.0,0.0
2017-11-17,0.001279,0.00131,0.001012,0.001027,239.0,13202.0,0.0
2017-11-18,0.001015,0.001148,0.000852,0.000916,507.0,10476.0,0.0
2017-11-19,0.000888,0.001,0.000803,0.000973,349.0,9165.0,0.0
2017-11-20,0.000981,0.000982,0.00072,0.00072,212.0,10132.0,0.0
2017-11-21,0.00072,0.00075,0.000504,0.000568,98.0,7429.0,0.0
2017-11-22,0.000584,0.000657,0.000574,0.000588,86.0,6032.0,0.0
2017-11-23,0.000587,0.000677,0.000577,0.000628,575.0,6066.0,0.0
2017-11-24,0.000627,0.000706,0.000405,0.000409,118.0,6478.0,0.0
2017-11-25,0.000408,0.000601,0.000402,0.000448,66.0,4214.0,0.0
2017-11-26,0.000448,0.001055,0.000448,0.000791,11849.0,4629.0,0.0
2017-11-27,0.000791,0.001036,0.000524,0.000971,362.0,8168.0,0.0
2017-11-28,0.000974,0.004157,0.000961,0.001213,1960.0,10053.0,0.0
2017-11-29,0.001212,0.004676,0.001149,0.001225,5170.0,12512.0,0.0
2017-11-30,0.001243,0.002109,0.001213,0.001645,855.0,12837.0,0.0
2017-12-01,0.001637,0.003885,0.001469,0.001797,2314.0,16900.0,0.0
2017-12-02,0.001795,0.002587,0.00138,0.002543,1232.0,18534.0,0.0
2017-12-03,0.002546,0.002561,0.001857,0.002005,69.0,26285.0,0.0
2017-12-04,0.002011,0.002478,0.001215,0.001757,1242.0,20768.0,0.0
2017-12-05,0.001761,0.002764,0.001761,0.002749,1669.0,18180.0,0.0
2017-12-06,0.002742,0.003307,0.001894,0.002829,2459.0,28316.0,0.0
2017-12-07,0.00283,0.00326,0.001978,0.0025,3166.0,29223.0,0.0
2017-12-08,0.002491,0.003181,0.001678,0.001721,1049.0,25716.0,0.0
2017-12-09,0.002767,0.002808,0.001372,0.002351,294.0,52961.0,0.0
2017-12-10,0.002361,0.002361,0.000808,0.001536,780.0,46216.0,0.0
2017-12-11,0.001525,0.002381,0.001015,0.001142,320.0,30445.0,0.0
2017-12-12,0.001146,0.002149,0.001119,0.00148,155.0,23353.0,0.0
2017-12-13,0.001482,0.001817,0.000979,0.000986,642.0,30799.0,0.0
2017-12-14,0.000983,0.004801,0.000972,0.001493,6290.0,20956.0,0.0
2017-12-15,0.001496,0.004047,0.001203,0.001433,4502.0,32483.0,0.0
2017-12-16,0.001435,0.014949,0.001416,0.003517,6859.0,31691.0,0.01
2017-12-17,0.003684,0.005771,0.002572,0.002596,16490.0,82739.0,0.0
2017-12-18,0.005109,0.01862,0.003011,0.014795,80985.0,116717.0,0.01
2017-12-19,0.014811,0.119464,0.006519,0.026373,979489.0,344019.0,0.06
2017-12-20,0.026347,0.029584,0.016299,0.021117,120313.0,628923.0,0.02
2017-12-21,0.021172,0.021172,0.002406,0.005599,50062.0,516889.0,0.01
2017-12-22,0.005618,0.016815,0.002986,0.011849,12514.0,140210.0,0.01
2017-12-23,0.011961,0.01297,0.006685,0.008529,17421.0,304315.0,0.01
2017-12-24,0.008623,0.008623,0.005512,0.0081,17348.0,223753.0,0.01
2017-12-25,0.008184,0.011048,0.006676,0.008399,9711.0,216331.0,0.01
2017-12-26,0.00839,0.010303,0.00733,0.008447,4597.0,226215.0,0.01
2017-12-27,0.008453,0.010103,0.008053,0.009969,4891.0,232483.0,0.01
2017-12-28,0.009948,0.010453,0.008573,0.010453,629.0,279038.0,0.01
2017-12-29,0.010561,0.023717,0.010414,0.018551,26343.0,301395.0,0.02
2017-12-30,0.018504,0.018889,0.001974,0.007441,30206.0,538380.0,0.01
2017-12-31,0.007361,0.014569,0.007286,0.008728,12428.0,217702.0,0.01
2018-01-01,0.008762,0.011082,0.00678,0.009385,9581.0,263627.0,0.01
2018-01-02,0.009384,0.010297,0.008102,0.008255,16421.0,288267.0,0.01
2018-01-03,0.00821,0.015563,0.007473,0.01062,17729.0,256669.0,0.01
2018-01-04,0.010678,0.04096,0.010644,0.04096,8314.0,340660.0,0.03
2018-01-05,0.041042,0.083197,0.01273,0.027379,4610.0,1331610.0,0.05
2018-01-06,0.027401,0.031161,0.012802,0.023413,1686.0,904340.0,0.02
2018-01-07,0.023395,0.024144,0.0153,0.015492,1379.0,785800.0,0.02
2018-01-08,0.015471,0.035874,0.012268,0.022652,4257.0,529018.0,0.02
2018-01-09,0.02259,0.032671,0.017133,0.032671,11845.0,787273.0,0.02
2018-01-10,0.032714,0.03709,0.023063,0.029997,1725.0,1158200.0,0.03
2018-01-11,0.029963,0.032289,0.026824,0.031237,2161.0,1070950.0,0.03
2018-01-12,0.031444,0.034531,0.030352,0.030784,2680.0,1132670.0,0.03
2018-01-13,0.030749,0.032246,0.029302,0.030138,1100.0,1115770.0,0.03
2018-01-14,0.030158,0.040729,0.028565,0.028957,727.0,1114400.0,0.03
2018-01-15,0.028747,0.033855,0.028243,0.032755,2412.0,1101080.0,0.03
