Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-04-11,0.004271,0.005428,0.004247,0.004628,11843.0,61334.0,0.0
2014-04-12,0.004627,0.00583,0.003697,0.004414,9781.0,66866.0,0.0
2014-04-13,0.004307,0.00438,0.003672,0.003683,3415.0,65071.0,0.0
2014-04-14,0.003678,0.006036,0.003201,0.004126,8061.0,57898.0,0.0
2014-04-15,0.004132,0.004408,0.003284,0.003669,3167.0,67721.0,0.0
2014-04-16,0.003664,0.004509,0.003341,0.003438,2196.0,62464.0,0.0
2014-04-17,0.003643,0.003697,0.002768,0.003134,1318.0,64491.0,0.0
2014-04-18,0.00314,0.00391,0.002829,0.003079,2089.0,57655.0,0.0
2014-04-19,0.003073,0.00342,0.002486,0.003194,2288.0,58452.0,0.0
2014-04-20,0.003117,0.003216,0.002369,0.002568,2776.0,61248.0,0.0
2014-04-21,0.00257,0.003234,0.00253,0.002702,2131.0,52120.0,0.0
2014-04-22,0.002701,0.003162,0.002418,0.002419,10025.0,56529.0,0.0
2014-04-23,0.0023,0.002762,0.002265,0.002349,1918.0,49673.0,0.0
2014-04-24,0.002355,0.002766,0.002033,0.002441,1686.0,52412.0,0.0
2014-04-25,0.002417,0.002417,0.001613,0.001919,1338.0,55432.0,0.0
2014-04-26,0.001916,0.002867,0.001787,0.002462,5173.0,45202.0,0.0
2014-04-27,0.002734,0.003087,0.002176,0.002181,3728.0,66286.0,0.0
2014-04-28,0.002139,0.002347,0.001848,0.002105,1127.0,53219.0,0.0
2014-04-29,0.002106,0.004551,0.002042,0.004403,18532.0,53726.0,0.0
2014-04-30,0.004067,0.005232,0.003516,0.00474,30098.0,106204.0,0.0
2014-05-01,0.004748,0.004878,0.003351,0.003941,9295.0,126638.0,0.0
2014-05-02,0.003944,0.004914,0.003437,0.004354,6951.0,107448.0,0.0
2014-05-03,0.004548,0.00485,0.00391,0.003969,9194.0,126480.0,0.0
2014-05-04,0.00394,0.004256,0.00348,0.003508,2547.0,112108.0,0.0
2014-05-05,0.003514,0.003672,0.002632,0.002832,3349.0,102422.0,0.0
2014-05-06,0.002834,0.003526,0.0027,0.003094,2986.0,84677.0,0.0
2014-05-07,0.003085,0.003391,0.002329,0.002672,4783.0,94284.0,0.0
2014-05-08,0.002667,0.003134,0.001465,0.002727,2410.0,83253.0,0.0
2014-05-09,0.002727,0.002819,0.001536,0.002722,5849.0,87743.0,0.0
2014-05-10,0.00271,0.002714,0.002056,0.002203,5934.0,90605.0,0.0
2014-05-11,0.002201,0.002633,0.001835,0.002414,3383.0,76761.0,0.0
2014-05-12,0.002414,0.002492,0.002032,0.002131,1841.0,86523.0,0.0
2014-05-13,0.002134,0.002288,0.00211,0.002148,786.0,77609.0,0.0
2014-05-14,0.002148,0.002244,0.002008,0.002088,1405.0,79081.0,0.0
2014-05-15,0.002087,0.002207,0.001678,0.001867,2203.0,77766.0,0.0
2014-05-16,0.001868,0.002076,0.001749,0.001858,1093.0,70383.0,0.0
2014-05-17,0.001856,0.002196,0.001795,0.001944,1388.0,70724.0,0.0
2014-05-18,0.001945,0.002129,0.001789,0.001915,1252.0,74958.0,0.0
2014-05-19,0.001916,0.002004,0.001759,0.001769,898.0,74672.0,0.0
2014-05-20,0.001875,0.002402,0.001724,0.002162,1702.0,73842.0,0.0
2014-05-21,0.002161,0.002336,0.001549,0.001719,1615.0,86090.0,0.0
2014-05-22,0.001719,0.002244,0.001717,0.0021,1090.0,68607.0,0.0
2014-05-23,0.002102,0.002159,0.001667,0.002069,1318.0,83887.0,0.0
2014-05-24,0.002067,0.00216,0.0018,0.001834,3290.0,84711.0,0.0
2014-05-25,0.001834,0.002137,0.001572,0.001827,722.0,75851.0,0.0
2014-05-26,0.00183,0.002025,0.00175,0.001804,785.0,76354.0,0.0
2014-05-27,0.001805,0.002008,0.001378,0.001714,1827.0,75986.0,0.0
2014-05-28,0.001712,0.002171,0.001637,0.001665,758.0,72727.0,0.0
2014-05-29,0.001687,0.002412,0.001653,0.002216,1642.0,72291.0,0.0
2014-05-30,0.002216,0.004498,0.002176,0.003908,15560.0,95750.0,0.0
2014-05-31,0.003755,0.004863,0.002901,0.00348,11640.0,163586.0,0.0
2014-06-01,0.003474,0.004521,0.00266,0.002992,7375.0,152580.0,0.0
2014-06-02,0.002997,0.004404,0.002993,0.00367,8355.0,132685.0,0.0
2014-06-03,0.003674,0.003859,0.002886,0.003237,6545.0,163958.0,0.0
2014-06-04,0.003237,0.004239,0.003135,0.003158,5355.0,145629.0,0.0
2014-06-05,0.003217,0.003713,0.003139,0.003259,1441.0,145605.0,0.0
