Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-04-08,0.0004,0.001129,0.000399,0.001042,1325.0,72057.0,0.0
2014-04-09,0.001042,0.00133,0.000544,0.000892,3040.0,190138.0,0.0
2014-04-10,0.000921,0.002467,0.000546,0.001052,11640.0,170598.0,0.0
2014-04-11,0.001044,0.001708,0.001001,0.001267,3476.0,196529.0,0.0
2014-04-12,0.001267,0.001759,0.000841,0.001053,5000.0,242017.0,0.0
2014-04-13,0.001053,0.001068,0.000593,0.000676,1888.0,204081.0,0.0
2014-04-14,0.000675,0.000958,0.000609,0.000806,2691.0,132677.0,0.0
2014-04-15,0.000807,0.000887,0.000585,0.000883,1859.0,161088.0,0.0
2014-04-16,0.000882,0.00091,0.00063,0.000649,768.0,177932.0,0.0
2014-04-17,0.000649,0.000882,0.000503,0.000643,1167.0,130394.0,0.0
2014-04-18,0.000645,0.00086,0.000546,0.000673,501.0,129968.0,0.0
2014-04-19,0.000672,0.00078,0.000473,0.000552,612.0,135736.0,0.0
2014-04-20,0.000552,0.000805,0.000495,0.000747,250.0,111712.0,0.0
2014-04-21,0.000747,0.000766,0.000495,0.000501,175.0,151303.0,0.0
2014-04-22,0.000501,0.000715,0.000491,0.00062,440.0,102089.0,0.0
2014-04-23,0.00062,0.001469,0.000562,0.00074,2941.0,126650.0,0.0
2014-04-24,0.000742,0.001143,0.00074,0.000916,600.0,151692.0,0.0
2014-04-25,0.000916,0.001484,0.000794,0.001137,1686.0,187267.0,0.0
2014-04-26,0.001135,0.001799,0.000812,0.001371,1644.0,232110.0,0.0
2014-04-27,0.001371,0.001371,0.000851,0.000855,696.0,280377.0,0.0
2014-04-28,0.000851,0.000884,0.000706,0.000876,668.0,173998.0,0.0
2014-04-29,0.000876,0.000883,0.000714,0.00076,293.0,179152.0,0.0
2014-04-30,0.00076,0.000798,0.000714,0.000773,193.0,158513.0,0.0
2014-05-01,0.000774,0.000838,0.000723,0.000832,536.0,161889.0,0.0
2014-05-02,0.000833,0.000833,0.000729,0.000777,507.0,174673.0,0.0
2014-05-03,0.000777,0.000814,0.000701,0.000772,1070.0,163403.0,0.0
2014-05-04,0.00077,0.000772,0.000646,0.000697,612.0,162374.0,0.0
2014-05-05,0.000698,0.000702,0.000583,0.000593,337.0,147568.0,0.0
2014-05-06,0.000594,0.000748,0.000508,0.000663,833.0,125844.0,0.0
