Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-06-28,0.000102,0.000108,3e-05,3e-05,19.0,9857.0,0.0
2014-06-29,3e-05,0.000169,3e-05,0.000169,23.0,2897.0,0.0
2014-06-30,0.000169,0.000299,0.000102,0.000256,283.0,16501.0,0.0
2014-07-01,0.000256,0.000362,0.000244,0.000301,400.0,25146.0,0.0
2014-07-02,0.000301,0.000326,0.000169,0.000169,109.0,29754.0,0.0
2014-07-03,0.000325,0.00125,0.00018,0.000709,1019.0,32256.0,0.0
2014-07-04,0.00071,0.001064,0.000291,0.000568,830.0,70674.0,0.0
2014-07-05,0.000409,0.000601,0.000308,0.000372,314.0,40962.0,0.0
2014-07-06,0.000373,0.000942,0.000361,0.000388,194.0,37461.0,0.0
2014-07-07,0.000388,0.000471,0.000352,0.000356,276.0,39246.0,0.0
2014-07-08,0.000355,0.00045,0.000306,0.00045,153.0,36086.0,0.0
2014-07-09,0.00045,0.000451,0.000448,0.00045,159.0,46043.0,0.0
2014-07-10,0.00045,0.000451,0.000441,0.000444,157.0,45961.0,0.0
2014-07-11,0.000444,0.000455,0.000443,0.000455,161.0,45538.0,0.0
2014-07-12,0.000455,0.000458,0.000451,0.000456,162.0,46661.0,0.0
2014-07-13,0.000457,0.000457,0.00045,0.000451,160.0,46834.0,0.0
2014-07-14,0.000451,0.000452,0.000444,0.000446,158.0,46269.0,0.0
2014-07-15,0.000446,0.00045,0.000446,0.000448,158.0,45784.0,0.0
2014-07-16,0.000448,0.000449,0.000443,0.000444,157.0,45933.0,0.0
2014-07-17,0.000444,0.000445,0.000116,0.000262,99.0,45529.0,0.0
2014-07-18,0.000261,0.000264,0.000261,0.000264,100.0,26809.0,0.0
2014-07-19,0.000264,0.000264,0.000262,0.000264,100.0,27102.0,0.0
2014-07-20,0.000264,0.000264,0.000262,0.000262,100.0,27076.0,0.0
2014-07-21,0.000262,0.000262,0.00026,0.000261,99.0,26878.0,0.0
2014-07-22,0.000261,0.000262,0.000261,0.000261,99.0,26805.0,0.0
2014-07-23,0.000261,0.000262,0.00026,0.00026,99.0,26756.0,0.0
2014-07-24,0.00026,0.000261,0.00025,0.000253,96.0,26686.0,0.0
2014-07-25,0.000253,0.000255,0.000251,0.000252,96.0,25911.0,0.0
2014-07-26,0.000253,0.000253,0.000249,0.00025,95.0,25912.0,0.0
2014-07-27,0.00025,0.000252,0.000249,0.000249,95.0,25659.0,0.0
2014-07-28,0.00025,0.000876,0.000247,0.000293,2428.0,25593.0,0.0
2014-07-29,0.000433,0.000761,0.000344,0.000731,780.0,44441.0,0.0
2014-07-30,0.000754,0.001134,0.000633,0.000845,1050.0,77365.0,0.0
2014-07-31,0.000687,0.001342,0.000604,0.000774,1151.0,70411.0,0.0
2014-08-01,0.000774,0.000979,0.000318,0.000422,164.0,79362.0,0.0
2014-08-02,0.000422,0.000846,0.000389,0.00056,303.0,43320.0,0.0
2014-08-03,0.000559,0.000964,0.000393,0.000551,583.0,57379.0,0.0
2014-08-04,0.000551,0.000587,0.000389,0.0004,386.0,56518.0,0.0
2014-08-05,0.000401,0.000879,0.000393,0.000621,585.0,41079.0,0.0
2014-08-06,0.000621,0.000621,0.000438,0.000438,448.0,63703.0,0.0
2014-08-07,0.000438,0.000615,0.000438,0.000495,236.0,44972.0,0.0
2014-08-08,0.000495,0.000588,0.000443,0.000468,101.0,50733.0,0.0
2014-08-09,0.000468,0.000478,0.000459,0.000466,37.0,48005.0,0.0
2014-08-10,0.000465,0.000533,0.000389,0.000408,117.0,47738.0,0.0
2014-08-11,0.000408,0.000414,0.00039,0.000398,6.0,41844.0,0.0
2014-08-12,0.000398,0.000404,0.000386,0.000387,88.0,45484.0,0.0
2014-08-13,0.000388,0.000551,0.000368,0.000372,49.0,44414.0,0.0
2014-08-14,0.000371,0.000371,0.000329,0.000329,299.0,42595.0,0.0
2014-08-15,0.000332,0.000485,0.000332,0.000383,21.0,38159.0,0.0
2014-08-16,0.000383,0.000402,0.000376,0.0004,25.0,44092.0,0.0
2014-08-17,0.0004,0.000498,0.000377,0.000384,26.0,46048.0,0.0
2014-08-18,0.000383,0.000442,0.000265,0.000314,184.0,44234.0,0.0
2014-08-19,0.000314,0.000322,0.000287,0.000291,5.0,36262.0,0.0
2014-08-20,0.000291,0.000446,0.000276,0.000292,18.0,33683.0,0.0
2014-08-21,0.000291,0.000389,9.2e-05,0.000383,274.0,33723.0,0.0
2014-08-22,0.000383,0.000384,0.000221,0.000221,39.0,44443.0,0.0
2014-08-23,0.000221,0.000257,0.000156,0.000254,38.0,25616.0,0.0
2014-08-24,0.000254,0.00026,0.000198,0.000198,23.0,29488.0,0.0
2014-08-25,0.000198,0.000277,0.000195,0.000196,16.0,22999.0,0.0
2014-08-26,0.000196,0.00023,0.000196,0.000205,18.0,22742.0,0.0
2014-08-27,0.000205,0.000226,0.00018,0.000215,65.0,23773.0,0.0
2014-08-28,0.000215,0.000216,0.000117,0.000213,108.0,24898.0,0.0
2014-08-29,0.000214,0.000219,0.000147,0.000208,15.0,24778.0,0.0
2014-08-30,0.000209,0.000227,0.000208,0.000217,9.0,24196.0,0.0
2014-08-31,0.000216,0.000363,0.000213,0.000354,89.0,25093.0,0.0
2014-09-01,0.000354,0.000357,0.000166,0.000166,75.0,41026.0,0.0
2014-09-02,0.000166,0.000211,0.000115,0.000119,98.0,19270.0,0.0
2014-09-03,0.000119,0.000239,0.000115,0.000239,72.0,13834.0,0.0
2014-09-04,0.000239,0.000382,0.000176,0.000176,119.0,27714.0,0.0
2014-09-05,0.000176,0.000392,0.000141,0.000353,101.0,20455.0,0.0
2014-09-06,0.000353,0.00043,0.000199,0.000199,304.0,40942.0,0.0
2014-09-07,0.000199,0.000403,0.000194,0.00028,161.0,23080.0,0.0
2014-09-08,0.000279,0.00028,0.000211,0.000218,25.0,32426.0,0.0
2014-09-09,0.000218,0.000334,0.000211,0.000261,322.0,26118.0,0.0
2014-09-10,0.000262,0.000314,0.000209,0.000307,308.0,31321.0,0.0
2014-09-11,0.000307,0.000313,0.000228,0.000254,28.0,36834.0,0.0
2014-09-12,0.000302,0.000302,0.000242,0.000244,25.0,36325.0,0.0
2014-09-13,0.000244,0.000984,0.000242,0.000637,3826.0,29346.0,0.0
2014-09-14,0.000637,0.00116,0.00051,0.000906,9129.0,76871.0,0.0
2014-09-15,0.000906,0.001039,0.000556,0.000635,2665.0,109452.0,0.0
2014-09-16,0.00054,0.000691,0.000404,0.000417,283.0,65438.0,0.0
2014-09-17,0.000417,0.000829,0.000325,0.00068,358.0,50558.0,0.0
2014-09-18,0.00068,0.00068,0.000375,0.000442,213.0,82574.0,0.0
2014-09-19,0.000442,0.000866,0.000438,0.0008,620.0,53837.0,0.0
2014-09-20,0.000743,0.000849,0.000674,0.000738,1302.0,90699.0,0.0
2014-09-21,0.000736,0.000974,0.000691,0.000812,531.0,90070.0,0.0
2014-09-22,0.000813,0.001077,0.00077,0.000862,860.0,99653.0,0.0
2014-09-23,0.000855,0.000955,0.000665,0.000703,290.0,104997.0,0.0
2014-09-24,0.000703,0.000872,0.000634,0.000653,210.0,86486.0,0.0
2014-09-25,0.000653,0.000803,0.000618,0.000789,115.0,80575.0,0.0
2014-09-26,0.000789,0.000795,0.000623,0.000707,402.0,97515.0,0.0
2014-09-27,0.000706,0.000778,0.000657,0.000719,153.0,87428.0,0.0
2014-09-28,0.000719,0.000721,0.000573,0.000578,560.0,89168.0,0.0
