Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-06-26,0.020716,0.021825,0.017524,0.017539,1121.0,2297.0,0.02
2015-06-27,0.017535,0.025133,0.014681,0.025124,1109.0,2510.0,0.02
2015-06-28,0.025121,0.025121,0.014389,0.015015,928.0,5246.0,0.02
2015-06-29,0.014998,0.018764,0.008307,0.012524,851.0,4114.0,0.01
2015-06-30,0.012523,0.013277,0.003126,0.004093,623.0,4260.0,0.01
2015-07-01,0.004098,0.004126,8.5e-05,0.000266,406.0,1664.0,0.0
2015-07-02,0.000266,0.002083,0.000266,0.002043,11.0,121.0,0.0
2015-07-03,0.002044,0.002057,0.001661,0.001666,4.0,931.0,0.0
2015-07-04,0.001667,0.00167,0.000191,0.000196,0.0,833.0,0.0
2015-07-05,0.000196,0.000275,0.000196,0.000272,1.0,98.0,0.0
2015-07-06,0.000271,0.000274,0.000148,0.000148,7.0,135.0,0.0
2015-07-07,0.000148,0.000149,0.000146,0.000146,1.0,74.0,0.0
2015-07-08,0.000146,0.001908,0.000145,0.00189,25.0,73.0,0.0
2015-07-09,0.00189,0.001901,0.001864,0.001885,19.0,966.0,0.0
2015-07-10,0.001884,0.002062,0.001707,0.001718,1.0,965.0,0.0
2015-07-11,0.001718,0.002064,0.001715,0.002052,5.0,883.0,0.0
2015-07-12,0.002052,0.002118,0.001798,0.001878,2.0,1057.0,0.0
2015-07-13,0.001877,0.00217,0.001716,0.001761,7.0,970.0,0.0
2015-07-14,0.001761,0.002091,0.001729,0.002083,15.0,913.0,0.0
2015-07-15,0.002085,0.002273,0.001721,0.001724,29.0,1084.0,0.0
2015-07-16,0.001725,0.002153,0.000509,0.002152,8.0,899.0,0.0
2015-07-17,0.002152,0.002169,0.002106,0.002158,0.0,1125.0,0.0
2015-07-18,0.002156,0.002181,0.002124,0.00213,5.0,1130.0,0.0
2015-07-19,0.002129,0.002136,0.000528,0.000528,0.0,1119.0,0.0
2015-07-20,0.000528,0.002143,0.000527,0.002143,0.0,278.0,0.0
2015-07-21,0.002142,0.002155,0.002132,0.002138,0.0,1131.0,0.0
2015-07-22,0.00053,0.002124,0.00053,0.002124,1.0,281.0,0.0
2015-07-23,0.002124,0.00213,0.00053,0.00053,0.0,1128.0,0.0
2015-07-24,0.00053,0.000555,0.000528,0.000553,0.0,282.0,0.0
2015-07-27,0.000517,0.000517,0.000514,0.000514,0.0,278.0,0.0
2015-07-28,0.000514,0.000533,0.000513,0.00053,0.0,277.0,0.0
2015-07-29,0.00053,0.00053,0.00052,0.000524,0.0,286.0,0.0
2015-07-30,0.002206,0.004961,0.000573,0.004952,29.0,1196.0,0.0
2015-07-31,0.004951,0.004973,0.000879,0.000882,0.0,2689.0,0.0
2015-08-01,0.000883,0.000931,0.000866,0.000931,1.0,481.0,0.0
2015-08-02,0.000925,0.002193,0.000884,0.000887,1.0,505.0,0.0
2015-08-03,0.000888,0.000895,0.00088,0.00089,0.0,486.0,0.0
2015-08-07,0.000878,0.001731,0.000877,0.001731,0.0,487.0,0.0
2015-08-08,0.001732,0.001733,0.001659,0.001663,0.0,961.0,0.0
2015-08-10,0.000459,0.000461,0.000459,0.00046,0.0,257.0,0.0
2015-08-11,0.00046,0.001614,0.00046,0.000479,0.0,257.0,0.0
