Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-12-01,0.027282,0.043869,0.027268,0.041623,69.0,-1.0,0.04
2016-12-02,0.041665,0.04363,0.028819,0.043622,45.0,-1.0,0.04
2016-12-03,0.043635,0.076902,0.028955,0.029335,120.0,-1.0,0.05
2016-12-04,0.029335,0.051618,0.029295,0.030197,54.0,-1.0,0.04
2016-12-05,0.030178,0.030178,0.027297,0.029437,43.0,-1.0,0.03
2016-12-06,0.029438,0.042767,0.01603,0.01666,27.0,-1.0,0.03
2016-12-07,0.01666,0.038186,0.016149,0.026739,39.0,-1.0,0.03
2016-12-08,0.024019,0.038719,0.016653,0.017362,85.0,-1.0,0.03
2016-12-09,0.017339,0.034257,0.016625,0.021638,66.0,-1.0,0.03
2016-12-10,0.021645,0.023176,0.015896,0.015896,59.0,-1.0,0.02
2016-12-11,0.018323,0.018708,0.013342,0.013355,80.0,-1.0,0.02
2016-12-12,0.01336,0.015638,0.007863,0.007863,47.0,-1.0,0.01
2016-12-13,0.007869,0.015769,0.00785,0.008984,5.0,-1.0,0.01
2016-12-14,0.008984,0.015645,0.008946,0.015645,25.0,-1.0,0.01
2016-12-15,0.015645,0.015645,0.009002,0.011593,37.0,-1.0,0.01
2016-12-16,0.009348,0.019832,0.009348,0.013343,23.0,-1.0,0.01
2016-12-17,0.013348,0.020035,0.013343,0.014235,16.0,-1.0,0.02
2016-12-18,0.014238,0.019636,0.011174,0.015811,41.0,-1.0,0.02
2016-12-19,0.015814,0.01587,0.007937,0.007943,9.0,-1.0,0.01
2016-12-20,0.007938,0.011219,0.007938,0.011212,20.0,-1.0,0.01
2016-12-21,0.011209,0.013448,0.008156,0.008468,13.0,-1.0,0.01
2016-12-22,0.008467,0.008907,0.008467,0.00883,16.0,-1.0,0.01
2016-12-23,0.008827,0.009699,0.008827,0.009487,4.0,-1.0,0.01
2016-12-24,0.009489,0.011262,0.009357,0.010378,6.0,-1.0,0.01
2016-12-25,0.010391,0.017624,0.009661,0.01761,49.0,-1.0,0.01
2016-12-26,0.017624,0.017944,0.011002,0.011073,3.0,-1.0,0.01
2016-12-27,0.011073,0.017372,0.011032,0.011478,2.0,-1.0,0.01
2016-12-28,0.011478,0.012004,0.011478,0.012004,2.0,-1.0,0.01
2016-12-29,0.011994,0.017442,0.009968,0.017426,27.0,-1.0,0.01
2016-12-30,0.017426,0.017426,0.009525,0.00966,16.0,-1.0,0.01
2016-12-31,0.009654,0.010496,0.009554,0.009761,11.0,-1.0,0.01
2017-01-01,0.009762,0.016425,0.009714,0.016353,60.0,-1.0,0.01
2017-01-02,0.016357,0.016545,0.010251,0.010933,45.0,-1.0,0.01
2017-01-03,0.010933,0.011067,0.01084,0.011065,23.0,-1.0,0.01
2017-01-04,0.011071,0.014775,0.011071,0.01224,24.0,-1.0,0.01
2017-01-05,0.012261,0.015461,0.01057,0.011867,1787.0,-1.0,0.01
2017-01-06,0.012019,0.012586,0.006655,0.012532,502.0,-1.0,0.01
2017-01-07,0.012549,0.01261,0.005353,0.005924,2.0,-1.0,0.01
2017-01-08,0.005921,0.006231,0.005874,0.00595,10.0,-1.0,0.01
2017-01-09,0.00595,0.007224,0.005745,0.006771,7.0,-1.0,0.01
2017-01-10,0.006768,0.011644,0.005909,0.011618,100.0,-1.0,0.01
2017-01-11,0.011618,0.011858,0.005063,0.005063,28.0,-1.0,0.01
