Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-11-27,0.016989,0.025361,0.016978,0.025049,-1.0,339175.0,0.02
2013-11-28,0.025084,0.032241,0.01949,0.028895,-1.0,500847.0,0.03
2013-11-29,0.029176,0.045618,0.026807,0.037366,-1.0,582629.0,0.04
2013-11-30,0.037281,0.054512,0.037234,0.054382,-1.0,744570.0,0.05
2013-12-01,0.054358,0.055172,0.018717,0.028714,-1.0,1085790.0,0.04
2013-12-02,0.028581,0.046976,0.028445,0.046939,-1.0,570982.0,0.04
2013-12-03,0.047078,0.049263,0.039755,0.047434,-1.0,940646.0,0.04
2013-12-04,0.047403,0.051781,0.034616,0.050076,-1.0,947284.0,0.04
2013-12-05,0.050144,0.082164,0.049952,0.069897,-1.0,1002200.0,0.07
2013-12-06,0.069714,0.071475,0.04985,0.04985,-1.0,1393560.0,0.06
2013-12-07,0.050203,0.058936,0.03842,0.04748,-1.0,1003680.0,0.05
2013-12-08,0.047417,0.057371,0.034792,0.050944,-1.0,948124.0,0.05
2013-12-09,0.050811,0.064278,0.046854,0.060746,-1.0,1016130.0,0.06
2013-12-10,0.060687,0.068491,0.048568,0.059805,-1.0,1213800.0,0.06
2013-12-11,0.059839,0.060596,0.044785,0.045505,-1.0,1197010.0,0.05
2013-12-12,0.045728,0.051418,0.042793,0.049461,-1.0,914878.0,0.05
2013-12-13,0.049559,0.051761,0.042557,0.051761,-1.0,991667.0,0.05
2013-12-14,0.052182,0.052182,0.04056,0.046684,-1.0,1044300.0,0.05
2013-12-15,0.046828,0.050317,0.040745,0.045567,-1.0,937282.0,0.05
2013-12-16,0.045786,0.046583,0.033417,0.036943,-1.0,916561.0,0.04
2013-12-17,0.036964,0.039553,0.028255,0.030013,-1.0,740073.0,0.03
2013-12-18,0.029841,0.02989,0.011546,0.016209,-1.0,597538.0,0.02
2013-12-19,0.016096,0.02754,0.014086,0.026945,-1.0,322356.0,0.02
2013-12-20,0.027033,0.030822,0.018604,0.020761,-1.0,541465.0,0.02
2013-12-21,0.020661,0.021088,0.014474,0.015463,-1.0,413902.0,0.02
2013-12-22,0.015363,0.022903,0.015102,0.017281,-1.0,307817.0,0.02
2013-12-23,0.017166,0.020427,0.017109,0.020202,-1.0,343976.0,0.02
2013-12-24,0.020171,0.020833,0.019178,0.020833,-1.0,404254.0,0.02
2013-12-25,0.020855,0.020877,0.019322,0.020807,-1.0,418036.0,0.02
2013-12-26,0.02086,0.027237,0.02086,0.026684,-1.0,418190.0,0.02
2013-12-27,0.02673,0.02944,0.023715,0.029403,780.0,535944.0,0.03
2013-12-28,0.029519,0.029868,0.024185,0.025954,94.0,591953.0,0.03
2013-12-29,0.025962,0.027444,0.022523,0.024818,1061.0,520701.0,0.02
2013-12-30,0.024694,0.030633,0.024694,0.030215,265.0,495346.0,0.03
2013-12-31,0.030382,0.035786,0.02611,0.034315,2028.0,609529.0,0.03
2014-01-01,0.034359,0.035365,0.03,0.03506,743.0,689399.0,0.03
2014-01-02,0.035153,0.038436,0.030205,0.038106,480.0,705435.0,0.03
2014-01-03,0.038127,0.047678,0.037053,0.047117,4733.0,765232.0,0.04
2014-01-04,0.047379,0.047379,0.028565,0.033358,4669.0,951063.0,0.04
2014-01-05,0.03332,0.046015,0.03332,0.044809,1108.0,668950.0,0.04
2014-01-06,0.04493,0.046019,0.036416,0.03955,1435.0,902168.0,0.04
2014-01-07,0.039651,0.043039,0.031917,0.03208,542.0,796276.0,0.04
2014-01-08,0.03184,0.036427,0.026081,0.026664,1276.0,639505.0,0.03
2014-01-09,0.026624,0.02881,0.025996,0.026464,1366.0,534826.0,0.03
2014-01-10,0.026459,0.027294,0.025732,0.027201,483.0,531590.0,0.03
2014-01-11,0.027165,0.031479,0.026998,0.030462,2852.0,545839.0,0.03
2014-01-12,0.03065,0.030948,0.026599,0.027623,794.0,615970.0,0.03
2014-01-13,0.027526,0.027974,0.024931,0.026027,1184.0,553264.0,0.03
2014-01-14,0.026088,0.026431,0.025439,0.025598,742.0,524429.0,0.03
2014-01-15,0.025593,0.026713,0.025524,0.026275,379.0,514568.0,0.03
2014-01-16,0.026256,0.026435,0.024676,0.024676,1711.0,527965.0,0.03
2014-01-17,0.024643,0.024801,0.023307,0.023877,758.0,495590.0,0.02
2014-01-18,0.023919,0.024366,0.021649,0.0231,1278.0,481109.0,0.02
2014-01-19,0.023091,0.023205,0.020283,0.020912,3635.0,464512.0,0.02
2014-01-20,0.020931,0.029446,0.02051,0.025514,1812.0,421126.0,0.02
2014-01-21,0.025498,0.029472,0.02517,0.028708,1204.0,513091.0,0.03
2014-01-22,0.026979,0.02792,0.023717,0.023846,957.0,542969.0,0.03
2014-01-23,0.023842,0.02419,0.021252,0.022886,616.0,479903.0,0.02
2014-01-24,0.022897,0.023695,0.019975,0.019975,158.0,460940.0,0.02
2014-01-25,0.019962,0.022828,0.019718,0.022629,19.0,401916.0,0.02
2014-01-26,0.022631,0.024489,0.022447,0.024,171.0,455727.0,0.02
2014-01-27,0.023981,0.024209,0.018368,0.020149,803.0,482989.0,0.02
2014-01-28,0.020217,0.028063,0.018722,0.022206,478.0,407240.0,0.02
2014-01-29,0.022144,0.024525,0.021758,0.021914,97.0,446117.0,0.02
2014-01-30,0.021923,0.022766,0.019303,0.020066,523.0,441713.0,0.02
2014-01-31,0.020051,0.022241,0.019984,0.020366,222.0,404071.0,0.02
2014-02-01,0.020334,0.020725,0.020306,0.020648,248.0,409824.0,0.02
2014-02-02,0.020815,0.021287,0.019696,0.019809,183.0,419593.0,0.02
2014-02-03,0.019778,0.019971,0.018897,0.019599,157.0,398722.0,0.02
2014-02-04,0.019598,0.022664,0.019358,0.019755,144.0,395141.0,0.02
2014-02-05,0.019803,0.023065,0.019413,0.019413,321.0,399337.0,0.02
2014-02-06,0.019501,0.02234,0.018356,0.019547,69.0,393303.0,0.02
2014-02-07,0.019588,0.019588,0.016365,0.017831,65.0,395114.0,0.02
2014-02-08,0.01751,0.018145,0.016855,0.016855,8.0,353256.0,0.02
2014-02-09,0.017457,0.019181,0.016731,0.018391,8.0,352229.0,0.02
2014-02-10,0.018348,0.01843,0.013107,0.016699,496.0,370262.0,0.02
2014-02-11,0.016759,0.017746,0.015536,0.016065,36.0,338254.0,0.02
2014-02-12,0.01607,0.018698,0.015317,0.016058,329.0,324373.0,0.02
2014-02-13,0.016043,0.017409,0.014548,0.016329,87.0,323868.0,0.02
2014-02-14,0.01622,0.019368,0.014549,0.018734,300.0,327493.0,0.02
2014-02-15,0.018704,0.018737,0.017339,0.017594,1078.0,377702.0,0.02
2014-02-16,0.017605,0.019301,0.016357,0.017266,1841.0,355561.0,0.02
2014-02-17,0.017198,0.020891,0.017094,0.017536,197.0,347408.0,0.02
2014-02-18,0.01756,0.019682,0.017303,0.018171,255.0,354771.0,0.02
2014-02-19,0.018153,0.019269,0.016878,0.018379,717.0,366795.0,0.02
2014-02-20,0.018381,0.019515,0.016072,0.016072,706.0,371457.0,0.02
2014-02-21,0.016094,0.02019,0.015662,0.019831,579.0,325278.0,0.02
2014-02-22,0.019834,0.019968,0.014142,0.016952,2585.0,400936.0,0.02
