Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-09-15,2.3,2.3,2.3,2.3,231.0,461461.0,2.3
2015-09-16,2.3,2.31,2.3,2.31,231.0,467747.0,2.3
2015-09-22,0.019008,0.019098,0.01873,0.019092,52.0,5086.0,0.02
2015-09-23,0.019121,0.019439,0.003135,0.003462,9.0,5138.0,0.01
2015-09-24,0.003463,0.003474,0.00116,0.002345,10.0,963.0,0.0
2015-09-25,0.002344,0.007101,0.001894,0.002352,8.0,674.0,0.0
2015-09-26,0.002351,0.004689,0.001526,0.002343,8.0,697.0,0.0
2015-09-27,0.002341,0.046135,0.001932,0.003408,144.0,713.0,0.02
2015-09-28,0.005392,0.005642,0.00199,0.002137,22.0,1693.0,0.0
2015-09-29,0.002136,0.002321,0.001857,0.001952,9.0,689.0,0.0
2015-09-30,0.002012,0.003464,0.001423,0.003435,52.0,667.0,0.0
2015-10-01,0.003435,0.004706,0.002347,0.002459,50.0,1171.0,0.0
2015-10-02,0.002456,0.004175,0.002116,0.002137,13.0,861.0,0.0
2015-10-03,0.002136,0.008473,0.002136,0.004931,102.0,769.0,0.01
2015-10-04,0.004925,0.014401,0.003432,0.003616,50.0,1820.0,0.01
2015-10-05,0.003615,0.006635,0.003613,0.005698,64.0,1368.0,0.01
2015-10-06,0.005697,0.005697,0.004307,0.004307,40.0,2203.0,0.01
2015-10-07,0.004308,0.004651,0.001671,0.004532,93.0,1696.0,0.0
2015-10-08,0.004534,0.019149,0.003787,0.008497,3829.0,1819.0,0.01
2015-10-09,0.008504,0.009068,0.005406,0.006182,203.0,3481.0,0.01
2015-10-10,0.006177,0.007544,0.005353,0.00616,216.0,2585.0,0.01
2015-10-11,0.006157,0.007103,0.003094,0.003297,180.0,2628.0,0.01
2015-10-12,0.00332,0.009162,0.003106,0.004442,669.0,1440.0,0.01
2015-10-13,0.00444,0.005975,0.004402,0.00538,106.0,1960.0,0.01
2015-10-14,0.005433,0.005437,0.004221,0.004638,89.0,2446.0,0.0
2015-10-15,0.004673,0.006359,0.003189,0.006321,167.0,2145.0,0.0
2015-10-16,0.006321,0.007792,0.004127,0.007519,1790.0,2952.0,0.01
2015-10-17,0.007515,0.008402,0.005429,0.006766,1033.0,3568.0,0.01
2015-10-18,0.006773,0.007238,0.006493,0.006504,65.0,3263.0,0.01
2015-10-19,0.00651,0.006831,0.004359,0.005274,682.0,3191.0,0.01
2015-10-20,0.005277,0.006866,0.004429,0.004891,1264.0,2629.0,0.01
2015-10-21,0.004888,0.005965,0.00488,0.005557,85.0,2472.0,0.01
2015-10-22,0.005562,0.00706,0.005341,0.005825,1447.0,2858.0,0.01
2015-10-23,0.005817,0.007027,0.005815,0.007019,221.0,3041.0,0.01
2015-10-24,0.00702,0.007035,0.005111,0.006049,53.0,3731.0,0.01
2015-10-25,0.006044,0.006271,0.004296,0.004441,274.0,3236.0,0.01
2015-10-26,0.004441,0.005087,0.002342,0.002582,105.0,2397.0,0.0
2015-10-27,0.002581,0.004665,0.002545,0.003735,69.0,1407.0,0.0
2015-10-28,0.003735,0.006923,0.003735,0.004648,210.0,2065.0,0.01
2015-10-29,0.004643,0.006175,0.004107,0.005426,223.0,2606.0,0.01
2015-10-30,0.005427,0.007306,0.004736,0.004939,96.0,3088.0,0.01
