Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-09-29,0.800234,1.21,0.681644,0.867433,55845.0,-1.0,0.95
2017-09-30,0.867543,0.961433,0.608903,0.717273,25071.0,-1.0,0.79
2017-10-01,0.71766,0.757604,0.35062,0.55577,28992.0,-1.0,0.55
2017-10-02,0.55553,0.623767,0.42022,0.421165,18666.0,263308.0,0.52
2017-10-03,0.421181,0.523684,0.161379,0.292634,16844.0,208261.0,0.34
2017-10-04,0.293302,0.367303,0.231726,0.36663,10137.0,151033.0,0.3
2017-10-05,0.366962,0.402844,0.244776,0.288626,7763.0,196264.0,0.32
2017-10-06,0.288581,0.646661,0.288281,0.423139,30009.0,160370.0,0.47
2017-10-07,0.350649,0.423967,0.346073,0.356967,6029.0,202073.0,0.39
2017-10-08,0.356013,0.370092,0.335461,0.34575,8328.0,212541.0,0.35
2017-10-09,0.345839,0.347554,0.174811,0.229788,12696.0,213212.0,0.26
2017-10-10,0.229771,0.330704,0.178917,0.314878,12002.0,146391.0,0.25
2017-10-11,0.314825,0.457952,0.259248,0.392056,21336.0,207105.0,0.36
2017-10-12,0.392388,0.442586,0.271578,0.282636,7872.0,266314.0,0.36
2017-10-13,0.283504,0.458405,0.281697,0.418392,14378.0,198159.0,0.37
2017-10-14,0.418535,0.478018,0.376632,0.415355,15390.0,300521.0,0.43
2017-10-15,0.416108,0.424889,0.339811,0.353126,11958.0,298779.0,0.38
2017-10-16,0.353173,0.399276,0.291456,0.38739,14929.0,253589.0,0.35
2017-10-17,0.387566,0.397823,0.344902,0.355342,5298.0,301122.0,0.37
2017-10-18,0.355367,0.433014,0.347581,0.376736,23321.0,284262.0,0.39
2017-10-19,0.376929,0.44505,0.374032,0.399322,9444.0,309278.0,0.41
2017-10-20,0.399434,0.455064,0.395222,0.428407,17295.0,335902.0,0.43
2017-10-21,0.427506,0.452485,0.3719,0.396778,27728.0,368250.0,0.41
2017-10-22,0.396898,0.398122,0.367696,0.380263,4746.0,350119.0,0.38
2017-10-23,0.379649,0.42847,0.3644,0.373832,10229.0,342910.0,0.4
2017-10-24,0.373003,0.418374,0.27233,0.384053,19481.0,344577.0,0.35
2017-10-25,0.384235,0.415584,0.372524,0.372524,13522.0,355659.0,0.39
2017-10-26,0.37248,0.43311,0.370164,0.414663,14031.0,359428.0,0.4
2017-10-27,0.403224,0.428534,0.373287,0.390097,19589.0,397581.0,0.4
2017-10-28,0.391162,0.410931,0.36163,0.36163,13472.0,393435.0,0.39
2017-10-29,0.361135,0.395315,0.256699,0.279443,15151.0,370434.0,0.33
2017-10-30,0.277789,0.398517,0.121325,0.239478,17583.0,290335.0,0.26
2017-10-31,0.238682,0.260087,0.127092,0.151796,12114.0,254259.0,0.19
2017-11-01,0.151684,0.290036,0.150829,0.231587,16734.0,164647.0,0.22
2017-11-02,0.231845,0.273668,0.163093,0.166101,9660.0,256351.0,0.22
2017-11-03,0.165886,0.1784,0.14761,0.148838,3782.0,186911.0,0.16
2017-11-04,0.148462,0.164861,0.142316,0.147731,2981.0,170263.0,0.15
2017-11-05,0.147462,0.163715,0.09254,0.0934,4565.0,172087.0,0.13
2017-11-06,0.093636,0.102017,0.052899,0.066714,4515.0,110741.0,0.08
2017-11-07,0.06668,0.093476,0.061716,0.065087,4303.0,78861.0,0.08
2017-11-08,0.064883,0.16291,0.031254,0.033759,4374.0,79678.0,0.1
2017-11-09,0.033769,0.11081,0.033511,0.046218,3226.0,42154.0,0.07
2017-11-10,0.046355,0.062462,0.043296,0.044343,746.0,58852.0,0.05
2017-11-11,0.044184,0.049684,0.043429,0.044011,423.0,57011.0,0.05
2017-11-12,0.04398,0.050378,0.034746,0.035987,3828.0,57657.0,0.04
2017-11-13,0.036039,0.063022,0.036039,0.041608,2967.0,47941.0,0.05
2017-11-14,0.041696,0.057714,0.036991,0.051509,1251.0,56327.0,0.05
2017-11-15,0.051549,0.06625,0.045173,0.047084,2497.0,70706.0,0.06
2017-11-16,0.047382,0.06106,0.046198,0.052844,1904.0,65952.0,0.05
2017-11-17,0.052777,0.061156,0.036909,0.040287,2013.0,74536.0,0.05
2017-11-18,0.040132,0.060661,0.036747,0.038516,737.0,57474.0,0.05
2017-11-19,0.038444,0.048617,0.033452,0.047192,1073.0,55777.0,0.04
2017-11-20,0.047229,0.057669,0.032893,0.034679,2988.0,69488.0,0.05
2017-11-21,0.034686,0.047477,0.032803,0.033294,1354.0,51737.0,0.04
2017-11-22,0.033375,0.035933,0.019636,0.025111,933.0,50480.0,0.03
2017-11-23,0.025074,0.025277,0.0234,0.024245,525.0,38427.0,0.02
2017-11-24,0.024212,0.037132,0.017805,0.023668,995.0,37597.0,0.03
2017-11-25,0.023616,0.03404,0.023564,0.026087,324.0,37148.0,0.03
2017-11-26,0.026079,0.031966,0.024637,0.027885,713.0,41566.0,0.03
2017-11-27,0.02789,0.029051,0.01946,0.028951,1174.0,45002.0,0.02
2017-11-28,0.029026,0.029027,0.023136,0.025641,629.0,47419.0,0.03
2017-11-29,0.025619,0.029628,0.016064,0.024134,2130.0,42383.0,0.02
2017-11-30,0.024505,0.030153,0.022568,0.025208,623.0,41023.0,0.03
2017-12-01,0.025083,0.025366,0.00524,0.005458,3229.0,42476.0,0.02
2017-12-02,0.005453,0.025513,0.00206,0.002234,251.0,9339.0,0.01
2017-12-03,0.00224,0.036059,0.002232,0.022398,1484.0,3836.0,0.02
2017-12-04,0.022472,0.023109,0.013048,0.016514,728.0,39350.0,0.02
2017-12-05,0.016547,0.034097,0.01635,0.017696,339.0,29305.0,0.03
2017-12-06,0.017652,0.036707,0.017652,0.036656,1397.0,31618.0,0.03
2017-12-07,0.036592,0.042379,0.025151,0.028065,3084.0,66297.0,0.03
2017-12-08,0.028131,0.034423,0.023376,0.032512,733.0,51559.0,0.03
2017-12-09,0.032479,0.03726,0.015787,0.036856,2281.0,60199.0,0.03
2017-12-10,0.037006,0.037006,0.019141,0.024573,699.0,69312.0,0.03
2017-12-11,0.024395,0.042414,0.024289,0.041305,1549.0,46182.0,0.03
2017-12-12,0.041437,0.043477,0.028476,0.042809,1166.0,79309.0,0.04
2017-12-13,0.042845,0.046766,0.029639,0.042195,1144.0,82875.0,0.04
2017-12-14,0.029571,0.032361,0.019039,0.020703,326.0,57761.0,0.03
2017-12-15,0.020734,0.040659,0.020731,0.04046,807.0,40897.0,0.03
2017-12-16,0.040517,0.040517,0.021885,0.029211,676.0,80770.0,0.03
2017-12-17,0.029215,0.033371,0.028634,0.032312,338.0,58829.0,0.03
2017-12-18,0.032409,0.05535,0.029293,0.031161,2626.0,65947.0,0.04
2017-12-19,0.031188,0.041578,0.029753,0.033914,2858.0,64094.0,0.04
2017-12-20,0.033881,0.043804,0.032119,0.038552,2251.0,70331.0,0.04
2017-12-21,0.038653,0.10282,0.033782,0.064201,4025.0,81036.0,0.07
2017-12-22,0.064423,0.236476,0.019405,0.13342,3303.0,136406.0,0.13
2017-12-23,0.134681,0.13869,0.053632,0.064936,1924.0,287970.0,0.1
2017-12-24,0.065654,0.097908,0.059807,0.06274,4655.0,141815.0,0.08
2017-12-25,0.063391,0.083836,0.023437,0.058564,2777.0,138250.0,0.05
2017-12-26,0.058505,0.083759,0.058265,0.07927,3008.0,128770.0,0.07
2017-12-27,0.079327,0.11805,0.066018,0.099044,8047.0,176288.0,0.09
2017-12-28,0.098836,0.099255,0.086798,0.089753,7292.0,221720.0,0.09
2017-12-29,0.100537,0.145678,0.094732,0.145309,8583.0,228163.0,0.12
2017-12-30,0.144943,0.190924,0.094878,0.179933,15384.0,331220.0,0.14
2017-12-31,0.17799,0.516,0.117812,0.292476,44813.0,409197.0,0.32
2018-01-01,0.293608,0.549177,0.28857,0.405074,99796.0,681133.0,0.42
2018-01-02,0.405042,0.616337,0.329426,0.521101,73058.0,947715.0,0.47
2018-01-03,0.48958,0.597328,0.423131,0.432658,23168.0,1155480.0,0.51
2018-01-04,0.435028,0.478126,0.28865,0.455344,17891.0,1035570.0,0.38
2018-01-05,0.455435,0.513426,0.448005,0.509114,8217.0,1093520.0,0.48
2018-01-06,0.50952,0.512898,0.493567,0.499142,8056.0,1233950.0,0.5
