Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-12-06,0.018562,0.124018,0.018498,0.050078,-1.0,39802.0,0.07
2013-12-13,0.076626,0.150534,0.075236,0.107163,-1.0,181815.0,0.11
2013-12-14,0.108882,0.152674,0.108236,0.15041,-1.0,259937.0,0.13
2013-12-21,0.033165,0.069203,0.033165,0.069203,-1.0,86948.0,0.05
2013-12-22,0.068759,0.068759,0.039056,0.049936,-1.0,181125.0,0.05
2013-12-23,0.049603,0.051626,0.033332,0.040405,-1.0,132216.0,0.04
2013-12-24,0.041599,0.04638,0.034047,0.034597,-1.0,112162.0,0.04
2013-12-25,0.036407,0.05012,0.033487,0.044344,-1.0,99257.0,0.04
2013-12-26,0.043772,0.055915,0.043576,0.053179,-1.0,120746.0,0.05
2013-12-27,0.053269,0.055487,0.045133,0.051411,3652.0,148625.0,0.05
2013-12-28,0.051614,0.052294,0.049332,0.050948,1228.0,145648.0,0.05
2013-12-29,0.050964,0.051429,0.043158,0.044695,2197.0,145388.0,0.05
2013-12-30,0.044474,0.055849,0.042347,0.045822,4079.0,128290.0,0.05
2013-12-31,0.045634,0.047071,0.042888,0.045821,2672.0,133074.0,0.04
2014-01-01,0.045879,0.048273,0.044394,0.044841,1673.0,135226.0,0.05
2014-01-02,0.04496,0.050319,0.044839,0.04702,2750.0,133924.0,0.05
2014-01-03,0.046967,0.05027,0.044211,0.044211,2683.0,141385.0,0.05
2014-01-04,0.044457,0.045532,0.04143,0.042984,2600.0,135253.0,0.04
2014-01-05,0.042936,0.048382,0.042936,0.045743,2190.0,131987.0,0.05
2014-01-06,0.045866,0.048847,0.035896,0.037646,1691.0,142438.0,0.04
2014-01-07,0.037741,0.038968,0.030901,0.030901,1173.0,118384.0,0.03
2014-01-08,0.030669,0.034753,0.029906,0.031501,834.0,97174.0,0.03
2014-01-09,0.031454,0.032959,0.031454,0.031775,909.0,100660.0,0.03
2014-01-14,0.012586,0.021168,0.011548,0.013899,1320.0,42345.0,0.02
2014-01-15,0.013896,0.016749,0.013783,0.015419,936.0,47115.0,0.02
2014-01-16,0.015408,0.016463,0.014514,0.01469,627.0,52740.0,0.02
2014-01-17,0.01467,0.018121,0.014238,0.014549,1006.0,50695.0,0.02
2014-01-18,0.014575,0.018181,0.014575,0.014843,811.0,50837.0,0.02
2014-01-19,0.014837,0.018341,0.014764,0.016165,956.0,52223.0,0.02
2014-01-20,0.016173,0.019155,0.016073,0.016421,1423.0,57450.0,0.02
2014-01-21,0.01641,0.022964,0.016018,0.022902,3130.0,58845.0,0.02
2014-01-22,0.024082,0.024176,0.018588,0.023465,3041.0,87126.0,0.02
2014-01-23,0.023461,0.04234,0.021993,0.029281,7327.0,85609.0,0.03
2014-01-24,0.029295,0.035464,0.027455,0.029229,3988.0,107838.0,0.03
2014-01-25,0.029198,0.040161,0.02657,0.029065,2572.0,108419.0,0.03
2014-01-26,0.030724,0.034158,0.028784,0.030144,1250.0,115087.0,0.03
2014-01-27,0.030121,0.030551,0.022037,0.02237,493.0,113760.0,0.03
2014-01-28,0.022447,0.024541,0.020792,0.020792,1068.0,85397.0,0.02
2014-01-29,0.020719,0.025584,0.01979,0.022302,2138.0,79503.0,0.02
2014-01-30,0.022302,0.023294,0.020544,0.022507,3282.0,86341.0,0.02
2014-01-31,0.021844,0.022677,0.018328,0.021644,3416.0,85270.0,0.02
2014-02-01,0.020773,0.029948,0.020744,0.021572,6076.0,81736.0,0.03
2014-02-02,0.02158,0.024173,0.02158,0.023853,1766.0,85574.0,0.02
2014-02-03,0.022843,0.022988,0.021795,0.022437,2390.0,91288.0,0.02
2014-02-04,0.022267,0.022899,0.022174,0.022355,1632.0,89668.0,0.02
2014-02-05,0.022069,0.023013,0.020403,0.020403,748.0,89607.0,0.02
2014-02-06,0.02039,0.02195,0.01938,0.019539,719.0,83444.0,0.02
2014-02-07,0.01958,0.020244,0.016359,0.018401,1292.0,80724.0,0.02
2014-02-08,0.01807,0.018574,0.016863,0.017131,1486.0,75076.0,0.02
2014-02-09,0.017069,0.019658,0.016663,0.018445,1542.0,71463.0,0.02
2014-02-10,0.018402,0.020576,0.013498,0.016358,1563.0,77639.0,0.02
2014-02-11,0.016418,0.018593,0.014214,0.014795,952.0,69762.0,0.02
2014-02-12,0.014799,0.018698,0.014475,0.014683,2670.0,63349.0,0.02
2014-02-13,0.014669,0.014824,0.011286,0.0115,1044.0,63250.0,0.01
2014-02-14,0.011422,0.013143,0.010891,0.012565,771.0,49609.0,0.01
2014-02-15,0.012544,0.01281,0.011465,0.011918,1075.0,54904.0,0.01
2014-02-16,0.011925,0.013106,0.0107,0.011284,615.0,52620.0,0.01
2014-02-17,0.01124,0.015319,0.011161,0.013783,2496.0,49978.0,0.01
2014-02-18,0.013803,0.016295,0.013435,0.014327,587.0,61824.0,0.01
2014-02-19,0.014313,0.01434,0.011401,0.01215,446.0,64559.0,0.01
2014-02-20,0.012167,0.0125,0.011295,0.011295,195.0,55294.0,0.01
2014-02-21,0.01131,0.015699,0.010687,0.01434,3111.0,51780.0,0.01
2014-02-22,0.014347,0.015362,0.010856,0.015081,567.0,66150.0,0.01
2014-02-23,0.015107,0.020501,0.011055,0.016833,4896.0,70147.0,0.02
2014-02-24,0.016839,0.017769,0.013932,0.015975,1518.0,78718.0,0.02
2014-02-25,0.015797,0.015797,0.012381,0.014548,1459.0,74360.0,0.01
2014-02-26,0.014503,0.016103,0.014094,0.01518,931.0,68732.0,0.02
2014-02-27,0.015153,0.017339,0.01443,0.015186,23.0,72292.0,0.02
2014-02-28,0.015143,0.016918,0.0139,0.01433,1371.0,72718.0,0.02
2014-03-01,0.014346,0.014634,0.012801,0.013352,1207.0,69369.0,0.01
2014-03-02,0.01339,0.01339,0.011182,0.011643,446.0,65183.0,0.01
2014-03-03,0.011695,0.01177,0.010721,0.011241,726.0,57301.0,0.01
2014-03-11,0.005472,0.005784,0.004705,0.004877,350.0,28337.0,0.01
2014-03-12,0.00486,0.00576,0.004164,0.004295,179.0,25168.0,0.0
2014-03-13,0.004353,0.004733,0.004322,0.004729,661.0,22544.0,0.0
2014-03-14,0.004953,0.004953,0.004378,0.004475,427.0,25650.0,0.0
2014-03-15,0.004322,0.004505,0.004215,0.004274,578.0,22383.0,0.0
2014-03-16,0.004121,0.004121,0.003537,0.003584,183.0,21343.0,0.0
2014-03-17,0.002861,0.003099,0.002447,0.002447,547.0,15352.0,0.0
2014-03-18,0.002584,0.003655,0.002584,0.00267,1414.0,13921.0,0.0
2014-03-19,0.002415,0.002463,0.002414,0.002414,697.0,13156.0,0.0
2014-03-20,0.002327,0.002332,0.002265,0.002265,491.0,12686.0,0.0
2014-03-21,0.002179,0.00265,0.002179,0.002606,191.0,11942.0,0.0
2014-03-22,0.002587,0.002671,0.002415,0.002447,197.0,86.0,0.0
2014-03-23,0.002279,0.002279,0.002211,0.002211,339.0,1004.0,0.0
2014-03-25,0.003033,0.003035,0.002914,0.002943,158.0,17119.0,0.0
2014-03-26,0.002941,0.003065,0.002328,0.002329,111.0,16616.0,0.0
2014-03-27,0.002466,0.002993,0.002022,0.002022,117.0,14016.0,0.0
2014-03-28,0.002047,0.002257,0.001973,0.002002,708.0,11689.0,0.0
2014-03-29,0.002027,0.002147,0.00199,0.002029,91.0,11574.0,0.0
2014-03-30,0.002038,0.0023,0.001832,0.001883,237.0,11640.0,0.0
2014-03-31,0.001891,0.002562,0.001818,0.001988,251.0,10988.0,0.0
