Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-05-18,2.3e-05,2.3e-05,2.3e-05,2.3e-05,113.0,368.0,0.0
2016-05-19,2.3e-05,2.7e-05,9e-06,9e-06,28.0,370.0,0.0
2016-05-20,1.8e-05,4.4e-05,9e-06,2.2e-05,121.0,322.0,0.0
2016-05-21,2.2e-05,3.1e-05,9e-06,1.8e-05,144.0,458.0,0.0
2016-05-22,1.8e-05,2.2e-05,1.3e-05,2.2e-05,25.0,407.0,0.0
2016-05-23,2.2e-05,2.2e-05,1.3e-05,1.8e-05,9.0,554.0,0.0
2016-05-24,1.8e-05,1.8e-05,9e-06,1.8e-05,14.0,487.0,0.0
2016-05-25,1.8e-05,1.8e-05,9e-06,9e-06,19.0,527.0,0.0
2016-05-26,9e-06,1.8e-05,9e-06,1.8e-05,36.0,277.0,0.0
2016-05-27,1.8e-05,3.3e-05,1.4e-05,2.8e-05,108.0,588.0,0.0
2016-05-28,2.8e-05,3.5e-05,1.5e-05,2.7e-05,69.0,985.0,0.0
2016-05-29,2.6e-05,3.2e-05,2.1e-05,2.1e-05,55.0,976.0,0.0
2016-05-30,2.1e-05,2.2e-05,1.6e-05,1.6e-05,27.0,826.0,0.0
2016-05-31,1.6e-05,2.2e-05,1.6e-05,1.6e-05,15.0,661.0,0.0
2016-06-01,1.6e-05,2.7e-05,1.6e-05,2.1e-05,32.0,690.0,0.0
2016-06-02,2.1e-05,2.1e-05,1.6e-05,1.6e-05,3.0,980.0,0.0
2016-06-03,1.6e-05,1.7e-05,1.6e-05,1.7e-05,26.0,769.0,0.0
2016-06-04,1.7e-05,1.8e-05,1.7e-05,1.7e-05,29.0,853.0,0.0
2016-06-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,30.0,898.0,0.0
2016-06-06,1.7e-05,1.8e-05,1.7e-05,1.8e-05,27.0,940.0,0.0
2016-06-07,1.8e-05,2.3e-05,1.7e-05,1.7e-05,37.0,997.0,0.0
2016-06-08,1.7e-05,1.7e-05,1.7e-05,1.7e-05,26.0,1021.0,0.0
2016-06-09,1.7e-05,1.7e-05,1.1e-05,1.7e-05,35.0,1069.0,0.0
2016-06-10,1.7e-05,1.7e-05,1.1e-05,1.2e-05,13.0,1099.0,0.0
2016-06-11,1.2e-05,1.7e-05,1.2e-05,1.2e-05,11.0,762.0,0.0
2016-06-12,1.2e-05,1.4e-05,1.2e-05,1.3e-05,32.0,831.0,0.0
2016-06-13,1.3e-05,2.1e-05,7e-06,2.1e-05,108.0,948.0,0.0
2016-06-14,2.1e-05,2.1e-05,7e-06,1.4e-05,7.0,1538.0,0.0
2016-06-15,1.4e-05,1.4e-05,7e-06,7e-06,6.0,1028.0,0.0
2016-06-16,7e-06,1.5e-05,7e-06,1.5e-05,27.0,538.0,0.0
2016-06-17,1.5e-05,3e-05,1.4e-05,1.5e-05,87.0,1214.0,0.0
2016-06-18,1.5e-05,1.6e-05,7e-06,1.5e-05,11.0,1217.0,0.0
2016-06-19,1.5e-05,1.5e-05,7e-06,1.5e-05,13.0,1263.0,0.0
2016-06-20,1.5e-05,1.5e-05,7e-06,7e-06,10.0,1307.0,0.0
2016-06-21,7e-06,2e-05,7e-06,1.3e-05,51.0,647.0,0.0
2016-06-22,1.3e-05,1.4e-05,6e-06,1.2e-05,6.0,1191.0,0.0
2016-06-23,1.2e-05,1.2e-05,6e-06,6e-06,15.0,1096.0,0.0
2016-06-24,6e-06,7e-06,6e-06,7e-06,1.0,588.0,0.0
2016-06-25,7e-06,7e-06,6e-06,7e-06,7.0,639.0,0.0
2016-06-26,7e-06,7e-06,6e-06,6e-06,8.0,653.0,0.0
2016-06-27,6e-06,7e-06,6e-06,7e-06,12.0,630.0,0.0
2016-06-28,7e-06,7e-06,6e-06,6e-06,5.0,672.0,0.0
2016-06-29,6e-06,1.3e-05,6e-06,6e-06,12.0,673.0,0.0
2016-06-30,6e-06,7e-06,6e-06,7e-06,65.0,683.0,0.0
2016-07-01,7e-06,7e-06,7e-06,7e-06,1.0,731.0,0.0
2016-07-02,7e-06,1.4e-05,7e-06,7e-06,12.0,750.0,0.0
2016-07-03,7e-06,7e-06,6e-06,7e-06,0.0,797.0,0.0
2016-07-04,7e-06,7e-06,7e-06,7e-06,0.0,759.0,0.0
2016-07-05,7e-06,7e-06,7e-06,7e-06,16.0,803.0,0.0
2016-07-06,7e-06,7e-06,7e-06,7e-06,0.0,803.0,0.0
2016-07-07,7e-06,1.3e-05,6e-06,1.3e-05,1.0,824.0,0.0
2016-07-08,1.3e-05,1.3e-05,6e-06,7e-06,16.0,1585.0,0.0
2016-07-09,7e-06,7e-06,6e-06,7e-06,3.0,840.0,0.0
2016-07-10,7e-06,7e-06,6e-06,6e-06,1.0,835.0,0.0
2016-07-11,7e-06,7e-06,6e-06,6e-06,0.0,857.0,0.0
2016-07-12,6e-06,7e-06,6e-06,7e-06,0.0,862.0,0.0
2016-07-13,7e-06,7e-06,7e-06,7e-06,1.0,907.0,0.0
2016-07-14,7e-06,1.3e-05,7e-06,1.3e-05,47.0,889.0,0.0
2016-07-15,1.3e-05,1.3e-05,7e-06,1.3e-05,41.0,1798.0,0.0
2016-07-16,1.3e-05,1.3e-05,7e-06,7e-06,0.0,1833.0,0.0
2016-07-17,7e-06,7e-06,7e-06,7e-06,7.0,928.0,0.0
2016-07-18,7e-06,7e-06,7e-06,7e-06,10.0,967.0,0.0
2016-07-19,7e-06,1.3e-05,7e-06,1.3e-05,34.0,972.0,0.0
2016-07-20,1.3e-05,1.3e-05,7e-06,7e-06,26.0,1971.0,0.0
2016-07-21,7e-06,7e-06,7e-06,7e-06,0.0,990.0,0.0
2016-07-22,7e-06,7e-06,6e-06,7e-06,0.0,1005.0,0.0
2016-07-23,7e-06,7e-06,6e-06,7e-06,0.0,998.0,0.0
2016-07-24,7e-06,7e-06,7e-06,7e-06,1.0,1026.0,0.0
2016-07-25,7e-06,7e-06,7e-06,7e-06,1.0,1046.0,0.0
2016-07-26,7e-06,7e-06,6e-06,7e-06,1.0,1049.0,0.0
2016-07-27,7e-06,7e-06,6e-06,7e-06,71.0,1060.0,0.0
2016-07-28,7e-06,7e-06,7e-06,7e-06,20.0,1080.0,0.0
2016-07-29,7e-06,7e-06,7e-06,7e-06,9.0,1096.0,0.0
2016-07-30,7e-06,7e-06,7e-06,7e-06,0.0,1115.0,0.0
2016-07-31,7e-06,7e-06,6e-06,6e-06,0.0,1126.0,0.0
2016-08-03,6e-06,6e-06,5e-06,6e-06,0.0,987.0,0.0
2016-08-04,6e-06,6e-06,6e-06,6e-06,0.0,1023.0,0.0
2016-08-07,6e-06,6e-06,6e-06,6e-06,10.0,1125.0,0.0
2016-08-08,6e-06,6e-06,6e-06,6e-06,0.0,1121.0,0.0
2016-08-09,6e-06,6e-06,6e-06,6e-06,0.0,1132.0,0.0
2016-08-13,6e-06,6e-06,6e-06,6e-06,0.0,1182.0,0.0
2016-08-14,6e-06,6e-06,6e-06,6e-06,6.0,1181.0,0.0
2016-08-15,6e-06,6e-06,6e-06,6e-06,0.0,1163.0,0.0
2016-08-16,6e-06,6e-06,6e-06,6e-06,0.0,1167.0,0.0
2016-08-17,6e-06,6e-06,6e-06,6e-06,0.0,1198.0,0.0
2016-08-18,6e-06,6e-06,6e-06,6e-06,14.0,1201.0,0.0
2016-08-19,6e-06,6e-06,6e-06,6e-06,8.0,1216.0,0.0
2016-08-20,6e-06,6e-06,6e-06,6e-06,0.0,1231.0,0.0
2016-08-21,6e-06,6e-06,6e-06,6e-06,0.0,1257.0,0.0
2016-08-22,6e-06,6e-06,6e-06,6e-06,1.0,1267.0,0.0
2016-08-23,6e-06,6e-06,6e-06,6e-06,0.0,1285.0,0.0
2016-08-24,6e-06,6e-06,6e-06,6e-06,0.0,1296.0,0.0
2016-08-25,6e-06,6e-06,6e-06,6e-06,7.0,1301.0,0.0
2016-08-26,6e-06,6e-06,6e-06,6e-06,7.0,1308.0,0.0
2016-08-27,6e-06,6e-06,6e-06,6e-06,12.0,1325.0,0.0
2016-08-28,6e-06,6e-06,6e-06,6e-06,1.0,1316.0,0.0
2016-08-29,6e-06,6e-06,6e-06,6e-06,1.0,1335.0,0.0
2016-08-30,6e-06,6e-06,6e-06,6e-06,5.0,1351.0,0.0
2016-08-31,6e-06,6e-06,6e-06,6e-06,0.0,1369.0,0.0
2016-09-01,6e-06,6e-06,6e-06,6e-06,2.0,1378.0,0.0
2016-09-02,6e-06,6e-06,6e-06,6e-06,0.0,1384.0,0.0
2016-09-03,6e-06,6e-06,6e-06,6e-06,1.0,1405.0,0.0
2016-09-04,6e-06,6e-06,6e-06,6e-06,185.0,1474.0,0.0
2016-09-05,6e-06,1.2e-05,6e-06,6e-06,156.0,1514.0,0.0
2016-09-06,6e-06,1.2e-05,6e-06,6e-06,65.0,1521.0,0.0
2016-09-07,6e-06,1.2e-05,6e-06,6e-06,5.0,1537.0,0.0
2016-09-08,6e-06,6e-06,6e-06,6e-06,4.0,1561.0,0.0
2016-09-09,6e-06,6e-06,6e-06,6e-06,28.0,1605.0,0.0
2016-09-10,6e-06,6e-06,6e-06,6e-06,4.0,1611.0,0.0
2016-09-11,6e-06,6e-06,6e-06,6e-06,2.0,1626.0,0.0
2016-09-12,6e-06,1.2e-05,6e-06,6e-06,31.0,1597.0,0.0
2016-09-13,6e-06,6e-06,6e-06,6e-06,72.0,1614.0,0.0
2016-09-14,6e-06,6e-06,6e-06,6e-06,7.0,1631.0,0.0
2016-09-15,6e-06,6e-06,6e-06,6e-06,3.0,1648.0,0.0
2016-09-16,6e-06,1.2e-05,6e-06,6e-06,72.0,1653.0,0.0
2016-09-17,6e-06,6e-06,6e-06,6e-06,0.0,1666.0,0.0
2016-09-18,6e-06,6e-06,6e-06,6e-06,1.0,1677.0,0.0
2016-09-19,6e-06,6e-06,6e-06,6e-06,30.0,1702.0,0.0
2016-09-20,6e-06,6e-06,6e-06,6e-06,83.0,1713.0,0.0
2016-09-21,6e-06,6e-06,6e-06,6e-06,52.0,1725.0,0.0
2016-09-22,6e-06,1.2e-05,6e-06,1.2e-05,53.0,1708.0,0.0
2016-09-23,1.2e-05,1.2e-05,6e-06,6e-06,88.0,3437.0,0.0
2016-09-24,6e-06,1.2e-05,6e-06,6e-06,17.0,1751.0,0.0
2016-09-25,6e-06,6e-06,6e-06,6e-06,1.0,1764.0,0.0
2016-09-26,6e-06,6e-06,6e-06,6e-06,3.0,1772.0,0.0
2016-09-27,6e-06,6e-06,6e-06,6e-06,24.0,1806.0,0.0
2016-09-28,6e-06,6e-06,6e-06,6e-06,15.0,1815.0,0.0
2016-09-29,6e-06,6e-06,6e-06,6e-06,9.0,1824.0,0.0
2016-09-30,6e-06,1.2e-05,6e-06,6e-06,30.0,1840.0,0.0
2016-10-01,6e-06,1.2e-05,6e-06,6e-06,7.0,1865.0,0.0
2016-10-02,6e-06,6e-06,6e-06,6e-06,0.0,1892.0,0.0
2016-10-03,6e-06,6e-06,6e-06,6e-06,1.0,1896.0,0.0
2016-10-04,6e-06,1.2e-05,6e-06,6e-06,45.0,1914.0,0.0
2016-10-05,6e-06,6e-06,6e-06,6e-06,25.0,1923.0,0.0
2016-10-06,6e-06,1.2e-05,6e-06,6e-06,4.0,1944.0,0.0
2016-10-07,6e-06,1.2e-05,6e-06,6e-06,11.0,1951.0,0.0
2016-10-08,6e-06,1.2e-05,6e-06,6e-06,13.0,1973.0,0.0
2016-10-09,6e-06,1.2e-05,6e-06,6e-06,9.0,1990.0,0.0
2016-10-10,6e-06,1.2e-05,6e-06,6e-06,30.0,1997.0,0.0
2016-10-11,6e-06,1.3e-05,6e-06,1.3e-05,17.0,2018.0,0.0
2016-10-12,1.3e-05,1.3e-05,6e-06,1.3e-05,7.0,4209.0,0.0
2016-10-13,1.3e-05,1.3e-05,6e-06,1.3e-05,14.0,4204.0,0.0
2016-10-14,1.3e-05,1.3e-05,6e-06,6e-06,6.0,4238.0,0.0
2016-10-15,6e-06,6e-06,6e-06,6e-06,16.0,2145.0,0.0
2016-10-16,6e-06,6e-06,6e-06,6e-06,8.0,2154.0,0.0
2016-10-17,6e-06,6e-06,6e-06,6e-06,11.0,2178.0,0.0
2016-10-18,6e-06,6e-06,6e-06,6e-06,11.0,2185.0,0.0
2016-10-19,6e-06,6e-06,6e-06,6e-06,10.0,2195.0,0.0
2016-10-20,6e-06,6e-06,6e-06,6e-06,2.0,2184.0,0.0
2016-10-21,6e-06,6e-06,6e-06,6e-06,10.0,2200.0,0.0
2016-10-22,6e-06,7e-06,6e-06,7e-06,10.0,2222.0,0.0
2016-10-23,7e-06,7e-06,7e-06,7e-06,5.0,2322.0,0.0
2016-10-24,7e-06,7e-06,7e-06,7e-06,2.0,2336.0,0.0
2016-10-25,7e-06,7e-06,7e-06,7e-06,3.0,2340.0,0.0
2016-10-26,7e-06,7e-06,7e-06,7e-06,23.0,2368.0,0.0
2016-10-27,7e-06,7e-06,7e-06,7e-06,10.0,2458.0,0.0
2016-10-28,7e-06,1.4e-05,7e-06,7e-06,14.0,2509.0,0.0
2016-10-29,7e-06,7e-06,7e-06,7e-06,1.0,2530.0,0.0
2016-10-30,7e-06,7e-06,7e-06,7e-06,1.0,2638.0,0.0
2016-11-01,7e-06,7e-06,7e-06,7e-06,2.0,2754.0,0.0
2016-11-02,7e-06,7e-06,7e-06,7e-06,1.0,2745.0,0.0
2016-11-03,7e-06,7e-06,7e-06,7e-06,0.0,2804.0,0.0
2016-11-04,7e-06,7e-06,7e-06,7e-06,0.0,2695.0,0.0
2016-11-05,7e-06,7e-06,7e-06,7e-06,4.0,2695.0,0.0
2016-11-06,7e-06,7e-06,7e-06,7e-06,0.0,2712.0,0.0
