Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-24,0.000476,0.000476,0.000476,0.000476,1869.0,-1,0.0
2016-09-25,0.000476,0.000476,0.000138,0.000138,760.0,-1,0.0
2016-09-26,0.000138,0.000328,0.000138,0.000286,107.0,-1,0.0
2016-09-27,0.000286,0.000286,0.000151,0.000152,8.0,-1,0.0
2016-09-28,0.000152,0.000285,0.000151,0.000284,130.0,-1,0.0
2016-09-29,0.000284,0.000285,0.000127,0.000127,38.0,-1,0.0
2016-09-30,0.000127,0.00017,0.000121,0.000128,9.0,-1,0.0
2016-10-01,0.000128,0.000196,6.1e-05,0.000172,93.0,-1,0.0
2016-10-02,0.000172,0.000183,6.7e-05,0.000134,126.0,-1,0.0
2016-10-03,0.000134,0.000159,0.000128,0.000159,0.0,-1,0.0
2016-10-04,0.000159,0.000159,6.7e-05,0.00014,8.0,-1,0.0
2016-10-05,0.00014,0.000141,0.00014,0.000141,0.0,-1,0.0
2016-10-06,6.7e-05,6.8e-05,6.7e-05,6.7e-05,0.0,-1,0.0
2016-10-07,6.7e-05,6.8e-05,6.7e-05,6.8e-05,0.0,-1,0.0
2016-10-09,6.8e-05,6.8e-05,3.1e-05,3.1e-05,7.0,-1,0.0
2016-10-10,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,-1,0.0
2016-10-11,4.4e-05,6.4e-05,3.2e-05,6.4e-05,9.0,-1,0.0
2016-10-12,6.4e-05,7e-05,6.4e-05,7e-05,1.0,-1,0.0
2016-10-13,7e-05,7e-05,3.8e-05,5.1e-05,3.0,-1,0.0
2016-10-14,5.1e-05,0.000115,3.2e-05,0.000115,13.0,-1,0.0
2016-10-15,0.000115,0.000116,0.000115,0.000115,1.0,-1,0.0
2016-10-17,5.1e-05,0.000115,5.1e-05,0.000115,18.0,-1,0.0
2016-10-18,0.000115,0.000122,0.000115,0.000121,1.0,-1,0.0
2016-10-19,0.000121,0.000121,0.000121,0.000121,1.0,-1,0.0
2016-10-20,5e-05,5.1e-05,5e-05,5e-05,0.0,-1,0.0
2016-10-21,5e-05,5.1e-05,5e-05,5.1e-05,0.0,-1,0.0
2016-10-23,5.3e-05,5.3e-05,5.2e-05,5.3e-05,1.0,-1,0.0
2016-10-24,5.3e-05,7.2e-05,5.2e-05,7.2e-05,0.0,-1,0.0
2016-10-25,7.2e-05,7.3e-05,7.2e-05,7.2e-05,0.0,-1,0.0
2016-10-26,7.2e-05,7.5e-05,7.2e-05,7.5e-05,0.0,-1,0.0
2016-10-27,7.5e-05,7.5e-05,5.5e-05,5.5e-05,0.0,-1,0.0
2016-10-28,5.5e-05,5.5e-05,5.5e-05,5.5e-05,0.0,-1,0.0
2016-10-29,5.5e-05,5.8e-05,5.5e-05,5.7e-05,0.0,-1,0.0
2016-11-02,5.8e-05,5.8e-05,5.1e-05,5.2e-05,1.0,-1,0.0
2016-11-03,5.2e-05,8.2e-05,5.2e-05,7.6e-05,1.0,-1,0.0
2016-11-04,7.6e-05,7.8e-05,7.5e-05,7.7e-05,0.0,-1,0.0
2016-11-05,7.7e-05,7.8e-05,4.9e-05,4.9e-05,1.0,-1,0.0
2016-11-06,4.9e-05,5e-05,3.5e-05,3.6e-05,43.0,-1,0.0
2016-11-07,3.6e-05,3.6e-05,3.5e-05,3.5e-05,43.0,-1,0.0
2016-11-10,7.2e-05,7.2e-05,7.2e-05,7.2e-05,2.0,-1,0.0
2016-11-11,7.2e-05,7.9e-05,7.2e-05,7.9e-05,0.0,-1,0.0
2016-11-12,7.9e-05,7.9e-05,7.9e-05,7.9e-05,0.0,-1,0.0
2016-11-13,7e-06,7e-05,7e-06,5.6e-05,83.0,-1,0.0
2016-11-14,5.6e-05,6.4e-05,5.6e-05,6.3e-05,5.0,-1,0.0
2016-11-15,6.4e-05,6.4e-05,6.3e-05,6.4e-05,4.0,-1,0.0
2016-11-17,3.8e-05,3.8e-05,3.7e-05,3.7e-05,3.0,-1,0.0
2016-11-18,3.7e-05,3.7e-05,3.7e-05,3.7e-05,3.0,-1,0.0
2016-11-20,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.0,-1,0.0
2016-11-21,2.9e-05,4.5e-05,2.9e-05,4.4e-05,0.0,-1,0.0
2016-11-22,4.4e-05,4.5e-05,4.4e-05,4.5e-05,0.0,-1,0.0
2016-11-27,3.7e-05,0.000397,3.7e-05,0.000351,4627.0,-1,0.0
2016-11-28,0.000352,0.000367,0.000184,0.00028,3232.0,-1,0.0
2016-11-29,0.00028,0.00028,0.000177,0.000243,97.0,-1,0.0
2016-11-30,0.000243,0.000243,9.7e-05,0.000104,74.0,-1,0.0
2016-12-01,0.000104,0.000121,9.8e-05,0.000121,5.0,-1,0.0
2016-12-02,0.000121,0.000121,7.8e-05,9.3e-05,23.0,-1,0.0
2016-12-03,9.3e-05,9.3e-05,9.2e-05,9.2e-05,0.0,-1,0.0
2016-12-04,5.4e-05,5.4e-05,5.4e-05,5.4e-05,9.0,-1,0.0
2016-12-05,5.4e-05,5.4e-05,5.4e-05,5.4e-05,9.0,-1,0.0
2016-12-06,6.9e-05,6.9e-05,6.9e-05,6.9e-05,7.0,-1,0.0
2016-12-07,6.9e-05,8.5e-05,6.8e-05,8.4e-05,1.0,-1,0.0
2016-12-08,8.4e-05,9.3e-05,8.4e-05,9.3e-05,1.0,-1,0.0
2016-12-09,9.2e-05,9.3e-05,9.2e-05,9.3e-05,0.0,-1,0.0
2016-12-10,7e-05,0.000853,7e-05,0.000387,4828.0,-1,0.0
2016-12-11,0.000387,0.00043,0.0001,0.000108,3417.0,-1,0.0
2016-12-12,0.000108,0.000164,0.000101,0.000148,2723.0,-1,0.0
2016-12-13,0.000148,0.00015,0.000109,0.000117,831.0,-1,0.0
2016-12-14,0.000117,0.000133,0.000109,0.000109,48.0,-1,0.0
2016-12-15,0.000109,0.000258,8.6e-05,0.000148,1655.0,-1,0.0
2016-12-16,0.000148,0.000165,9.4e-05,9.4e-05,265.0,-1,0.0
2016-12-17,9.4e-05,0.000119,8.7e-05,0.000119,72.0,-1,0.0
2016-12-18,0.000119,0.000119,7.1e-05,7.9e-05,36.0,-1,0.0
2016-12-19,7.9e-05,0.000135,7.9e-05,0.000127,300.0,-1,0.0
2016-12-20,0.000127,0.000135,0.000111,0.000112,24.0,-1,0.0
2016-12-21,0.000112,0.000138,0.000106,0.000133,17.0,-1,0.0
2016-12-22,0.000133,0.000139,0.000109,0.000138,9.0,-1,0.0
2016-12-23,0.000138,0.000146,0.000114,0.00012,1.0,-1,0.0
2016-12-24,0.00012,0.00012,0.000115,0.000117,1.0,-1,0.0
2016-12-25,0.000117,0.000135,0.000113,0.000134,8.0,-1,0.0
2016-12-26,0.000135,0.000137,8.1e-05,8.2e-05,3.0,-1,0.0
2016-12-27,8.2e-05,0.000122,8.1e-05,8.4e-05,5.0,-1,0.0
2016-12-28,8.4e-05,0.000115,8.4e-05,9.8e-05,8.0,-1,0.0
