Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-01-21,0.000304,0.000374,0.000217,0.000255,672.0,-1.0,0.0
2016-01-22,0.000254,0.000323,0.000233,0.000264,528.0,-1.0,0.0
2016-01-23,0.000264,0.000269,0.000152,0.000194,812.0,7190.0,0.0
2016-01-24,0.000202,0.000271,0.000202,0.00027,1984.0,5511.0,0.0
2016-01-25,0.00027,0.000276,0.000233,0.000235,247.0,7382.0,0.0
2016-01-26,0.000235,0.000236,0.000153,0.000169,117.0,6459.0,0.0
2016-01-27,0.000169,0.000197,0.000162,0.000166,193.0,4645.0,0.0
2016-01-28,0.000186,0.00019,0.000153,0.000163,213.0,5126.0,0.0
2016-01-29,0.000163,0.000189,0.000148,0.000185,555.0,4520.0,0.0
2016-01-30,0.000185,0.000253,0.000167,0.000212,1592.0,5119.0,0.0
2016-01-31,0.000212,0.000246,0.000159,0.00017,1782.0,5887.0,0.0
2016-02-01,0.00017,0.000204,0.000169,0.000176,311.0,4734.0,0.0
2016-02-02,0.000176,0.000184,0.000146,0.000176,109.0,4906.0,0.0
2016-02-03,0.00018,0.000228,0.000153,0.000192,530.0,5035.0,0.0
2016-02-04,0.000192,0.000209,0.000172,0.000187,1032.0,5402.0,0.0
2016-02-05,0.000187,0.000203,0.00017,0.000174,857.0,5251.0,0.0
2016-02-06,0.000174,0.0002,0.000132,0.000158,704.0,4905.0,0.0
2016-02-07,0.000158,0.000198,0.000158,0.000169,726.0,4471.0,0.0
2016-02-08,0.00017,0.000274,0.00017,0.000239,1859.0,4804.0,0.0
2016-02-09,0.000187,0.000282,0.000181,0.000196,2018.0,5304.0,0.0
2016-02-10,0.000196,0.000229,0.000195,0.000218,546.0,5573.0,0.0
2016-02-11,0.000218,0.000229,0.000193,0.000194,174.0,6217.0,0.0
2016-02-12,0.000194,0.000221,0.000188,0.000192,786.0,5540.0,0.0
2016-02-13,0.000192,0.000202,0.000172,0.000172,150.0,5517.0,0.0
2016-02-14,0.000173,0.000229,0.000163,0.000216,749.0,4967.0,0.0
2016-02-15,0.000216,0.000217,0.000176,0.000176,479.0,6222.0,0.0
2016-02-16,0.000177,0.000329,0.000159,0.000264,1432.0,5105.0,0.0
