Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-09,0.007169,0.007169,0.006854,0.006869,24527.0,-1.0,0.01
2016-09-10,0.006874,0.00714,0.00638,0.007051,12154.0,-1.0,0.01
2016-09-11,0.007051,0.007245,0.006916,0.007094,28929.0,-1.0,0.01
2016-09-12,0.007089,0.007178,0.006735,0.007048,28076.0,-1.0,0.01
2016-09-13,0.007049,0.007094,0.006914,0.006945,28988.0,-1.0,0.01
2016-09-14,0.006947,0.007374,0.006947,0.00737,44026.0,-1.0,0.01
2016-09-15,0.007372,0.007372,0.007372,0.007372,1962.0,-1.0,0.01
2016-09-18,0.007225,0.007344,0.007074,0.007104,42936.0,-1.0,0.01
2016-09-19,0.007104,0.007269,0.006904,0.006928,33354.0,-1.0,0.01
2016-09-20,0.006928,0.007063,0.006628,0.006968,33647.0,-1.0,0.01
2016-09-21,0.006967,0.006986,0.006383,0.006986,41014.0,-1.0,0.01
2016-09-22,0.006986,0.006986,0.006371,0.006675,33715.0,-1.0,0.01
2016-09-23,0.006675,0.006675,0.005985,0.006403,27689.0,-1.0,0.01
2016-09-24,0.006402,0.006402,0.006117,0.006162,26994.0,-1.0,0.01
2016-09-25,0.006162,0.006446,0.006131,0.006146,28867.0,-1.0,0.01
2016-09-26,0.00615,0.00615,0.005865,0.006149,25126.0,-1.0,0.01
2016-09-27,0.006149,0.007529,0.006149,0.007032,47996.0,-1.0,0.01
2016-09-28,0.007032,0.009086,0.006957,0.007252,83552.0,-1.0,0.01
2016-09-29,0.007254,0.007944,0.007119,0.007306,52658.0,-1.0,0.01
2016-09-30,0.007304,0.007319,0.006387,0.006731,57581.0,-1.0,0.01
2016-10-01,0.006732,0.006732,0.006732,0.006732,699.0,-1.0,0.01
2016-10-08,0.006385,0.006745,0.006385,0.006466,30433.0,-1.0,0.01
2016-10-09,0.00646,0.006625,0.0061,0.006145,29468.0,-1.0,0.01
2016-10-10,0.006143,0.006322,0.006058,0.006089,26783.0,-1.0,0.01
2016-10-11,0.006089,0.006245,0.006089,0.00615,24039.0,-1.0,0.01
2016-10-12,0.006151,0.006196,0.005968,0.005998,24944.0,-1.0,0.01
2016-10-13,0.005999,0.006088,0.005895,0.005977,25468.0,-1.0,0.01
2016-10-14,0.005977,0.006097,0.005977,0.006005,22790.0,-1.0,0.01
2016-10-15,0.006005,0.006347,0.005961,0.006347,22737.0,-1.0,0.01
2016-10-16,0.006347,0.006406,0.005946,0.006019,25248.0,-1.0,0.01
2016-10-17,0.006018,0.006152,0.0059,0.005954,21266.0,-1.0,0.01
2016-10-18,0.005954,0.005998,0.005612,0.005683,17875.0,-1.0,0.01
2016-10-19,0.005683,0.005744,0.005343,0.005744,15525.0,-1.0,0.01
2016-10-20,0.005744,0.005744,0.005403,0.005591,11964.0,-1.0,0.01
2016-10-21,0.005591,0.005947,0.005591,0.005783,12738.0,-1.0,0.01
2016-10-22,0.005785,0.005918,0.00519,0.00553,15393.0,-1.0,0.01
2016-10-23,0.00553,0.00553,0.00519,0.005396,11708.0,-1.0,0.01
2016-10-24,0.005395,0.005421,0.005203,0.00539,10360.0,-1.0,0.01
2016-10-25,0.00539,0.005611,0.005021,0.005311,9579.0,-1.0,0.01
2016-10-26,0.005311,0.005701,0.005223,0.005434,16008.0,-1.0,0.01
2016-10-27,0.005434,0.005815,0.005153,0.005751,20078.0,-1.0,0.01
2016-10-28,0.005751,0.00633,0.005368,0.00633,33806.0,-1.0,0.01
2016-10-29,0.00633,0.00633,0.00633,0.00633,604.0,-1.0,0.01
2016-11-07,0.008213,0.008272,0.006051,0.006275,205171.0,-1.0,0.01
2016-11-08,0.006275,0.007095,0.006275,0.006926,78760.0,-1.0,0.01
2016-11-09,0.006926,0.008365,0.006926,0.008035,128228.0,-1.0,0.01
2016-11-10,0.008033,0.010008,0.007591,0.007591,275729.0,248349.0,0.01
2016-11-11,0.007592,0.008357,0.007475,0.007507,79932.0,234738.0,0.01
2016-11-12,0.007505,0.007637,0.007398,0.007398,40143.0,232025.0,0.01
2016-11-13,0.007398,0.007912,0.007398,0.007632,32028.0,228742.0,0.01
2016-11-14,0.007632,0.007823,0.007483,0.007584,26026.0,235959.0,0.01
2016-11-15,0.007584,0.007745,0.007336,0.007482,30894.0,234484.0,0.01
2016-11-16,0.007482,0.007585,0.006572,0.006953,36414.0,231334.0,0.01
2016-11-17,0.006989,0.007197,0.00677,0.007085,16552.0,216088.0,0.01
2016-11-18,0.007084,0.007463,0.006916,0.007182,15536.0,219030.0,0.01
2016-11-19,0.00718,0.007253,0.006781,0.006781,12677.0,1509370.0,0.01
2016-11-20,0.006781,0.007042,0.006781,0.006925,14245.0,1425300.0,0.01
2016-11-21,0.006925,0.006925,0.00667,0.006689,13073.0,1455650.0,0.01
2016-11-22,0.00669,0.006791,0.006109,0.006343,13400.0,1406230.0,0.01
2016-11-23,0.006343,0.006427,0.005748,0.006165,9533.0,1333250.0,0.01
2016-11-24,0.006161,0.007489,0.006161,0.007088,53116.0,1295060.0,0.01
2016-11-25,0.007086,0.008068,0.006797,0.007776,56558.0,1489480.0,0.01
2016-11-26,0.007776,0.008253,0.007399,0.007413,34750.0,1634480.0,0.01
2016-11-27,0.007413,0.007601,0.006764,0.006836,16925.0,1558300.0,0.01
2016-11-28,0.006836,0.007199,0.006836,0.007191,9830.0,1436950.0,0.01
2016-11-29,0.00719,0.007747,0.006993,0.007537,18398.0,1511360.0,0.01
2016-11-30,0.007537,0.007682,0.007248,0.007288,18217.0,1584340.0,0.01
2016-12-01,0.007288,0.007581,0.006938,0.007334,39989.0,1531980.0,0.01
2016-12-02,0.007333,0.009269,0.007333,0.008772,231073.0,1541350.0,0.01
2016-12-03,0.009106,0.014218,0.009106,0.012579,1112960.0,1914150.0,0.01
2016-12-04,0.012201,0.012986,0.010764,0.011112,310341.0,2564770.0,0.01
2016-12-05,0.01112,0.011338,0.009508,0.010218,160666.0,2337490.0,0.01
