Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-04-06,0.001969,0.001969,0.001318,0.001367,2095.0,196924.0,0.0
2016-04-07,0.001368,0.002692,0.001367,0.002479,1379.0,136820.0,0.0
2016-04-08,0.00248,0.002642,0.001664,0.001788,2425.0,248023.0,0.0
2016-04-09,0.00179,0.001883,0.001341,0.001858,1005.0,178997.0,0.0
2016-04-10,0.001878,0.001885,0.001601,0.001869,1160.0,187811.0,0.0
2016-04-11,0.001869,0.001881,0.001542,0.001623,402.0,186989.0,0.0
2016-04-12,0.001625,0.001651,0.001289,0.001332,957.0,162488.0,0.0
2016-04-13,0.001333,0.001888,0.001333,0.001682,2969.0,133350.0,0.0
2016-04-14,0.001683,0.001793,0.001541,0.00158,1032.0,168321.0,0.0
2016-04-15,0.001581,0.001701,0.001289,0.001454,1183.0,158104.0,0.0
2016-04-16,0.001454,0.002643,0.001427,0.002114,2564.0,145420.0,0.0
2016-04-17,0.002086,0.002533,0.001727,0.001915,1755.0,208708.0,0.0
2016-04-18,0.001915,0.002053,0.001728,0.002005,1120.0,191602.0,0.0
2016-04-19,0.002005,0.002125,0.001296,0.001479,1659.0,200601.0,0.0
2016-04-20,0.001478,0.001541,0.001257,0.001536,419.0,147902.0,0.0
2016-04-21,0.001536,0.001808,0.001531,0.00178,1128.0,153695.0,0.0
2016-04-22,0.001781,0.001913,0.001399,0.001558,385.0,178195.0,0.0
2016-04-23,0.001676,0.001744,0.001377,0.001671,872.0,167693.0,0.0
2016-04-24,0.001671,0.001869,0.001454,0.00177,1722.0,167214.0,0.0
2016-04-25,0.001772,0.001913,0.001718,0.001804,635.0,177245.0,0.0
2016-04-26,0.001805,0.001822,0.001429,0.001526,820.0,180583.0,0.0
2016-04-27,0.001526,0.001625,0.001491,0.0016,878.0,152676.0,0.0
2016-04-28,0.001601,0.001925,0.001556,0.001737,708.0,160182.0,0.0
2016-04-29,0.001738,0.001946,0.001698,0.001734,732.0,173905.0,0.0
2016-04-30,0.001735,0.001806,0.001669,0.001724,1031.0,173547.0,0.0
2016-05-01,0.001725,0.002002,0.001612,0.001982,1120.0,172577.0,0.0
2016-05-02,0.002009,0.002021,0.001611,0.001641,273.0,201017.0,0.0
2016-05-03,0.001642,0.001696,0.001622,0.001681,919.0,164279.0,0.0
2016-05-04,0.00168,0.001696,0.001594,0.001631,903.0,168133.0,0.0
2016-05-05,0.001631,0.001658,0.001622,0.001651,632.0,163150.0,0.0
2016-05-06,0.001651,0.001652,0.001544,0.001617,651.0,165221.0,0.0
2016-05-07,0.001617,0.001657,0.001512,0.001625,873.0,161840.0,0.0
2016-05-08,0.001624,0.001645,0.001513,0.001569,701.0,162519.0,0.0
2016-05-09,0.001568,0.00231,0.001517,0.001819,345.0,156886.0,0.0
2016-05-10,0.001819,0.001961,0.001686,0.001875,401.0,181986.0,0.0
2016-05-11,0.001875,0.00188,0.001557,0.001579,927.0,187609.0,0.0
2016-05-12,0.001578,0.001777,0.00137,0.001627,629.0,157937.0,0.0
2016-05-13,0.001381,0.001549,0.0013,0.001487,749.0,138185.0,0.0
2016-05-14,0.001488,0.001536,0.001192,0.001347,846.0,148882.0,0.0
2016-05-15,0.001347,0.001479,0.001216,0.001238,737.0,134807.0,0.0
2016-05-16,0.001238,0.001685,0.001007,0.00128,660.0,123926.0,0.0
