Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-11-26,4.85,6.72,4.83,5.68,32113.0,513434.0,5.78
2017-11-27,5.68,6.1,3.81,4.18,29246.0,601398.0,4.96
2017-11-28,4.2,4.72,3.83,4.37,21750.0,443820.0,4.28
2017-11-29,4.38,7.41,3.19,3.89,44325.0,463067.0,5.3
2017-11-30,3.95,6.24,3.92,5.02,19710.0,417550.0,5.08
2017-12-01,5.0,5.34,4.34,5.31,6347.0,528620.0,4.84
2017-12-02,5.31,5.74,4.57,5.73,10630.0,561338.0,5.16
2017-12-03,5.74,5.87,4.2,4.37,9295.0,607080.0,5.04
2017-12-04,4.38,4.87,3.34,3.37,3094.0,463845.0,4.11
2017-12-05,3.38,3.97,2.0,2.35,30884.0,357628.0,2.99
2017-12-06,2.34,2.35,1.33,1.79,18732.0,247569.0,1.84
2017-12-07,1.79,2.32,1.19,1.27,3770.0,188918.0,1.75
2017-12-08,1.27,2.11,1.12,1.32,8764.0,134314.0,1.61
2017-12-09,1.32,1.66,1.02,1.11,10401.0,139890.0,1.34
2017-12-10,1.12,1.12,0.690713,0.92224,4413.0,118047.0,0.91
2017-12-11,0.915581,2.92,0.911578,1.54,17771.0,96866.0,1.92
2017-12-12,1.55,2.39,1.54,1.92,27609.0,163859.0,1.97
2017-12-13,1.92,2.1,1.17,1.49,6221.0,202880.0,1.64
2017-12-14,1.49,1.51,1.16,1.24,7747.0,157465.0,1.33
2017-12-15,1.21,1.76,0.922819,1.04,8021.0,127952.0,1.34
2017-12-16,1.04,1.77,1.04,1.76,4509.0,110171.0,1.41
2017-12-17,1.75,1.75,1.2,1.47,5434.0,185428.0,1.48
2017-12-18,1.47,1.57,1.42,1.49,3416.0,155734.0,1.5
2017-12-19,1.49,1.8,1.22,1.47,11721.0,157800.0,1.51
2017-12-20,1.47,1.61,0.886085,1.27,13292.0,155403.0,1.25
2017-12-21,1.28,1.39,0.999694,1.06,5934.0,135203.0,1.19
2017-12-22,1.06,1.24,0.758977,1.04,2886.0,112461.0,1.0
2017-12-23,1.05,1.33,0.943362,1.23,7809.0,111388.0,1.14
2017-12-24,1.24,1.28,0.980709,1.25,9862.0,131259.0,1.13
2017-12-25,1.27,2.09,1.19,1.67,16510.0,134132.0,1.64
2017-12-26,1.67,2.22,1.56,1.56,14262.0,176846.0,1.89
2017-12-27,1.56,3.35,1.54,2.41,43255.0,165306.0,2.45
2017-12-28,2.4,6.5,2.4,4.3,151996.0,254439.0,4.45
2017-12-29,4.34,4.85,2.92,4.36,60404.0,459156.0,3.88
2017-12-30,4.35,4.35,3.29,3.86,39415.0,460053.0,3.82
2017-12-31,3.81,5.47,3.53,5.15,77317.0,403533.0,4.5
2018-01-01,5.31,5.4,4.06,4.06,57853.0,562016.0,4.73
2018-01-02,4.06,5.29,3.99,4.47,79181.0,429009.0,4.64
2018-01-03,4.42,4.67,3.7,4.4,48081.0,467170.0,4.19
2018-01-04,4.43,5.75,4.37,4.91,68684.0,468310.0,5.06
2018-01-05,4.91,5.73,4.58,4.78,52844.0,519629.0,5.16
2018-01-06,4.79,5.55,4.26,5.13,56111.0,506372.0,4.9
2018-01-07,5.13,9.8,4.79,9.29,204627.0,542809.0,7.29
2018-01-08,9.28,12.65,6.63,10.57,207890.0,982226.0,9.64
2018-01-09,10.9,44.83,8.78,16.77,480504.0,1153530.0,26.8
2018-01-10,16.79,26.88,13.0,16.51,338172.0,1776840.0,19.94
2018-01-11,16.49,18.3,11.57,14.76,121782.0,1744800.0,14.94
2018-01-12,14.85,17.24,12.29,16.72,284116.0,1571350.0,14.76
2018-01-13,16.7,17.24,12.8,13.63,238732.0,1766460.0,15.02
2018-01-14,14.24,21.87,13.35,17.94,295622.0,1506130.0,17.61
2018-01-15,16.93,21.24,16.93,18.96,119418.0,1791670.0,19.09
