Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-03-22,0.004648,0.004653,0.004646,0.004653,2.0,-1.0,0.0
2016-03-23,0.004654,0.004717,0.004647,0.004703,7.0,635.0,0.0
2016-03-24,0.004707,0.056425,0.004704,0.01041,127.0,643.0,0.03
2016-03-25,0.010413,0.034999,0.008947,0.016687,21.0,1422.0,0.02
2016-03-26,0.016695,0.028796,0.016666,0.028408,23.0,2279.0,0.02
2016-03-27,0.028421,0.028442,0.010697,0.012824,12.0,3880.0,0.02
2016-03-28,0.012818,0.013212,0.012786,0.013172,20.0,1750.0,0.01
2016-03-29,0.013175,0.013234,0.012438,0.012495,51.0,1799.0,0.01
2016-03-30,0.012505,0.01661,0.009131,0.009172,19.0,1707.0,0.01
2016-03-31,0.009181,0.009238,0.008761,0.008768,12.0,1254.0,0.01
2016-04-01,0.008769,0.014199,0.008745,0.011076,10.0,1197.0,0.01
2016-04-02,0.011088,0.01263,0.008852,0.008859,31.0,1514.0,0.01
2016-04-03,0.008866,0.010504,0.008835,0.008864,7.0,1210.0,0.01
2016-04-04,0.008873,0.008895,0.008828,0.008876,15.0,1211.0,0.01
2016-04-05,0.008867,0.012705,0.008858,0.010601,25.0,1211.0,0.01
2016-04-06,0.010607,0.013562,0.008917,0.010585,20.0,1448.0,0.01
2016-04-07,0.01059,0.013121,0.010513,0.013105,6.0,1446.0,0.01
2016-04-08,0.01311,0.013172,0.004475,0.004485,16.0,1790.0,0.01
2016-04-09,0.00449,0.012528,0.004444,0.011324,19.0,613.0,0.01
2016-04-10,0.011329,0.012951,0.011329,0.011382,17.0,1547.0,0.01
2016-04-11,0.01139,0.012218,0.004725,0.004804,18.0,1555.0,0.01
2016-04-12,0.004808,0.005671,0.004808,0.005668,0.0,656.0,0.01
2016-04-13,0.005674,0.005687,0.004839,0.005381,1.0,775.0,0.01
2016-04-14,0.005384,0.010613,0.004822,0.010607,15.0,735.0,0.01
2016-04-15,0.010611,0.012466,0.004908,0.012462,29.0,1449.0,0.01
2016-04-16,0.012458,0.012495,0.009677,0.010764,39.0,1701.0,0.01
2016-04-17,0.010766,0.010784,0.005757,0.005761,17.0,1470.0,0.01
2016-04-18,0.005764,0.010719,0.005764,0.009,46.0,787.0,0.01
2016-04-19,0.009003,0.009711,0.006013,0.008276,26.0,1229.0,0.01
2016-04-20,0.008271,0.009747,0.006768,0.009711,7.0,1129.0,0.01
2016-04-21,0.009711,0.009986,0.008845,0.009483,7.0,1326.0,0.01
