Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2013-04-28,4.22,4.25,4.04,4.25,-1.0,1155160.0,4.14
2013-04-29,4.25,4.71,4.13,4.67,-1.0,1162460.0,4.42
2013-04-30,4.56,4.69,4.2,4.31,-1.0,1249450.0,4.45
2013-05-01,4.31,4.6,3.4,3.68,-1.0,1183170.0,4.0
2013-05-02,3.66,3.96,2.91,3.3,-1.0,1005960.0,3.44
2013-05-03,3.33,3.39,2.44,3.0,-1.0,914502.0,2.92
2013-05-04,3.01,3.59,2.87,3.49,-1.0,826673.0,3.23
2013-05-05,3.51,3.74,3.3,3.69,-1.0,965940.0,3.52
2013-05-06,3.69,3.84,3.09,3.28,-1.0,1016420.0,3.46
2013-05-07,3.28,3.34,2.88,3.29,-1.0,903014.0,3.11
2013-05-08,3.24,3.79,3.24,3.5,-1.0,893371.0,3.52
2013-05-09,3.45,3.67,3.36,3.49,-1.0,955781.0,3.51
2013-05-10,3.47,3.71,3.41,3.63,-1.0,962934.0,3.56
2013-05-11,3.65,3.66,3.44,3.53,-1.0,1014580.0,3.55
2013-05-12,3.48,3.86,3.46,3.52,-1.0,971209.0,3.66
2013-05-13,3.51,3.7,3.51,3.65,-1.0,982990.0,3.6
2013-05-14,3.65,3.73,3.32,3.39,-1.0,1021340.0,3.52
2013-05-15,3.39,3.51,3.12,3.45,-1.0,949653.0,3.31
2013-05-16,3.45,3.59,3.37,3.59,-1.0,968320.0,3.48
2013-05-17,3.57,3.73,3.47,3.64,-1.0,1004860.0,3.6
2013-05-18,3.66,3.8,3.61,3.68,-1.0,1029270.0,3.71
2013-05-19,3.67,3.78,3.55,3.62,-1.0,1033880.0,3.67
2013-05-20,3.63,3.82,3.6,3.74,-1.0,1024270.0,3.71
2013-05-21,3.74,3.78,3.68,3.73,-1.0,1054520.0,3.73
2013-05-22,3.73,3.97,3.7,3.93,-1.0,1053220.0,3.83
2013-05-23,3.92,4.06,3.86,3.99,-1.0,1108970.0,3.96
2013-05-24,3.98,4.18,3.91,4.16,-1.0,1125840.0,4.04
2013-05-25,4.15,4.23,4.0,4.19,-1.0,1177530.0,4.12
2013-05-26,4.19,4.46,4.15,4.31,-1.0,1190450.0,4.3
2013-05-27,4.31,4.5,4.04,4.19,-1.0,1225780.0,4.27
2013-05-28,4.19,4.27,4.06,4.21,-1.0,1192870.0,4.16
2013-05-29,4.21,4.35,4.14,4.3,-1.0,1198860.0,4.24
2013-05-30,4.3,4.42,4.19,4.33,-1.0,1226640.0,4.3
2013-05-31,4.33,4.35,4.08,4.21,-1.0,1236790.0,4.21
2013-06-01,4.2,4.23,4.11,4.19,-1.0,1201060.0,4.17
2013-06-02,4.19,4.21,3.67,3.9,-1.0,1198370.0,3.94
