Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-04-11,2.53,2.55,2.53,2.55,8609.0,-1,2.54
2016-04-12,2.55,3.62,2.55,3.62,12571.0,-1,3.08
2016-04-13,3.62,3.77,3.6,3.77,7467.0,-1,3.69
2016-04-14,3.77,3.78,0.933134,0.945105,8215.0,-1,2.36
2016-04-15,0.945428,1.28,0.439803,0.439854,9919.0,-1,0.86
2016-04-16,0.439713,0.901234,0.401598,0.731959,4104.0,-1,0.65
2016-04-17,0.732068,0.732923,0.208867,0.233911,13298.0,-1,0.47
2016-04-18,0.235468,0.376236,0.082808,0.082834,17211.0,-1,0.23
2016-04-19,0.082855,0.183207,0.0678,0.069689,8008.0,-1,0.13
2016-04-20,0.069652,0.168601,0.032237,0.065326,4666.0,-1,0.1
2016-04-21,0.06533,0.06533,0.028128,0.028763,1894.0,-1,0.05
2016-04-22,0.02833,0.02833,0.006425,0.006428,29582.0,-1,0.02
2016-04-23,0.006429,0.029986,0.006414,0.0072,3136.0,-1,0.02
2016-04-24,0.007204,0.017644,0.004508,0.006878,24634.0,-1,0.01
2016-04-25,0.006887,0.007265,0.004566,0.004587,1924.0,-1,0.01
2016-04-26,0.004589,0.006134,0.002595,0.002601,18044.0,-1,0.0
2016-04-27,0.002602,0.003106,0.001723,0.001757,8706.0,-1,0.0
2016-04-28,0.001758,0.00211,0.000905,0.001509,15249.0,-1,0.0
2016-04-29,0.00151,0.00269,0.000925,0.001001,715.0,-1,0.0
2016-04-30,0.001001,0.001298,0.000568,0.000583,9165.0,-1,0.0
2016-05-01,0.000583,0.000899,0.00024,0.00028,563.0,-1,0.0
2016-05-02,0.00028,0.000398,0.00012,0.000169,11152.0,-1,0.0
2016-05-03,0.000169,0.000206,5.4e-05,7.7e-05,346.0,-1,0.0
2016-05-04,9.4e-05,0.000143,6.2e-05,0.000125,2174.0,-1,0.0
2016-05-05,0.000125,0.000134,9.1e-05,0.000113,779.0,-1,0.0
2016-05-06,0.000113,0.000113,7.9e-05,7.9e-05,313.0,-1,0.0
2016-05-07,9.6e-05,9.6e-05,7.5e-05,7.6e-05,45.0,-1,0.0
2016-05-08,7.6e-05,9.1e-05,6.8e-05,8.1e-05,78.0,-1,0.0
2016-05-09,8.1e-05,9.7e-05,7.2e-05,7.4e-05,200.0,-1,0.0
2016-05-10,7.4e-05,9.1e-05,6.8e-05,6.8e-05,179.0,-1,0.0
2016-05-11,6.8e-05,9e-05,6.8e-05,7.7e-05,18.0,-1,0.0
2016-05-12,7.7e-05,9e-05,7.3e-05,8.2e-05,38.0,-1,0.0
2016-05-13,8.2e-05,9.1e-05,5e-05,5e-05,19.0,-1,0.0
2016-05-14,5e-05,8.2e-05,5e-05,7.5e-05,9.0,-1,0.0
2016-05-15,7.5e-05,8.5e-05,6.3e-05,6.4e-05,20.0,-1,0.0
2016-05-16,6.4e-05,7.1e-05,5.5e-05,5.6e-05,30.0,-1,0.0
2016-05-17,5.5e-05,6.4e-05,4.7e-05,6e-05,23.0,-1,0.0
2016-05-18,6e-05,7.3e-05,4.4e-05,4.4e-05,153.0,-1,0.0
2016-05-19,4.4e-05,4.7e-05,2.6e-05,2.6e-05,7.0,-1,0.0
2016-05-20,2.6e-05,5e-05,2.4e-05,4.8e-05,71.0,-1,0.0
2016-05-21,4.8e-05,7.5e-05,3.3e-05,4.6e-05,212.0,-1,0.0
2016-05-22,4.6e-05,7.9e-05,3.9e-05,3.9e-05,24.0,-1,0.0
2016-05-23,3.9e-05,0.000462,3.9e-05,0.000241,3436.0,-1,0.0
2016-05-24,0.000228,0.000292,0.000115,0.000156,733.0,-1,0.0
2016-05-25,0.000156,0.000168,0.000117,0.000117,49.0,-1,0.0
2016-05-26,0.000117,0.000131,9e-05,0.000113,51.0,-1,0.0
2016-05-27,0.000113,0.000122,8.5e-05,8.5e-05,16.0,-1,0.0
2016-05-28,8.5e-05,9.5e-05,8.1e-05,8.8e-05,7.0,-1,0.0
2016-05-29,8.8e-05,9.5e-05,8.5e-05,8.6e-05,2.0,-1,0.0
2016-05-30,8.6e-05,0.00012,6.6e-05,6.7e-05,43.0,-1,0.0
2016-05-31,6.6e-05,9.3e-05,6.6e-05,9e-05,5.0,-1,0.0
2016-06-01,9e-05,0.0001,6.7e-05,7e-05,36.0,-1,0.0
2016-06-02,7e-05,8e-05,6.4e-05,8e-05,76.0,-1,0.0
2016-06-03,8e-05,8e-05,6.8e-05,7.4e-05,49.0,-1,0.0
2016-06-04,7.4e-05,7.7e-05,6.9e-05,6.9e-05,0.0,-1,0.0
2016-06-05,6.9e-05,8.1e-05,6.9e-05,7.9e-05,1.0,-1,0.0
2016-06-06,7.9e-05,8.8e-05,4.3e-05,4.3e-05,24.0,-1,0.0
2016-06-07,4.3e-05,5.2e-05,4.2e-05,4.6e-05,1.0,-1,0.0
2016-06-08,4.6e-05,8.2e-05,4.6e-05,8.1e-05,2.0,-1,0.0
2016-06-09,8.2e-05,8.2e-05,8e-05,8.1e-05,1.0,-1,0.0
2016-06-10,5.7e-05,6.9e-05,5.7e-05,6.3e-05,9.0,-1,0.0
2016-06-11,6.4e-05,9.9e-05,6.4e-05,7.3e-05,5.0,-1,0.0
2016-06-12,7.3e-05,8.2e-05,5.2e-05,5.6e-05,15.0,-1,0.0
2016-06-13,5.6e-05,9.1e-05,5.6e-05,6.8e-05,4.0,-1,0.0
2016-06-14,6.8e-05,9e-05,6e-05,6.7e-05,4.0,-1,0.0
2016-06-15,6.7e-05,7.7e-05,6.5e-05,7.6e-05,0.0,-1,0.0
2016-06-16,7.7e-05,8.2e-05,7.5e-05,7.7e-05,1.0,-1,0.0
2016-06-17,7.7e-05,7.8e-05,5.4e-05,5.5e-05,6.0,-1,0.0
2016-06-18,5.5e-05,8.6e-05,4.5e-05,8.3e-05,15.0,-1,0.0
2016-06-19,8.3e-05,8.4e-05,4.6e-05,4.6e-05,4.0,-1,0.0
2016-06-20,4.6e-05,9.5e-05,3.8e-05,9.5e-05,17.0,-1,0.0
2016-06-21,9.4e-05,9.4e-05,3.4e-05,3.8e-05,11.0,-1,0.0
2016-06-22,3.8e-05,8e-05,3.8e-05,5.2e-05,24.0,-1,0.0
2016-06-23,5.2e-05,5.7e-05,2.8e-05,5.6e-05,2.0,-1,0.0
2016-06-24,5.6e-05,6.1e-05,5.6e-05,5.9e-05,0.0,-1,0.0
2016-06-25,5.5e-05,5.5e-05,5e-05,5.1e-05,2.0,-1,0.0
2016-06-26,5.1e-05,5.7e-05,3.9e-05,5.7e-05,0.0,-1,0.0
2016-06-27,5.7e-05,5.8e-05,3.8e-05,5.2e-05,0.0,-1,0.0
2016-06-28,5.3e-05,0.000153,3.9e-05,8.3e-05,44.0,-1,0.0
2016-06-29,8.2e-05,8.3e-05,6.3e-05,6.4e-05,6.0,-1,0.0
2016-06-30,6.4e-05,6.5e-05,5.8e-05,6.5e-05,2.0,-1,0.0
2016-07-01,6.5e-05,6.6e-05,4.7e-05,4.7e-05,23.0,-1,0.0
2016-07-02,4.7e-05,6.3e-05,4.7e-05,5.7e-05,1.0,-1,0.0
2016-07-03,5.7e-05,6.7e-05,5.2e-05,6.6e-05,1.0,-1,0.0
2016-07-04,6.6e-05,7.5e-05,6.5e-05,7.5e-05,0.0,-1,0.0
2016-07-05,7.5e-05,7.5e-05,6.7e-05,6.7e-05,3.0,-1,0.0
2016-07-06,6.7e-05,8e-05,6.7e-05,8e-05,60.0,-1,0.0
2016-07-07,8e-05,8.4e-05,7.5e-05,7.8e-05,25.0,-1,0.0
2016-07-08,7.8e-05,8.6e-05,6.4e-05,8.6e-05,6.0,-1,0.0
2016-07-09,8.6e-05,8.6e-05,3.2e-05,3.5e-05,11.0,-1,0.0
2016-07-10,3.5e-05,0.000164,3.4e-05,9.4e-05,21.0,-1,0.0
2016-07-11,9.4e-05,0.000104,9.2e-05,0.000104,1.0,-1,0.0
