Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-04-21,0.000487,0.001822,0.000391,0.001058,12039.0,10278.0,0.0
2016-04-22,0.001059,0.001941,0.000656,0.001564,16437.0,22592.0,0.0
2016-04-23,0.001564,0.00186,0.001353,0.001504,9426.0,34547.0,0.0
2016-04-24,0.001505,0.004401,0.000975,0.002549,98570.0,34360.0,0.0
2016-04-25,0.002676,0.003509,0.00191,0.002307,277515.0,62509.0,0.0
2016-04-26,0.002308,0.002577,0.001462,0.001641,18258.0,56206.0,0.0
2016-04-27,0.001641,0.002271,0.00142,0.001774,8089.0,41262.0,0.0
2016-04-28,0.001776,0.001779,0.001072,0.001203,9163.0,46063.0,0.0
2016-04-29,0.0012,0.0016,0.000923,0.001078,7654.0,32066.0,0.0
2016-04-30,0.001092,0.001135,0.000521,0.000544,1745.0,30095.0,0.0
2016-05-01,0.000585,0.000977,0.000323,0.000587,2520.0,16592.0,0.0
2016-05-02,0.000529,0.000854,0.000421,0.000534,4135.0,15446.0,0.0
2016-05-03,0.000534,0.000693,0.000514,0.000522,2390.0,16042.0,0.0
2016-05-04,0.000522,0.000549,0.000455,0.000487,1606.0,16218.0,0.0
2016-05-05,0.000501,0.000533,0.000447,0.000493,2475.0,16143.0,0.0
2016-05-06,0.000493,0.000506,0.000423,0.000423,1514.0,16385.0,0.0
2016-05-07,0.000432,0.000437,0.000259,0.000284,2243.0,14773.0,0.0
2016-05-08,0.000284,0.000447,0.000284,0.000326,2217.0,9984.0,0.0
2016-05-09,0.000325,0.000385,0.000274,0.000299,1988.0,11754.0,0.0
2016-05-10,0.000299,0.000335,0.000243,0.00028,847.0,10957.0,0.0
2016-05-11,0.00028,0.000281,0.000249,0.000254,540.0,10233.0,0.0
2016-05-12,0.000253,0.000276,0.000249,0.000264,480.0,9278.0,0.0
2016-05-13,0.000264,0.000291,0.000263,0.000269,221.0,9658.0,0.0
2016-05-14,0.000269,0.000279,0.000255,0.00026,367.0,9846.0,0.0
2016-05-15,0.00026,0.000265,0.000237,0.000238,193.0,9511.0,0.0
2016-05-16,0.000238,0.00024,0.000101,0.000223,354.0,8712.0,0.0
2016-05-17,0.000222,0.000222,0.000154,0.000159,70.0,8145.0,0.0
2016-05-18,0.000159,0.000178,0.000127,0.000132,149.0,5814.0,0.0
2016-05-19,0.000123,0.000176,0.000123,0.000167,83.0,4493.0,0.0
2016-05-20,0.000166,0.000239,0.000147,0.000183,130.0,6091.0,0.0
2016-05-21,0.000183,0.000218,0.000178,0.000191,41.0,6692.0,0.0
2016-05-22,0.000191,0.000191,0.000158,0.000163,117.0,6979.0,0.0
2016-05-23,0.000163,0.000168,0.000158,0.00016,48.0,5953.0,0.0
2016-05-24,0.00016,0.00017,0.000148,0.000148,64.0,5857.0,0.0
2016-05-25,0.000148,0.000167,0.000148,0.000157,5.0,5422.0,0.0
2016-05-26,0.000153,0.000331,0.000131,0.000199,1228.0,5599.0,0.0
2016-05-27,0.000199,0.000215,0.000109,0.00018,72.0,7306.0,0.0
2016-05-28,0.00018,0.000184,0.000124,0.000161,14.0,6583.0,0.0
2016-05-29,0.00016,0.000172,0.000142,0.000164,17.0,5858.0,0.0
2016-05-30,0.000165,0.000211,0.000113,0.000128,691.0,6026.0,0.0
2016-05-31,0.000128,0.000152,7.9e-05,0.000149,96.0,4697.0,0.0
2016-06-01,0.000149,0.000151,8.5e-05,9.7e-05,114.0,5447.0,0.0
2016-06-02,9.7e-05,0.000119,9.6e-05,0.000109,35.0,3543.0,0.0
2016-06-03,0.000108,0.000125,0.000108,0.00012,33.0,3974.0,0.0
2016-06-04,0.00012,0.000128,0.000118,0.00012,6.0,4383.0,0.0
2016-06-05,0.00012,0.000127,0.000115,0.000126,2.0,4411.0,0.0
2016-06-06,0.000126,0.000135,0.000116,0.000117,7.0,4631.0,0.0
2016-06-07,0.000117,0.000135,0.000111,0.000121,9.0,4290.0,0.0
2016-06-08,0.000121,0.000127,0.000109,0.000111,6.0,4441.0,0.0
2016-06-09,0.000111,0.000127,0.000109,0.000115,11.0,4053.0,0.0
2016-06-10,0.000115,0.000151,0.000115,0.000144,47.0,4220.0,0.0
2016-06-11,0.000145,0.000152,0.000122,0.000133,6.0,5301.0,0.0
2016-06-12,0.000134,0.000214,0.000134,0.000202,55.0,4915.0,0.0
2016-06-13,0.000201,0.000211,0.000168,0.000169,40.0,7383.0,0.0
2016-06-14,0.000169,0.000185,0.000137,0.000158,73.0,6196.0,0.0
2016-06-15,0.000158,0.000167,0.000152,0.000167,2.0,5779.0,0.0
2016-06-16,0.000167,0.000178,0.000153,0.000176,10.0,6125.0,0.0
2016-06-17,0.000177,0.000178,0.000148,0.00015,14.0,6477.0,0.0
2016-06-18,0.00015,0.000179,0.000147,0.000151,22.0,5487.0,0.0
2016-06-19,0.000151,0.000176,0.000149,0.000176,3.0,5542.0,0.0
2016-06-20,0.000176,0.000176,0.000147,0.000147,2.0,6439.0,0.0
2016-06-21,0.000147,0.000164,0.000137,0.000153,2.0,5393.0,0.0
2016-06-22,0.000153,0.000156,0.000117,0.000131,12.0,5613.0,0.0
2016-06-23,0.000131,0.000132,0.000118,0.000131,1.0,4817.0,0.0
2016-06-24,0.000131,0.000143,0.000122,0.000126,6.0,4814.0,0.0
2016-06-25,0.000126,0.000143,0.000126,0.000133,5.0,4632.0,0.0
2016-06-26,0.000133,0.000133,0.000113,0.000113,2.0,4881.0,0.0
2016-06-27,0.000113,0.000117,3.8e-05,9.8e-05,44.0,4151.0,0.0
2016-06-28,9.9e-05,0.000104,9.6e-05,0.000104,0.0,3618.0,0.0
2016-06-29,0.000103,0.000116,9.5e-05,0.000115,10.0,3777.0,0.0
2016-06-30,0.000115,0.000121,0.000109,0.000115,3.0,4226.0,0.0
2016-07-01,0.000114,0.000122,0.000107,0.000108,1.0,4190.0,0.0
2016-07-02,0.000108,0.00012,0.000108,0.00012,0.0,3968.0,0.0
2016-07-03,0.00012,0.00012,0.00011,0.000112,0.0,4392.0,0.0
2016-07-04,0.000119,0.000119,0.000102,0.000103,21.0,4349.0,0.0
2016-07-05,0.000102,0.000108,0.000101,0.000107,1.0,3756.0,0.0
2016-07-06,0.000107,0.000129,0.000101,0.000102,38.0,3931.0,0.0
2016-07-07,0.000102,0.000254,0.000101,0.000254,13.0,3723.0,0.0
2016-07-08,0.000227,0.000287,0.000115,0.000115,7.0,8304.0,0.0
2016-07-09,0.000119,0.000123,0.000104,0.000117,1.0,4368.0,0.0
2016-07-10,0.000117,0.000117,0.00011,0.00011,0.0,4292.0,0.0
2016-07-11,0.00011,0.000233,0.000103,0.00011,792.0,4045.0,0.0
2016-07-12,0.00011,0.000279,0.00011,0.000279,131.0,4039.0,0.0
2016-07-13,0.000279,0.000369,0.000226,0.000314,228.0,10232.0,0.0
2016-07-14,0.000313,0.000361,0.000276,0.000329,74.0,11479.0,0.0
2016-07-15,0.00033,0.000366,0.000192,0.000245,82.0,12078.0,0.0
2016-07-16,0.000245,0.000272,0.000211,0.000272,2.0,8993.0,0.0
2016-07-17,0.000271,0.000272,0.0002,0.000258,23.0,9928.0,0.0
2016-07-18,0.000258,0.000259,0.000254,0.000256,4.0,9462.0,0.0
2016-07-19,0.000262,0.000269,0.000227,0.000229,2.0,9617.0,0.0
2016-07-20,0.000229,0.000229,0.000186,0.000186,10.0,8383.0,0.0
2016-07-21,0.000186,0.000253,0.000185,0.000253,11.0,6826.0,0.0
2016-07-22,0.000252,0.000253,0.00022,0.000221,3.0,9252.0,0.0
2016-07-23,0.000221,0.000223,0.000203,0.000203,2.0,8107.0,0.0
2016-07-24,0.000203,0.000212,0.000196,0.000212,2.0,7446.0,0.0
2016-07-25,0.000212,0.000223,0.000209,0.000222,0.0,7755.0,0.0
2016-07-26,0.000222,0.000223,0.00022,0.000222,0.0,8150.0,0.0
2016-07-27,0.000222,0.00023,0.00017,0.00017,10.0,8119.0,0.0
2016-07-28,0.00017,0.000197,0.00017,0.000197,1.0,6236.0,0.0
2016-07-29,0.000197,0.000197,0.000184,0.000184,0.0,7202.0,0.0
2016-07-30,0.000184,0.000184,0.000184,0.000184,0.0,6742.0,0.0
2016-07-31,0.000177,0.000177,0.000162,0.000162,1.0,6504.0,0.0
2016-08-01,0.000162,0.000182,0.00016,0.000176,1.0,5951.0,0.0
2016-08-02,0.000176,0.000178,0.000173,0.000175,0.0,6445.0,0.0
2016-08-03,0.000143,0.000153,0.000107,0.000108,191.0,5253.0,0.0
2016-08-04,0.000108,0.000257,0.000108,0.000191,405.0,3943.0,0.0
2016-08-05,0.000191,0.000223,0.00016,0.000219,30.0,6993.0,0.0
2016-08-06,0.000219,0.000219,0.000154,0.000165,4.0,8008.0,0.0
2016-08-07,0.000165,0.000167,0.000158,0.00016,0.0,6031.0,0.0
2016-08-08,0.00016,0.00019,0.000159,0.000165,4.0,5865.0,0.0
2016-08-09,0.000165,0.00023,0.000165,0.000223,53.0,6065.0,0.0
2016-08-10,0.000223,0.000223,0.000176,0.000201,10.0,8186.0,0.0
2016-08-11,0.000201,0.000203,0.000189,0.000189,1.0,7378.0,0.0
2016-08-12,0.000189,0.000189,0.00017,0.000176,1.0,6909.0,0.0
2016-08-13,0.000176,0.000176,0.00017,0.00017,4.0,6460.0,0.0
2016-08-14,0.00017,0.00017,0.000162,0.000165,1.0,6223.0,0.0
2016-08-15,0.000165,0.000177,0.000165,0.000176,1.0,6063.0,0.0
2016-08-16,0.000176,0.000185,0.000162,0.000162,9.0,6444.0,0.0
2016-08-17,0.000162,0.000172,0.00016,0.000172,0.0,5925.0,0.0
2016-08-18,0.000172,0.000179,0.000172,0.000172,1.0,6302.0,0.0
2016-08-19,0.000172,0.000173,0.000172,0.000173,0.0,6314.0,0.0
2016-08-20,0.00018,0.000181,0.00018,0.00018,19.0,6599.0,0.0
2016-08-21,0.00018,0.000181,0.00018,0.00018,19.0,6608.0,0.0
2016-08-23,0.000146,0.000146,0.000145,0.000146,0.0,5349.0,0.0
2016-08-24,0.000146,0.000146,0.000145,0.000146,0.0,5345.0,0.0
2016-08-25,0.000144,0.000144,0.000115,0.000139,16.0,5274.0,0.0
2016-08-26,0.000139,0.000162,9.9e-05,0.000162,121.0,5082.0,0.0
2016-08-27,0.000162,0.000162,0.000114,0.000114,1.0,5948.0,0.0
2016-08-28,0.000114,0.000121,0.000114,0.000115,0.0,4177.0,0.0
2016-08-29,0.000115,0.000115,9.8e-05,9.8e-05,15.0,4206.0,0.0
2016-08-30,9.8e-05,9.8e-05,9.8e-05,9.8e-05,1.0,3577.0,0.0
2016-08-31,9.8e-05,0.000115,9.8e-05,0.000115,0.0,3598.0,0.0
2016-09-01,0.000115,0.000115,0.000114,0.000115,0.0,4218.0,0.0
2016-09-03,9.8e-05,0.000102,9.8e-05,0.000102,10.0,3582.0,0.0
2016-09-04,0.000102,0.000133,0.000102,0.000132,0.0,3727.0,0.0
2016-09-05,0.000132,0.000152,0.00012,0.000121,0.0,4835.0,0.0
2016-09-06,0.000121,0.000134,0.000121,0.000134,6.0,4446.0,0.0
2016-09-07,0.000134,0.000134,0.000123,0.000123,0.0,4922.0,0.0
2016-09-08,0.000123,0.000126,0.000123,0.000125,1.0,4504.0,0.0
2016-09-09,0.000125,0.000125,0.000125,0.000125,1.0,4590.0,0.0
2016-09-10,0.000119,0.000119,0.000106,0.000106,7.0,4346.0,0.0
2016-09-11,0.000106,0.000115,0.000106,0.000115,2.0,3884.0,0.0
2016-09-12,0.000115,0.000116,0.000115,0.000116,1.0,4225.0,0.0
2016-09-14,0.000122,0.000122,0.000122,0.000122,1.0,4483.0,0.0
2016-09-15,0.000122,0.000146,0.000122,0.000146,11.0,4476.0,0.0
2016-09-16,0.000134,0.000134,0.000121,0.000121,3.0,4895.0,0.0
2016-09-17,0.000121,0.000127,0.000121,0.000127,0.0,4449.0,0.0
2016-09-18,0.000127,0.000128,0.000127,0.000128,0.0,4664.0,0.0
2016-09-19,0.000134,0.000147,0.000134,0.000143,1.0,4911.0,0.0
2016-09-20,0.000143,0.000148,0.000128,0.000128,0.0,5226.0,0.0
2016-09-21,0.000128,0.000128,0.000107,0.000107,4.0,4681.0,0.0
2016-09-22,0.000107,0.000126,0.000107,0.000119,0.0,3939.0,0.0
2016-09-23,0.000119,0.000127,0.000119,0.000127,2.0,4371.0,0.0
2016-09-24,0.000127,0.000151,0.00012,0.000121,8.0,4639.0,0.0
2016-09-25,0.000121,0.000127,0.000114,0.000114,5.0,4417.0,0.0
2016-09-26,0.000114,0.000115,0.000114,0.000115,2.0,4183.0,0.0
2016-09-27,0.000109,0.000109,0.000109,0.000109,1.0,3998.0,0.0
2016-09-28,0.000109,0.000109,0.000109,0.000109,1.0,3999.0,0.0
2016-09-29,0.000121,0.000121,0.000121,0.000121,0.0,4441.0,0.0
2016-09-30,0.000121,0.000121,0.000115,0.000116,1.0,4439.0,0.0
2016-10-01,0.000116,0.000178,0.000116,0.000178,0.0,4246.0,0.0
2016-10-02,0.000178,0.000178,0.000177,0.000178,0.0,6525.0,0.0
2016-10-03,0.000122,0.000126,0.000117,0.000117,1.0,4485.0,0.0
2016-10-04,0.000117,0.00014,0.00011,0.000128,57.0,4289.0,0.0
2016-10-05,0.000128,0.000147,0.000128,0.000147,0.0,4696.0,0.0
2016-10-06,0.000147,0.000147,0.000104,0.000129,35.0,5387.0,0.0
2016-10-07,0.000129,0.000136,0.000117,0.000136,4.0,4718.0,0.0
2016-10-08,0.000136,0.000136,0.000124,0.000124,0.0,4975.0,0.0
2016-10-09,0.000124,0.000136,0.000105,0.000136,12.0,4538.0,0.0
