Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-04-17,0.00048,0.00072,0.000348,0.000348,857.0,1634.0,0.0
2015-04-18,0.000348,0.000832,0.000348,0.000501,638.0,1367.0,0.0
2015-04-19,0.000501,0.000765,0.000377,0.000485,2647.0,2341.0,0.0
2015-04-20,0.00052,0.000727,0.000273,0.000352,689.0,2812.0,0.0
2015-04-21,0.000352,0.000361,0.000213,0.000222,443.0,2163.0,0.0
2015-04-22,0.000232,0.000415,0.000204,0.000217,314.0,1598.0,0.0
2015-04-23,0.000217,0.000535,0.000147,0.00022,1775.0,1645.0,0.0
2015-04-24,0.00022,0.000278,0.000116,0.000116,188.0,1666.0,0.0
2015-04-25,0.000115,0.00016,5.8e-05,0.000138,172.0,1047.0,0.0
2015-04-26,0.000138,0.000149,6.3e-05,7.2e-05,51.0,1339.0,0.0
2015-04-27,6.6e-05,9.7e-05,3.7e-05,5.3e-05,210.0,693.0,0.0
2015-04-28,5.3e-05,5.5e-05,3.8e-05,4.3e-05,34.0,592.0,0.0
2015-04-29,4.3e-05,7.1e-05,3.8e-05,4.1e-05,27.0,509.0,0.0
2015-04-30,4.1e-05,4.2e-05,3.7e-05,4e-05,19.0,505.0,0.0
2015-05-01,4e-05,4.2e-05,2.3e-05,2.3e-05,28.0,514.0,0.0
2015-05-02,2.3e-05,3.5e-05,1.9e-05,2.8e-05,28.0,316.0,0.0
2015-05-03,2.8e-05,2.8e-05,2.4e-05,2.4e-05,15.0,398.0,0.0
2015-05-04,2.4e-05,2.9e-05,1.4e-05,1.7e-05,15.0,354.0,0.0
2015-05-05,1.7e-05,1.9e-05,1.4e-05,1.4e-05,11.0,260.0,0.0
2015-05-06,1.4e-05,1.4e-05,1.4e-05,1.4e-05,6.0,230.0,0.0
2015-05-07,1.4e-05,1.7e-05,1.4e-05,1.4e-05,8.0,229.0,0.0
2015-05-08,1.4e-05,1.7e-05,1.4e-05,1.5e-05,7.0,247.0,0.0
2015-05-09,1.5e-05,1.7e-05,1.4e-05,1.4e-05,4.0,262.0,0.0
2015-05-10,1.4e-05,2.2e-05,1.2e-05,1.9e-05,23.0,261.0,0.0
2015-05-11,1.9e-05,3.7e-05,1.3e-05,2e-05,14.0,362.0,0.0
2015-05-12,2e-05,2.1e-05,1.2e-05,1.2e-05,7.0,381.0,0.0
2015-05-13,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.0,229.0,0.0
2015-05-14,1.2e-05,1.2e-05,7e-06,7e-06,0.0,224.0,0.0
2015-05-15,7e-06,1e-05,7e-06,1e-05,0.0,135.0,0.0
2015-05-16,1e-05,1e-05,9e-06,9e-06,0.0,180.0,0.0
2015-05-17,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,225.0,0.0
2015-05-18,1.2e-05,2.4e-05,1.2e-05,2.4e-05,31.0,225.0,0.0
2015-05-19,2.4e-05,2.4e-05,1.6e-05,2e-05,12.0,449.0,0.0
2015-05-20,2e-05,3.5e-05,2e-05,2.9e-05,24.0,380.0,0.0
2015-05-21,2.9e-05,2.9e-05,1.6e-05,2.3e-05,1.0,557.0,0.0
2015-05-22,2.3e-05,2.3e-05,1.7e-05,1.7e-05,19.0,438.0,0.0
2015-05-23,1.7e-05,1.7e-05,1.7e-05,1.7e-05,34.0,320.0,0.0
2015-05-24,1.7e-05,1.7e-05,1.7e-05,1.7e-05,34.0,318.0,0.0
2015-05-25,1.4e-05,1.4e-05,9e-06,9e-06,0.0,274.0,0.0
2015-05-26,9e-06,1e-05,2e-06,2e-06,0.0,180.0,0.0
2015-05-27,2e-06,7e-06,2e-06,7e-06,0.0,45.0,0.0
2015-05-28,7e-06,7e-06,7e-06,7e-06,0.0,136.0,0.0
2015-05-29,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0,228.0,0.0
2015-05-30,1.2e-05,8e-05,7e-06,7e-06,1.0,228.0,0.0
2015-05-31,7e-06,7e-06,7e-06,7e-06,0.0,136.0,0.0
