Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-10-24,0.008389,0.012284,0.008364,0.008455,4.0,1523.0,0.01
2015-10-25,0.008449,0.012613,0.008449,0.008516,2.0,1534.0,0.01
2015-10-26,0.008515,0.012242,0.008424,0.008579,1.0,1546.0,0.01
2015-10-27,0.008578,0.013033,0.008573,0.012927,4.0,1557.0,0.01
2015-10-28,0.012927,0.01831,0.008936,0.018271,8.0,2347.0,0.01
2015-10-29,0.009133,0.017496,0.009058,0.009419,2.0,1658.0,0.01
2015-10-30,0.01883,0.020043,0.009644,0.009844,2.0,3419.0,0.01
2015-10-31,0.009859,0.017961,0.009281,0.009428,2.0,1838.0,0.01
2015-11-01,0.009453,0.017684,0.00936,0.009769,1.0,1768.0,0.01
2015-11-02,0.009785,0.019856,0.009703,0.010843,4.0,1834.0,0.01
2015-11-03,0.010863,0.024962,0.010737,0.024197,7.0,2089.0,0.02
2015-11-04,0.024212,0.029394,0.011851,0.012363,5.0,4667.0,0.02
2015-11-05,0.012259,0.024961,0.011252,0.02317,24.0,2370.0,0.02
2015-11-06,0.023271,0.031659,0.009111,0.009365,12.0,4510.0,0.02
2015-11-07,0.00936,0.030994,0.009315,0.030911,9.0,1819.0,0.02
2015-11-08,0.030735,0.031184,0.008036,0.029774,2.0,5989.0,0.02
2015-11-09,0.029935,0.030811,0.01369,0.013794,0.0,5844.0,0.02
2015-11-10,0.013785,0.036232,0.013542,0.022767,3.0,2697.0,0.02
2015-11-11,0.02297,0.025713,0.016508,0.016795,12.0,4504.0,0.02
2015-11-12,0.016957,0.027075,0.002401,0.026531,3.0,3331.0,0.01
2015-11-13,0.026559,0.026748,0.002414,0.026415,4.0,5225.0,0.01
2015-11-14,0.026405,0.026527,0.002419,0.02596,1.0,5201.0,0.01
2015-11-15,0.025971,0.026067,0.002421,0.020076,0.0,5125.0,0.01
2015-11-16,0.020049,0.02585,0.004445,0.025782,0.0,3961.0,0.02
2015-11-17,0.025782,0.026374,0.000762,0.000814,2.0,5102.0,0.01
2015-11-18,0.000813,0.000816,0.000756,0.00076,2.0,161.0,0.0
2015-11-19,0.002445,0.025626,0.002445,0.025413,0.0,485.0,0.01
2015-11-20,0.025441,0.025442,0.001959,0.010086,1.0,5051.0,0.01
2015-11-21,0.010084,0.025038,0.002404,0.002419,0.0,2006.0,0.01
2015-11-22,0.00242,0.014327,0.002172,0.00218,0.0,482.0,0.01
2015-11-23,0.002179,0.002456,0.001873,0.002455,0.0,435.0,0.0
2015-11-24,0.002455,0.007566,0.002364,0.002372,0.0,491.0,0.0
2015-11-25,0.002372,0.007661,0.002347,0.002433,0.0,475.0,0.01
2015-11-26,0.002433,0.002709,0.002432,0.002613,0.0,488.0,0.0
2015-11-27,0.002607,0.006274,0.002578,0.002607,0.0,525.0,0.0
2015-11-28,0.0026,0.005623,0.002356,0.002368,2.0,524.0,0.0
2015-11-29,0.002369,0.009768,0.001371,0.009751,2.0,479.0,0.01
2015-11-30,0.009755,0.011317,0.001777,0.001826,1.0,1977.0,0.01
2015-12-01,0.001826,0.00813,0.00182,0.004478,0.0,371.0,0.0
2015-12-02,0.00447,0.007613,0.002118,0.002123,0.0,911.0,0.0
2015-12-03,0.002124,0.007157,0.002119,0.007131,0.0,434.0,0.0
2015-12-04,0.007135,0.007153,0.002717,0.002815,0.0,1460.0,0.0
2015-12-05,0.002819,0.003025,0.002815,0.003018,0.0,578.0,0.0
2015-12-06,0.003023,0.003232,0.003023,0.003149,1.0,621.0,0.0
2015-12-07,0.003159,0.0032,0.003053,0.003123,0.0,650.0,0.0
2015-12-08,0.003125,0.00376,0.003021,0.003179,1.0,644.0,0.0
2015-12-09,0.00317,0.003172,0.002442,0.002452,0.0,654.0,0.0
2015-12-10,0.002454,0.003033,0.002412,0.00266,0.0,507.0,0.0
2015-12-11,0.002657,0.00284,0.002542,0.002632,0.0,551.0,0.0
2015-12-12,0.002634,0.008686,0.001029,0.008664,31.0,547.0,0.0
2015-12-13,0.008664,0.008938,0.002112,0.008711,2.0,1805.0,0.01
2015-12-14,0.008701,0.008953,0.001356,0.008111,1.0,1816.0,0.01
2015-12-15,0.008106,0.008687,0.002539,0.008687,2.0,1696.0,0.01
2015-12-16,0.008684,0.009169,0.003142,0.009126,1.0,1821.0,0.01
2015-12-17,0.009123,0.00917,0.001679,0.009144,2.0,1913.0,0.01
2015-12-18,0.00914,0.009327,0.001719,0.009295,0.0,1926.0,0.01
2015-12-19,0.009294,0.009334,0.001732,0.009242,25.0,1964.0,0.01
2015-12-20,0.00924,0.009248,0.001955,0.001992,1.0,1958.0,0.01
