Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-02-15,0.001598,0.001667,0.00148,0.001667,75.0,4979.0,0.0
2015-02-16,0.001667,0.001877,0.00108,0.001172,58.0,5209.0,0.0
2015-02-17,0.001169,0.001855,0.000827,0.000974,73.0,3696.0,0.0
2015-02-18,0.000975,0.001588,0.000944,0.00143,21.0,3119.0,0.0
2015-02-19,0.00143,0.001591,0.001177,0.001571,94.0,4626.0,0.0
2015-02-20,0.001571,0.001596,0.001277,0.001589,22.0,5139.0,0.0
2015-02-21,0.001589,0.002145,0.001314,0.001492,83.0,5258.0,0.0
2015-02-22,0.001492,0.002038,0.001412,0.001418,106.0,4994.0,0.0
2015-02-23,0.001418,0.002089,0.001414,0.002078,33.0,4805.0,0.0
2015-02-24,0.002079,0.002172,0.001534,0.002172,103.0,7127.0,0.0
2015-02-25,0.002174,0.002178,0.001416,0.001437,1.0,7538.0,0.0
2015-02-26,0.001436,0.001861,0.001413,0.001832,27.0,5037.0,0.0
2015-02-27,0.001832,0.001841,0.001665,0.001767,1.0,6501.0,0.0
2015-02-28,0.001767,0.001919,0.001514,0.001538,32.0,6338.0,0.0
2015-03-01,0.001538,0.001685,0.001481,0.001566,61.0,5582.0,0.0
2015-03-02,0.001567,0.001727,0.000551,0.000551,42.0,5749.0,0.0
2015-03-03,0.00055,0.000617,0.000549,0.000609,14.0,2039.0,0.0
2015-03-04,0.000608,0.001657,0.000601,0.000825,3.0,2280.0,0.0
2015-03-05,0.000824,0.002008,0.000814,0.001588,39.0,3119.0,0.0
2015-03-06,0.001585,0.001918,0.001485,0.001568,2.0,6064.0,0.0
2015-03-07,0.001566,0.005445,0.001553,0.002887,2382.0,6054.0,0.0
2015-03-08,0.002889,0.002905,0.001637,0.001646,618.0,11286.0,0.0
2015-03-09,0.001649,0.00225,0.001601,0.001998,253.0,6509.0,0.0
2015-03-10,0.002,0.002082,0.001755,0.001759,7.0,7976.0,0.0
2015-03-11,0.001758,0.002044,0.001519,0.001526,55.0,7081.0,0.0
