Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-06-13,11.23,14.02,11.13,11.41,9395.0,-1.0,12.57
2017-06-14,11.4,16.43,9.63,10.08,14219.0,-1.0,13.03
2017-06-15,10.08,14.45,7.19,14.45,2922.0,12336300.0,10.82
2017-06-16,14.43,14.99,13.86,14.99,351.0,17952400.0,14.43
2017-06-17,14.99,16.74,10.49,10.49,1230.0,53690100.0,13.61
2017-06-18,10.49,14.99,10.49,14.99,914.0,37774500.0,12.74
2017-06-19,14.99,17.74,8.99,16.24,981.0,53981200.0,13.36
2017-06-20,16.24,17.74,10.55,16.87,2229.0,58635700.0,14.14
2017-06-21,16.87,16.87,16.85,16.87,6985.0,61026000.0,16.86
2017-06-22,16.87,17.74,12.12,17.24,1902.0,61099000.0,14.93
2017-06-23,17.24,19.86,13.64,19.63,2056.0,62536600.0,16.75
2017-06-24,19.64,19.86,16.52,18.79,1828.0,71299900.0,18.19
2017-06-25,18.81,23.44,12.45,13.15,30563.0,68327700.0,17.95
2017-06-26,13.13,17.69,9.5,9.5,19036.0,47709600.0,13.6
2017-06-27,9.71,16.16,8.03,16.16,58054.0,35293000.0,12.09
2017-06-28,16.27,16.27,9.33,10.59,10991.0,59482100.0,12.8
2017-06-29,10.58,14.61,7.91,9.72,36324.0,38691700.0,11.26
2017-06-30,9.73,13.38,4.76,9.01,17737.0,35633600.0,9.07
2017-07-01,9.04,10.08,6.77,7.26,4238.0,33108100.0,8.43
2017-07-02,7.26,11.98,6.42,10.77,23492.0,26607300.0,9.2
2017-07-03,10.73,12.31,8.59,9.38,19936.0,39358900.0,10.45
2017-07-04,9.36,12.65,9.36,11.48,20324.0,34359900.0,11.0
2017-07-05,11.48,11.48,9.67,10.04,8218.0,42138200.0,10.57
2017-07-06,10.05,10.25,8.64,10.01,17080.0,36895600.0,9.45
2017-07-07,10.02,10.04,7.45,7.9,7462.0,36799700.0,8.74
2017-07-08,7.91,9.25,7.33,8.37,8647.0,29050700.0,8.29
2017-07-09,8.38,8.41,7.22,8.16,3645.0,30790400.0,7.81
2017-07-10,8.18,9.02,6.99,7.53,5637.0,30046400.0,8.0
2017-07-11,7.52,8.32,6.45,6.46,6682.0,27628400.0,7.38
2017-07-12,6.45,6.98,5.0,6.23,31006.0,23706700.0,5.99
2017-07-13,6.24,6.25,4.42,4.69,21287.0,22946500.0,5.33
2017-07-14,4.68,8.8,4.59,7.64,8547.0,17227600.0,6.7
2017-07-15,7.62,7.63,5.86,5.94,2209.0,28060700.0,6.75
2017-07-16,5.92,6.64,4.03,5.43,8907.0,21795300.0,5.33
2017-07-17,5.43,7.24,5.43,7.23,4488.0,19991200.0,6.33
2017-07-18,7.25,8.39,6.83,7.73,6764.0,26704400.0,7.61
2017-07-19,7.74,8.88,6.03,6.1,6171.0,28531900.0,7.46
2017-07-20,6.09,9.1,6.09,8.83,9837.0,22458400.0,7.59
2017-07-21,8.89,9.84,7.26,8.77,21267.0,32793200.0,8.55
2017-07-22,8.76,9.31,7.41,9.28,8099.0,32318000.0,8.36
2017-07-23,9.28,9.36,8.1,8.94,6571.0,34219400.0,8.73
2017-07-24,8.93,9.0,7.95,8.83,16223.0,32922000.0,8.47
2017-07-25,8.82,8.88,5.98,7.19,12342.0,32554100.0,7.43
2017-07-26,7.19,7.9,5.13,7.12,30066.0,26533200.0,6.52
2017-07-27,7.14,8.08,5.36,8.0,7289.0,26335700.0,6.72
2017-07-28,8.03,11.33,5.63,11.08,72127.0,29620200.0,8.48
2017-07-29,11.08,11.24,5.35,8.59,44782.0,41007300.0,8.29
2017-07-30,8.59,9.6,8.26,8.69,23825.0,31787800.0,8.93
2017-07-31,8.69,9.29,4.39,6.66,21857.0,32159600.0,6.84
2017-08-01,6.67,9.78,6.19,8.75,150998.0,24678900.0,7.98
2017-08-02,8.75,10.42,8.52,10.02,439491.0,32401700.0,9.47
2017-08-03,9.97,10.28,7.99,8.24,5246.0,36938100.0,9.13
2017-08-04,8.23,10.95,8.23,10.11,789098.0,30498700.0,9.59
2017-08-05,10.06,12.18,9.58,10.91,14262.0,37272700.0,10.88
2017-08-06,10.91,10.99,9.95,10.85,229948.0,40408500.0,10.47
2017-08-07,10.85,12.34,9.96,10.04,593748.0,40414400.0,11.15
2017-08-08,10.04,12.78,9.81,12.06,1376100.0,37394700.0,11.29
2017-08-09,12.06,12.06,10.33,10.44,1105220.0,44916900.0,11.2
2017-08-10,10.44,12.75,8.96,11.5,637050.0,38900400.0,10.86
2017-08-11,11.5,12.6,10.8,12.23,413953.0,43016700.0,11.7
2017-08-12,12.23,12.59,10.58,11.71,412371.0,45743400.0,11.59
2017-08-13,11.71,11.98,8.67,10.05,152824.0,43852100.0,10.32
2017-08-14,10.05,10.65,8.76,9.83,618864.0,37685000.0,9.71
2017-08-15,9.83,10.92,9.09,10.17,645666.0,36892900.0,10.0
2017-08-16,10.17,10.63,7.92,8.1,507643.0,38172000.0,9.28
2017-08-17,8.1,8.18,4.89,6.59,571800.0,30397600.0,6.54
2017-08-18,6.59,7.57,5.83,6.69,413292.0,24736600.0,6.7
2017-08-19,6.69,7.68,6.17,7.17,352996.0,25121500.0,6.92
2017-08-20,7.16,8.43,5.72,7.57,286453.0,26908600.0,7.07
2017-08-21,7.57,7.85,5.54,5.66,664263.0,28420100.0,6.7
2017-08-22,5.66,6.23,3.68,5.44,549481.0,21266000.0,4.96
2017-08-23,5.43,6.42,5.05,6.28,586909.0,20421900.0,5.73
2017-08-24,6.28,6.68,4.65,5.0,356835.0,23596100.0,5.67
2017-08-25,5.0,5.8,4.57,5.4,564800.0,18797900.0,5.19
2017-08-26,5.4,5.8,5.0,5.71,210401.0,20295800.0,5.4
2017-08-27,5.71,5.74,5.22,5.7,165762.0,21472700.0,5.48
2017-08-28,5.7,5.93,5.24,5.78,614246.0,21425300.0,5.58
2017-08-29,5.78,5.84,5.34,5.7,1169420.0,21715900.0,5.59
2017-08-30,5.7,5.7,4.57,5.45,614296.0,21426500.0,5.13
2017-08-31,5.45,6.08,5.32,5.82,610328.0,20486500.0,5.7
2017-09-01,5.82,6.74,5.45,6.74,865781.0,21879000.0,6.1
2017-09-02,6.78,7.29,5.69,5.88,417526.0,25498500.0,6.49
2017-09-03,5.87,6.5,5.37,5.97,409942.0,22075700.0,5.94
2017-09-04,5.97,6.18,4.37,4.45,176519.0,22463300.0,5.28
2017-09-05,4.45,5.02,3.88,4.75,667073.0,16744000.0,4.45
2017-09-06,4.75,6.54,4.75,6.54,775104.0,17876200.0,5.64
2017-09-07,6.63,6.63,5.69,5.84,457133.0,24969800.0,6.16
2017-09-08,5.84,5.85,4.28,4.37,591379.0,21975000.0,5.06
2017-09-09,4.37,5.26,4.17,4.72,407536.0,16440000.0,4.71
2017-09-10,4.72,5.29,3.96,5.02,201266.0,17769200.0,4.62
