Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-08-22,0.001767,0.0047,0.001468,0.001473,2304.0,148.0,0.0
2016-08-23,0.001473,0.003114,0.001246,0.00262,3461.0,140.0,0.0
2016-08-24,0.001867,0.002907,0.000737,0.000801,1578.0,326.0,0.0
2016-08-25,0.000801,0.001815,0.000673,0.000896,947.0,202.0,0.0
2016-08-26,0.000896,0.001879,0.00029,0.000754,19092.0,295.0,0.0
2016-08-27,0.000753,0.00089,0.000426,0.000541,5516.0,295.0,0.0
2016-08-28,0.000541,0.00061,0.000413,0.000488,5381.0,238.0,0.0
2016-08-29,0.000488,0.000576,0.000443,0.000522,5808.0,248.0,0.0
2016-08-30,0.000522,0.000569,0.000444,0.000456,2018.0,306.0,0.0
2016-08-31,0.000456,0.000632,0.000316,0.000478,10164.0,303.0,0.0
2016-09-01,0.000478,0.000504,0.000395,0.000401,1724.0,355.0,0.0
2016-09-02,0.000429,0.00048,0.000242,0.000294,407.0,352.0,0.0
2016-09-03,0.000294,0.000374,0.00027,0.000281,208.0,264.0,0.0
2016-09-04,0.000281,0.000305,0.000224,0.000225,571.0,271.0,0.0
2016-09-05,0.000225,0.000243,0.000223,0.000231,30.0,233.0,0.0
2016-09-06,0.00023,0.000231,0.000164,0.000165,55.0,254.0,0.0
2016-09-07,0.000165,0.000166,9.1e-05,0.000166,36.0,184.0,0.0
2016-09-08,0.000166,0.000169,0.000106,0.000113,22.0,185.0,0.0
2016-09-09,0.000113,0.000118,0.000106,0.000106,4.0,128.0,0.0
2016-09-10,0.000106,0.000119,0.000106,0.000118,26.0,123.0,0.0
2016-09-11,0.000118,0.000126,0.000115,0.000115,36.0,140.0,0.0
2016-09-12,0.000115,0.000133,9.1e-05,0.000116,73.0,136.0,0.0
2016-09-13,0.000116,0.000128,9.7e-05,0.000128,8.0,136.0,0.0
2016-09-14,0.000128,0.000141,0.000122,0.00014,24.0,151.0,0.0
2016-09-15,0.00014,0.000177,0.000122,0.00014,11.0,166.0,0.0
2016-09-16,0.00014,0.000298,0.000121,0.000297,384.0,165.0,0.0
2016-09-17,0.000298,0.000328,0.000169,0.00017,15.0,354.0,0.0
2016-09-18,0.00017,0.00017,0.000146,0.000146,6.0,211.0,0.0
2016-09-19,0.000146,0.000219,0.000146,0.000146,39.0,191.0,0.0
2016-09-20,0.000146,0.000158,0.000146,0.000152,11.0,199.0,0.0
2016-09-21,0.000151,0.000161,0.000149,0.000149,9.0,208.0,0.0
2016-09-22,0.000149,0.000239,0.000138,0.000155,46.0,206.0,0.0
2016-09-23,0.000155,0.000155,0.000143,0.000145,10.0,214.0,0.0
2016-09-24,0.000145,0.000157,0.000144,0.000151,7.0,199.0,0.0
2016-09-25,0.000151,0.000157,0.000132,0.000138,53.0,208.0,0.0
2016-09-26,0.000138,0.000243,0.000132,0.000164,58.0,190.0,0.0
2016-09-27,0.000164,0.000243,0.000133,0.000145,7.0,226.0,0.0
2016-09-28,0.000145,0.000152,0.000139,0.000139,5.0,200.0,0.0
2016-09-29,0.000139,0.000176,0.000139,0.000157,29.0,192.0,0.0
2016-09-30,0.000157,0.000182,0.000139,0.000146,6.0,217.0,0.0
2016-10-01,0.000146,0.000154,0.000146,0.000147,6.0,202.0,0.0
2016-10-02,0.000147,0.000147,0.00014,0.000141,4.0,203.0,0.0
2016-10-03,0.000141,0.000147,0.00014,0.000141,9.0,194.0,0.0
2016-10-04,0.000141,0.000226,0.000134,0.000146,73.0,194.0,0.0
2016-10-05,0.000146,0.000153,0.000146,0.000147,10.0,202.0,0.0
2016-10-06,0.000147,0.000147,0.000147,0.000147,5.0,203.0,0.0
2016-10-07,0.000147,0.000147,0.000111,0.000111,8.0,203.0,0.0
