Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-02-26,0.041156,0.04541,0.041156,0.044898,32488.0,-1.0,0.04
2017-02-27,0.04485,0.051206,0.043154,0.050697,39972.0,-1.0,0.05
2017-02-28,0.050813,0.051796,0.045378,0.046459,37596.0,-1.0,0.05
2017-03-01,0.046864,0.047278,0.038408,0.044504,35444.0,-1.0,0.04
2017-03-02,0.043698,0.049244,0.042208,0.048889,29970.0,-1.0,0.05
2017-03-03,0.048898,0.049977,0.039248,0.042393,77424.0,-1.0,0.04
2017-03-04,0.042494,0.045981,0.038232,0.044132,51361.0,271424.0,0.04
2017-03-05,0.043971,0.044971,0.036788,0.042564,28133.0,282684.0,0.04
2017-03-06,0.042551,0.044591,0.038894,0.041503,43134.0,274883.0,0.04
2017-03-07,0.041476,0.043706,0.036851,0.039392,56151.0,269634.0,0.04
2017-03-08,0.039935,0.040175,0.033405,0.036433,30925.0,261095.0,0.04
2017-03-09,0.036688,0.039902,0.035616,0.037,26653.0,241033.0,0.04
2017-03-10,0.036995,0.039104,0.033315,0.035605,37094.0,244345.0,0.04
2017-03-11,0.035639,0.037844,0.032183,0.034399,33118.0,236544.0,0.04
2017-03-12,0.034407,0.037036,0.031565,0.033967,31503.0,229487.0,0.03
2017-03-13,0.033995,0.035771,0.027843,0.033616,22741.0,228072.0,0.03
2017-03-14,0.033612,0.035594,0.022238,0.034287,37897.0,226484.0,0.03
2017-03-15,0.034282,0.055384,0.030762,0.046778,68740.0,232259.0,0.04
2017-03-16,0.045877,0.05532,0.0305,0.041165,96800.0,312424.0,0.04
2017-03-17,0.040839,0.041528,0.0281,0.039043,25415.0,279512.0,0.03
2017-03-18,0.038707,0.05466,0.022205,0.029674,119436.0,266063.0,0.04
2017-03-19,0.030034,0.037628,0.017067,0.018142,37116.0,207598.0,0.03
2017-03-20,0.019992,0.045131,0.019992,0.035629,13703.0,139273.0,0.03
