Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-10-12,0.034406,0.196561,0.031967,0.121427,807.0,-1.0,0.11
2015-10-13,0.121374,0.121374,0.033857,0.062377,209.0,-1.0,0.08
2015-10-14,0.062373,0.063255,0.033883,0.039073,64.0,-1.0,0.05
2015-10-15,0.039092,0.074034,0.039082,0.040709,32.0,-1.0,0.06
2015-10-16,0.040705,0.061744,0.040582,0.041008,58.0,-1.0,0.05
2015-10-17,0.040988,0.079042,0.040929,0.054128,80.0,-1.0,0.06
2015-10-18,0.067727,0.067911,0.047018,0.047096,39.0,-1.0,0.06
2015-10-19,0.047135,0.05826,0.041877,0.047419,31.0,-1.0,0.05
2015-10-20,0.047443,0.058419,0.04238,0.043119,5.0,6374.0,0.05
2015-10-21,0.043094,0.043329,0.030612,0.030624,65.0,5801.0,0.04
2015-10-22,0.03065,0.031801,0.030608,0.031346,42.0,4125.0,0.03
2015-10-23,0.022464,0.05281,0.019365,0.019919,9.0,3024.0,0.04
2015-10-24,0.019919,0.020172,0.019919,0.020132,0.0,2681.0,0.02
2015-10-25,0.020376,0.052954,0.020376,0.051085,0.0,2743.0,0.04
2015-10-26,0.051076,0.051188,0.050907,0.051178,0.0,6875.0,0.05
2015-10-27,0.020828,0.021348,0.020684,0.021173,0.0,2804.0,0.02
2015-10-28,0.021173,0.021673,0.021173,0.021646,0.0,2850.0,0.02
2015-10-29,0.022656,0.02293,0.022313,0.02262,1.0,3050.0,0.02
2015-10-30,0.022626,0.024084,0.022626,0.023647,0.0,3045.0,0.02
2015-10-31,0.023682,0.02398,0.022294,0.022618,0.0,3188.0,0.02
2015-11-01,0.02284,0.023614,0.022603,0.023467,2.0,3074.0,0.02
2015-11-02,0.023504,0.023703,0.023307,0.023703,2.0,3164.0,0.02
2015-11-04,0.030439,0.035755,0.019027,0.020578,28.0,4097.0,0.03
2015-11-05,0.020404,0.022892,0.018729,0.02125,1.0,2746.0,0.02
2015-11-06,0.021343,0.021771,0.019471,0.021456,1.0,2873.0,0.02
2015-11-07,0.007743,0.007791,0.007658,0.00773,0.0,1042.0,0.01
2015-11-08,0.007686,0.007798,0.007574,0.007643,0.0,1034.0,0.01
2015-11-09,0.005072,0.006887,0.005072,0.006845,12.0,683.0,0.01
2015-11-10,0.00684,0.006865,0.005953,0.005953,0.0,921.0,0.01
2015-11-13,0.01821,0.018605,0.017931,0.018518,0.0,2451.0,0.02
2015-11-14,0.018511,0.018511,0.00429,0.004328,0.0,2492.0,0.01
2015-11-15,0.00433,0.004827,0.003181,0.003205,4.0,583.0,0.0
2015-11-16,0.003201,0.003309,0.003162,0.003294,4.0,431.0,0.0
2015-11-18,0.003357,0.003386,0.003346,0.003366,0.0,452.0,0.0
2015-11-19,0.003367,0.003373,0.003281,0.003284,0.0,453.0,0.0
2015-11-20,0.003227,0.003258,0.003214,0.003241,0.0,434.0,0.0
2015-11-21,0.00324,0.003301,0.003215,0.0033,0.0,436.0,0.0
2016-02-06,0.014831,0.016246,0.014831,0.01619,2.0,2156.0,0.02
2016-02-07,0.01619,0.016266,0.011247,0.011297,0.0,2364.0,0.01
2016-02-08,0.011303,0.011396,0.0112,0.011203,1.0,1660.0,0.01
2016-02-09,0.011203,0.011233,0.011203,0.011228,1.0,1655.0,0.01
2016-02-10,0.017418,0.017725,0.017403,0.017548,4.0,2584.0,0.02
2016-02-11,0.01757,0.017616,0.015432,0.015566,1.0,2611.0,0.02
2016-02-12,0.015567,0.015652,0.01144,0.011528,3.0,2320.0,0.01
2016-02-13,0.011539,0.011736,0.011539,0.011713,3.0,1724.0,0.01
2016-02-14,0.012009,0.012176,0.006471,0.012176,10.0,1802.0,0.01
2016-02-15,0.012186,0.01227,0.006463,0.006503,1.0,1831.0,0.01
2016-02-16,0.006523,0.010224,0.006523,0.010187,1.0,983.0,0.01
2016-02-17,0.010191,0.018083,0.01017,0.016236,15.0,1540.0,0.01
2016-02-18,0.016246,0.016614,0.01621,0.016473,0.0,2462.0,0.02
2016-02-19,0.016487,0.016501,0.016287,0.016446,0.0,2506.0,0.02
2016-02-20,0.006862,0.017061,0.00686,0.016875,0.0,1046.0,0.01
2016-02-21,0.016898,0.017295,0.016562,0.016769,0.0,2583.0,0.02
2016-02-25,0.016259,0.016335,0.016259,0.016315,0.0,2517.0,0.02
2016-02-26,0.016318,0.016616,0.016203,0.016616,6.0,2528.0,0.02
2016-02-27,0.016643,0.016696,0.016461,0.01663,0.0,2585.0,0.02
2016-02-28,0.016632,0.016752,0.007046,0.016668,2.0,2591.0,0.01
2016-02-29,0.016666,0.016972,0.016615,0.016843,0.0,2603.0,0.02
2016-03-01,0.016834,0.0169,0.016628,0.016726,0.0,2636.0,0.02
2016-03-02,0.016726,0.016757,0.016298,0.016298,0.0,2626.0,0.02
2016-03-03,0.016295,0.016351,0.016122,0.016208,0.0,2566.0,0.02
2016-03-04,0.016215,0.018081,0.005754,0.005759,10.0,2560.0,0.01
2016-03-05,0.005753,0.017684,0.005685,0.006009,0.0,911.0,0.01
2016-03-06,0.006008,0.020595,0.00594,0.020385,20.0,954.0,0.01
2016-03-07,0.020385,0.020391,0.020315,0.020315,20.0,3244.0,0.02
2016-03-08,0.016633,0.016637,0.016444,0.016559,1.0,2656.0,0.02
2016-03-09,0.016556,0.020676,0.016467,0.016598,0.0,2649.0,0.02
2016-03-10,0.016594,0.020876,0.016556,0.018354,1.0,2662.0,0.02
2016-03-11,0.018358,0.018653,0.018349,0.018554,0.0,2953.0,0.02
2016-03-12,0.018551,0.025101,0.018192,0.024879,13.0,2992.0,0.02
2016-03-13,0.02488,0.02518,0.02488,0.025026,0.0,4023.0,0.03
2016-03-14,0.025034,0.025184,0.024906,0.024986,0.0,4059.0,0.03
2016-03-15,0.024983,0.041791,0.024969,0.02897,19.0,4061.0,0.03
2016-03-16,0.028974,0.029027,0.028906,0.028974,0.0,4721.0,0.03
2016-03-17,0.023086,0.023155,0.023027,0.023134,0.0,3774.0,0.02
2016-03-18,0.02313,0.02313,0.022337,0.02253,1.0,3789.0,0.02
2016-03-19,0.02251,0.022592,0.018445,0.022558,10.0,3697.0,0.02
2016-03-20,0.022551,0.022575,0.012793,0.012826,25.0,3713.0,0.02
2016-03-21,0.012816,0.020665,0.012725,0.020665,0.0,2115.0,0.02
2016-03-22,0.020657,0.02078,0.010468,0.010486,12.0,3418.0,0.02
2016-03-23,0.010488,0.022217,0.010481,0.021738,21.0,1740.0,0.02
2016-03-24,0.021758,0.021771,0.021605,0.021652,0.0,3618.0,0.02
2016-03-25,0.021658,0.02174,0.021609,0.02174,0.0,3608.0,0.02
2016-03-26,0.018821,0.018826,0.018732,0.018807,0.0,3145.0,0.02
2016-03-27,0.018816,0.01883,0.018797,0.01881,0.0,3151.0,0.02
