Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-03-14,0.000328,0.000478,0.000299,0.000337,698.0,3813.0,0.0
2016-03-15,0.000337,0.000433,0.000337,0.000408,159.0,3924.0,0.0
2016-03-16,0.000409,0.00133,0.000367,0.000646,651.0,4762.0,0.0
2016-03-17,0.000648,0.000854,0.000504,0.000513,92.0,7568.0,0.0
2016-03-18,0.000513,0.00061,0.00041,0.000598,125.0,6074.0,0.0
2016-03-19,0.000598,0.000616,0.000408,0.000616,124.0,7075.0,0.0
2016-03-20,0.000616,0.000627,0.000327,0.000327,272.0,7367.0,0.0
2016-03-21,0.000384,0.000615,0.000321,0.000413,235.0,4617.0,0.0
2016-03-22,0.000413,0.000537,0.000326,0.000347,120.0,4974.0,0.0
2016-03-23,0.000347,0.000586,0.000343,0.000564,201.0,4218.0,0.0
2016-03-24,0.000565,0.000565,0.000379,0.000395,176.0,6870.0,0.0
2016-03-25,0.000395,0.000461,0.000328,0.000386,55.0,4858.0,0.0
2016-03-26,0.000386,0.000464,0.000335,0.000461,87.0,4767.0,0.0
2016-03-27,0.000461,0.000463,0.000346,0.000353,18.0,5720.0,0.0
2016-03-28,0.000353,0.000857,0.000326,0.000611,710.0,4404.0,0.0
2016-03-29,0.000611,0.000685,0.00043,0.000594,290.0,7696.0,0.0
2016-03-30,0.000572,0.000627,0.000356,0.000378,238.0,7240.0,0.0
2016-03-31,0.000376,0.000486,0.000357,0.000357,95.0,4772.0,0.0
2016-04-01,0.000356,0.00052,0.000355,0.000469,205.0,4556.0,0.0
2016-04-02,0.00047,0.000584,0.000462,0.000518,332.0,6048.0,0.0
2016-04-03,0.000519,0.000548,0.000421,0.000539,187.0,6698.0,0.0
2016-04-04,0.000539,0.000579,0.000476,0.000522,53.0,6986.0,0.0
2016-04-05,0.000521,0.000777,0.0005,0.000579,444.0,6747.0,0.0
2016-04-06,0.00058,0.000847,0.00058,0.000844,169.0,7509.0,0.0
2016-04-07,0.000844,0.000844,0.000497,0.000497,184.0,10933.0,0.0
2016-04-08,0.000498,0.000669,0.000495,0.000632,299.0,6602.0,0.0
2016-04-09,0.000633,0.000735,0.000506,0.000734,112.0,8404.0,0.0
2016-04-10,0.000735,0.000762,0.000568,0.000625,148.0,9865.0,0.0
2016-04-11,0.000626,0.000817,0.000626,0.000805,8.0,8444.0,0.0
2016-04-12,0.000806,0.000821,0.000561,0.000567,17.0,10915.0,0.0
2016-04-13,0.000568,0.000785,0.000469,0.000552,43.0,7689.0,0.0
2016-04-14,0.000552,0.00101,0.000494,0.000588,70.0,7478.0,0.0
2016-04-15,0.000588,0.00094,0.000573,0.000898,119.0,8088.0,0.0
2016-04-16,0.000898,0.000898,0.000583,0.000678,116.0,12356.0,0.0
2016-04-17,0.000678,0.000762,0.000659,0.000682,44.0,9422.0,0.0
2016-04-18,0.000682,0.000695,0.000527,0.00055,179.0,9493.0,0.0
2016-04-19,0.000551,0.000655,0.000548,0.000598,31.0,7666.0,0.0
2016-04-20,0.000597,0.0006,0.000558,0.000569,3.0,8363.0,0.0
2016-04-21,0.000569,0.000573,0.00053,0.000552,71.0,7981.0,0.0
2016-04-22,0.000552,0.000555,0.000409,0.000463,275.0,7757.0,0.0
2016-04-23,0.000463,0.000465,0.000374,0.000375,200.0,6550.0,0.0
2016-04-24,0.000375,0.000593,0.000356,0.000398,32.0,5301.0,0.0
2016-04-25,0.000399,0.000526,0.000397,0.000472,15.0,5678.0,0.0
2016-04-26,0.000473,0.000519,0.000471,0.000502,26.0,6740.0,0.0
2016-04-27,0.000494,0.000511,0.000493,0.000494,50.0,7034.0,0.0
2016-04-28,0.000494,0.000498,0.000485,0.000495,18.0,7037.0,0.0
2016-04-29,0.000495,0.000565,0.000489,0.000565,7.0,7052.0,0.0
2016-04-30,0.000565,0.000581,0.000493,0.000574,22.0,8044.0,0.0
2016-05-01,0.000574,0.000576,0.000505,0.000505,3.0,8214.0,0.0
2016-05-02,0.000505,0.000538,0.000417,0.000515,87.0,7224.0,0.0
2016-05-03,0.000515,0.000515,0.000365,0.000404,85.0,7359.0,0.0
