Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-08-22,0.000106,0.000106,8.2e-05,0.0001,5.0,-1.0,0.0
2016-08-23,0.0001,0.0001,5.8e-05,7.6e-05,4.0,-1.0,0.0
2016-08-24,7.6e-05,7.6e-05,3.5e-05,3.5e-05,1.0,-1.0,0.0
2016-08-25,3.5e-05,4e-05,2.9e-05,2.9e-05,48.0,-1.0,0.0
2016-08-26,2.9e-05,0.000104,1.7e-05,0.000104,1.0,-1.0,0.0
2016-08-27,0.000104,0.0002,0.000104,0.000199,3.0,-1.0,0.0
2016-08-28,0.000199,0.000201,0.000199,0.000201,3.0,-1.0,0.0
2016-08-29,0.000201,0.000202,6.3e-05,8.6e-05,543.0,-1.0,0.0
2016-08-30,8.6e-05,0.000127,6.9e-05,0.00011,379.0,3883.0,0.0
2016-08-31,0.00011,0.00011,6.9e-05,9.4e-05,14.0,4954.0,0.0
2016-09-01,9.4e-05,0.000337,7.9e-05,0.00012,714.0,4240.0,0.0
2016-09-02,0.00012,0.000131,9.7e-05,0.000126,51.0,5453.0,0.0
2016-09-03,0.00012,0.00012,0.000101,0.000102,19.0,5475.0,0.0
2016-09-04,0.000102,0.00011,9.1e-05,9.2e-05,81.0,4674.0,0.0
2016-09-05,9.2e-05,0.000109,8.7e-05,9.2e-05,27.0,4200.0,0.0
2016-09-06,9.2e-05,9.2e-05,7.6e-05,8.7e-05,24.0,4234.0,0.0
2016-09-07,8.8e-05,9.5e-05,8e-05,9e-05,12.0,4023.0,0.0
2016-09-08,9e-05,9.9e-05,7.5e-05,7.5e-05,1.0,4154.0,0.0
2016-09-09,7.5e-05,0.000118,6.8e-05,0.0001,95.0,3472.0,0.0
2016-09-10,0.0001,0.000106,6.2e-05,0.000106,83.0,4615.0,0.0
2016-09-11,0.000106,0.000106,8.4e-05,8.5e-05,2.0,4919.0,0.0
2016-09-12,8.5e-05,8.5e-05,5.4e-05,5.5e-05,12.0,3955.0,0.0
2016-09-13,5.5e-05,5.5e-05,5.5e-05,5.5e-05,5.0,2556.0,0.0
2016-09-14,5.5e-05,0.000116,5.5e-05,9.8e-05,31.0,2563.0,0.0
2016-09-15,9.8e-05,0.000134,6.1e-05,6.1e-05,12.0,4580.0,0.0
2016-09-16,6.1e-05,9.1e-05,5.5e-05,6.1e-05,16.0,2855.0,0.0
2016-09-17,6.1e-05,9.7e-05,5.4e-05,6.1e-05,15.0,2861.0,0.0
2016-09-18,6.1e-05,8.5e-05,5.5e-05,5.5e-05,24.0,2863.0,0.0
2016-09-19,5.5e-05,7.9e-05,3.7e-05,7.9e-05,14.0,2599.0,0.0
2016-09-20,7.9e-05,7.9e-05,4.3e-05,5.5e-05,256.0,3760.0,0.0
2016-09-21,5.4e-05,5.4e-05,4.8e-05,4.8e-05,1.0,2584.0,0.0
2016-09-22,4.8e-05,4.8e-05,3.6e-05,3.6e-05,11.0,2278.0,0.0
2016-09-23,3.6e-05,5.4e-05,3.6e-05,5.4e-05,9.0,1710.0,0.0
2016-09-24,5.4e-05,9e-05,3.6e-05,3.6e-05,88.0,2600.0,0.0
2016-09-25,3.6e-05,6.6e-05,3.6e-05,4.2e-05,0.0,1735.0,0.0
