Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-10-09,0.01291,0.012917,0.011279,0.011842,1257.0,-1.0,0.01
2016-10-10,0.011843,0.012368,0.003087,0.003962,256.0,-1.0,0.01
2016-10-11,0.003963,0.004115,0.002132,0.003327,200.0,-1.0,0.0
2016-10-12,0.003326,0.0034,0.002186,0.002208,182.0,-1.0,0.0
2016-10-13,0.002207,0.00281,0.001908,0.002229,33.0,-1.0,0.0
2016-10-14,0.00223,0.002795,0.001665,0.001793,88.0,-1.0,0.0
2016-10-15,0.001793,0.003437,0.000442,0.001316,103.0,-1.0,0.0
2016-10-16,0.001317,0.003439,0.000475,0.001906,195.0,-1.0,0.0
2016-10-17,0.001906,0.001908,0.000953,0.00179,31.0,-1.0,0.0
2016-10-18,0.00179,0.002035,0.00064,0.000976,150.0,-1.0,0.0
2016-10-19,0.000976,0.0015,0.000976,0.001444,19.0,-1.0,0.0
2016-10-20,0.001104,0.001477,0.000915,0.001394,129.0,-1.0,0.0
2016-10-21,0.001394,0.001394,0.000639,0.000728,252.0,-1.0,0.0
2016-10-22,0.000728,0.001197,0.000642,0.001039,165.0,-1.0,0.0
2016-10-23,0.001039,0.001232,0.000537,0.000552,275.0,-1.0,0.0
2016-10-24,0.000552,0.000766,0.000549,0.000745,36.0,-1.0,0.0
2016-10-25,0.000746,0.00085,0.000525,0.000829,120.0,-1.0,0.0
2016-10-26,0.000829,0.00085,0.000666,0.000848,68.0,-1.0,0.0
2016-10-27,0.000848,0.001234,0.000755,0.001231,111.0,-1.0,0.0
2016-10-28,0.001232,0.001968,0.001166,0.001379,165.0,-1.0,0.0
2016-10-29,0.001381,0.001808,0.00138,0.001794,38.0,-1.0,0.0
2016-10-30,0.001792,0.001792,0.000603,0.001397,373.0,-1.0,0.0
2016-10-31,0.001398,0.001501,0.001227,0.001479,376.0,-1.0,0.0
2016-11-01,0.00148,0.001531,0.00063,0.000876,204.0,-1.0,0.0
2016-11-02,0.000876,0.001256,0.000869,0.001042,74.0,-1.0,0.0
2016-11-03,0.001047,0.001052,0.000698,0.000957,62.0,-1.0,0.0
