Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-02-10,3.5e-05,3.5e-05,1.8e-05,2e-05,7925.0,270516.0,0.0
2014-02-11,2.1e-05,2.8e-05,1.3e-05,2.7e-05,7000.0,167344.0,0.0
2014-02-12,2e-05,4e-05,1.9e-05,3.3e-05,20180.0,164621.0,0.0
2014-02-13,3.9e-05,3.9e-05,2.4e-05,3e-05,15631.0,318812.0,0.0
2014-02-14,3e-05,4.1e-05,2.3e-05,4e-05,16589.0,269327.0,0.0
2014-02-15,3.3e-05,3.9e-05,2.5e-05,3.3e-05,16569.0,296087.0,0.0
2014-02-16,3.3e-05,3.9e-05,2.6e-05,3.1e-05,19706.0,291786.0,0.0
2014-02-17,3.1e-05,3.9e-05,3e-05,3.1e-05,5174.0,275178.0,0.0
2014-02-18,3.1e-05,9.5e-05,3.1e-05,5.6e-05,90884.0,337593.0,0.0
2014-02-19,5.6e-05,8.1e-05,5.6e-05,6.2e-05,48348.0,619553.0,0.0
2014-02-20,5.6e-05,6.8e-05,5e-05,5e-05,19522.0,629312.0,0.0
2014-02-21,5e-05,6.4e-05,4.8e-05,5.7e-05,21633.0,572114.0,0.0
2014-02-22,5.7e-05,6.4e-05,4.1e-05,4.8e-05,14160.0,668809.0,0.0
2014-02-23,4.9e-05,5.5e-05,4.3e-05,4.8e-05,5323.0,574830.0,0.0
2014-02-24,4.8e-05,5.5e-05,3.8e-05,3.9e-05,10914.0,582902.0,0.0
2014-02-25,3.7e-05,3.7e-05,2.9e-05,3.4e-05,124.0,446126.0,0.0
2014-02-27,4.6e-05,5.5e-05,4e-05,5e-05,6763.0,578348.0,0.0
2014-02-28,5e-05,5.6e-05,4.4e-05,4.4e-05,4856.0,627996.0,0.0
2014-03-01,4.4e-05,9e-05,3.9e-05,4.5e-05,9782.0,560393.0,0.0
2014-03-02,4.5e-05,0.000326,2.2e-05,4.5e-05,9972.0,584608.0,0.0
2014-03-03,4.5e-05,9.8e-05,2.3e-05,5.7e-05,17687.0,586366.0,0.0
2014-03-04,5.7e-05,6.2e-05,3.1e-05,4.5e-05,6370.0,752045.0,0.0
2014-03-05,4.5e-05,0.000313,1.4e-05,7e-05,15906.0,599874.0,0.0
2014-03-06,6.8e-05,8.9e-05,5.7e-05,6.2e-05,6111.0,963370.0,0.0
2014-03-07,6.2e-05,0.000125,2.5e-05,5.2e-05,19817.0,836670.0,0.0
2014-03-08,5.7e-05,5.8e-05,1.8e-05,4.7e-05,5111.0,777247.0,0.0
2014-03-09,4.7e-05,0.000282,3.8e-05,3.8e-05,4449.0,655289.0,0.0
2014-03-10,4.5e-05,0.000338,3.8e-05,4.9e-05,6333.0,623927.0,0.0
2014-03-11,4.9e-05,5.6e-05,2.3e-05,4.1e-05,10829.0,697674.0,0.0
2014-03-12,4.9e-05,5.3e-05,2.2e-05,4.5e-05,9646.0,697630.0,0.0
2014-03-13,4.5e-05,5.2e-05,4.1e-05,4.3e-05,7430.0,655795.0,0.0
2014-03-14,4.3e-05,0.000258,2.6e-05,5.4e-05,23782.0,631836.0,0.0
2014-03-15,5.4e-05,5.6e-05,3.2e-05,4.4e-05,15764.0,793935.0,0.0
2014-03-16,4.4e-05,4.5e-05,3.2e-05,3.8e-05,9843.0,647824.0,0.0
2014-03-17,3.8e-05,4.6e-05,3.7e-05,3.8e-05,7628.0,568663.0,0.0
2014-03-18,3.7e-05,4.2e-05,2.5e-05,3.1e-05,11608.0,567830.0,0.0
