Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-01,10.63,11.39,9.92,11.39,3808740.0,-1.0,10.66
2017-10-02,11.38,21.84,11.37,17.59,7613810.0,-1.0,16.61
2017-10-03,17.59,17.59,11.26,12.98,4768680.0,-1.0,14.43
2017-10-04,13.24,14.3,11.35,11.98,2625880.0,-1.0,12.82
2017-10-05,11.99,13.34,11.38,12.25,3027170.0,-1.0,12.36
2017-10-06,12.25,12.57,12.0,12.23,1764880.0,-1.0,12.29
2017-10-07,12.37,12.86,11.06,12.34,2104340.0,-1.0,11.96
2017-10-08,12.13,13.74,12.13,13.3,1173250.0,-1.0,12.94
2017-10-09,13.58,19.43,13.26,17.78,4178660.0,-1.0,16.34
2017-10-10,17.85,21.06,17.82,20.38,3001610.0,-1.0,19.44
2017-10-11,20.37,37.78,20.26,35.42,10787600.0,-1.0,29.02
2017-10-12,35.46,45.56,30.97,35.26,13529200.0,-1.0,38.27
2017-10-13,34.72,38.57,27.74,31.87,6337260.0,-1.0,33.16
2017-10-14,31.88,35.5,29.63,31.85,4383500.0,-1.0,32.56
2017-10-15,31.88,33.37,27.98,29.73,2538920.0,-1.0,30.67
2017-10-16,29.07,33.0,23.3,31.96,4883850.0,-1.0,28.15
2017-10-17,31.89,35.58,30.77,32.5,4037640.0,-1.0,33.17
2017-10-18,32.52,33.47,30.53,32.96,4020460.0,-1.0,32.0
2017-10-19,32.87,35.54,32.62,34.63,3216390.0,-1.0,34.08
2017-10-20,34.85,41.52,34.68,40.86,5785390.0,-1.0,38.1
2017-10-21,40.57,42.51,38.61,41.18,3844550.0,-1.0,40.56
2017-10-22,40.92,41.57,36.14,39.37,3395900.0,-1.0,38.86
2017-10-23,38.8,40.68,36.75,39.22,4503320.0,-1.0,38.72
2017-10-24,39.36,42.61,37.27,39.6,4385880.0,-1.0,39.94
2017-10-25,39.6,49.41,38.62,49.21,3717240.0,-1.0,44.02
2017-10-26,49.92,58.56,47.15,56.28,7444750.0,-1.0,52.86
2017-10-27,56.29,82.04,55.62,80.12,7662020.0,-1.0,68.83
2017-10-28,78.56,97.85,66.63,79.6,10785300.0,-1.0,82.24
2017-10-29,79.33,85.15,66.39,69.21,7127850.0,-1.0,75.77
2017-10-30,69.12,80.7,68.04,76.82,4171490.0,-1.0,74.37
2017-10-31,76.3,77.14,64.5,72.59,4857870.0,-1.0,70.82
2017-11-01,72.5,73.96,53.21,68.77,4392950.0,-1.0,63.58
2017-11-02,70.16,70.16,51.44,62.76,3794650.0,-1.0,60.8
2017-11-03,62.01,82.85,59.08,67.93,4078970.0,-1.0,70.97
2017-11-04,68.96,75.45,65.77,73.8,2625770.0,-1.0,70.61
2017-11-05,73.64,76.31,71.54,72.28,2683100.0,-1.0,73.93
2017-11-06,72.49,74.97,66.45,67.73,3291280.0,-1.0,70.71
2017-11-07,67.73,72.26,65.54,69.21,2756140.0,-1.0,68.9
2017-11-08,69.56,72.57,61.33,63.79,3950170.0,-1.0,66.95
2017-11-09,64.8,69.45,59.45,62.41,4031080.0,-1.0,64.45
2017-11-10,62.84,65.88,54.2,56.44,2808130.0,-1.0,60.04
2017-11-11,56.07,58.4,34.81,44.35,3090560.0,-1.0,46.61
