Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-06-30,0.007393,0.008611,0.006816,0.00808,42224.0,741131.0,0.01
2016-07-01,0.008003,0.008653,0.007165,0.007845,25717.0,802569.0,0.01
2016-07-02,0.00785,0.011547,0.007411,0.009866,25496.0,787583.0,0.01
2016-07-03,0.009884,0.010031,0.008515,0.0093,30078.0,992030.0,0.01
2016-07-04,0.009302,0.011546,0.008867,0.011444,27543.0,934082.0,0.01
2016-07-05,0.010672,0.011481,0.010064,0.01012,15297.0,1072050.0,0.01
2016-07-06,0.010117,0.010258,0.00901,0.009097,10145.0,1016720.0,0.01
2016-07-07,0.009107,0.009971,0.008333,0.009083,8600.0,915624.0,0.01
2016-07-08,0.009034,0.009379,0.00852,0.009331,6544.0,908670.0,0.01
2016-07-09,0.00893,0.009456,0.007986,0.008339,3166.0,898578.0,0.01
2016-07-10,0.008477,0.009244,0.008286,0.008559,4917.0,853435.0,0.01
2016-07-11,0.00893,0.010048,0.008868,0.009259,11925.0,899356.0,0.01
2016-07-12,0.009268,0.009992,0.009057,0.009303,9286.0,933823.0,0.01
2016-07-13,0.009306,0.010001,0.008666,0.008868,18119.0,938105.0,0.01
2016-07-14,0.009115,0.010067,0.008579,0.00941,13111.0,919191.0,0.01
2016-07-15,0.009426,0.009968,0.008956,0.009948,7428.0,950971.0,0.01
2016-07-16,0.009956,0.010251,0.009136,0.009165,8920.0,1004890.0,0.01
2016-07-17,0.009182,0.01018,0.009182,0.009351,9988.0,927114.0,0.01
2016-07-18,0.009356,0.010165,0.0092,0.009472,8060.0,945117.0,0.01
2016-07-19,0.009467,0.009989,0.00672,0.009448,16798.0,956713.0,0.01
2016-07-20,0.009447,0.010621,0.008306,0.009716,18326.0,955160.0,0.01
2016-07-21,0.009709,0.010596,0.009062,0.009829,9375.0,981988.0,0.01
2016-07-22,0.009827,0.009945,0.008217,0.009297,19350.0,994147.0,0.01
2016-07-23,0.009299,0.009415,0.008205,0.008587,15825.0,940961.0,0.01
2016-07-24,0.008585,0.008594,0.005913,0.007189,12264.0,868946.0,0.01
2016-07-25,0.007188,0.008362,0.007168,0.00753,9692.0,727807.0,0.01
2016-07-26,0.007531,0.00817,0.006538,0.006735,23030.0,762767.0,0.01
2016-07-27,0.006733,0.007268,0.006307,0.006307,20231.0,682095.0,0.01
2016-07-28,0.006309,0.006615,0.006255,0.006406,8776.0,639299.0,0.01
2016-07-29,0.006407,0.006584,0.006031,0.006038,7324.0,649414.0,0.01
2016-07-30,0.006038,0.006297,0.005783,0.005791,7084.0,612228.0,0.01
2016-07-31,0.005791,0.005876,0.005085,0.005137,7219.0,587366.0,0.01
2016-08-01,0.005136,0.008141,0.005125,0.006097,26683.0,521092.0,0.01
2016-08-02,0.006098,0.007229,0.00477,0.004928,11432.0,618826.0,0.01
2016-08-03,0.004939,0.006101,0.004854,0.005255,4816.0,501382.0,0.01
2016-08-04,0.005255,0.006089,0.005102,0.00558,5200.0,533569.0,0.01
2016-08-05,0.00558,0.005741,0.005192,0.00529,2895.0,566755.0,0.01
2016-08-06,0.00529,0.008927,0.005264,0.006681,37893.0,537481.0,0.01
2016-08-07,0.006681,0.007963,0.006222,0.006869,12843.0,678998.0,0.01
2016-08-08,0.00687,0.007659,0.006694,0.006937,10887.0,698330.0,0.01
2016-08-09,0.006899,0.007463,0.006767,0.006817,6091.0,701491.0,0.01
2016-08-10,0.006816,0.007557,0.006754,0.006865,4090.0,693239.0,0.01
2016-08-11,0.006865,0.008254,0.006861,0.007303,10729.0,698464.0,0.01
2016-08-12,0.007299,0.008039,0.007022,0.007109,8234.0,742839.0,0.01
2016-08-13,0.007107,0.00743,0.006965,0.007144,3823.0,723490.0,0.01
2016-08-14,0.007144,0.007204,0.00615,0.006554,9572.0,727494.0,0.01
2016-08-15,0.006555,0.007381,0.006222,0.006727,4148.0,667650.0,0.01
2016-08-16,0.006728,0.007391,0.006617,0.006906,5729.0,685454.0,0.01
2016-08-17,0.00691,0.007179,0.006777,0.006865,6044.0,704254.0,0.01
2016-08-18,0.006871,0.007207,0.006337,0.006392,7797.0,700442.0,0.01
2016-08-19,0.006392,0.007265,0.00638,0.006735,7913.0,651810.0,0.01
2016-08-20,0.00674,0.007527,0.006717,0.007527,6045.0,687531.0,0.01
2016-08-21,0.00753,0.007728,0.006827,0.006831,8718.0,768335.0,0.01
2016-08-22,0.006831,0.007186,0.006797,0.006865,2709.0,697243.0,0.01
2016-08-23,0.006866,0.007345,0.006794,0.006942,7297.0,700932.0,0.01
2016-08-24,0.006942,0.007262,0.006881,0.006886,4229.0,708946.0,0.01
2016-08-25,0.006887,0.007348,0.00683,0.007338,3517.0,703489.0,0.01
2016-08-26,0.007338,0.007346,0.006888,0.007235,1661.0,749749.0,0.01
2016-08-27,0.007236,0.007236,0.006849,0.006982,6158.0,739567.0,0.01
2016-08-28,0.006895,0.007054,0.006305,0.007007,2794.0,704924.0,0.01
2016-08-29,0.007009,0.00706,0.006263,0.006878,3059.0,716802.0,0.01
2016-08-30,0.006878,0.007021,0.006593,0.006929,754.0,703573.0,0.01
2016-08-31,0.006931,0.00699,0.006321,0.006896,3552.0,709181.0,0.01
2016-09-01,0.006896,0.006912,0.006336,0.006616,2472.0,705813.0,0.01
2016-09-02,0.006616,0.006617,0.006312,0.006412,2112.0,677381.0,0.01
2016-09-03,0.006411,0.006957,0.006327,0.006535,5644.0,656616.0,0.01
2016-09-04,0.006538,0.00706,0.006538,0.006812,1691.0,669750.0,0.01
2016-09-05,0.006816,0.007065,0.006735,0.006745,1465.0,698491.0,0.01
2016-09-06,0.006745,0.007283,0.006428,0.006513,6570.0,691351.0,0.01
2016-09-07,0.006513,0.007064,0.006512,0.007064,2584.0,667780.0,0.01
2016-09-08,0.007064,0.007219,0.006591,0.006866,6584.0,724465.0,0.01
2016-09-09,0.006865,0.007209,0.006796,0.007101,3439.0,704284.0,0.01
2016-09-10,0.007101,0.007166,0.006228,0.006297,11051.0,728627.0,0.01
2016-09-11,0.006297,0.006944,0.006288,0.006449,4594.0,646403.0,0.01
2016-09-12,0.006252,0.006678,0.006198,0.006545,4170.0,641933.0,0.01
2016-09-13,0.006089,0.006447,0.006083,0.006099,1642.0,625309.0,0.01
2016-09-14,0.006095,0.006492,0.006091,0.006266,1801.0,626100.0,0.01
2016-09-15,0.006266,0.006331,0.005284,0.005302,4946.0,643860.0,0.01
2016-09-16,0.006267,0.006415,0.005782,0.00641,3430.0,644156.0,0.01
2016-09-17,0.00641,0.006419,0.005756,0.005801,1933.0,659032.0,0.01
2016-09-18,0.005799,0.006076,0.005491,0.006075,1565.0,596444.0,0.01
2016-09-19,0.006074,0.006275,0.005307,0.005635,937.0,624908.0,0.01
2016-09-20,0.005635,0.006106,0.005423,0.005914,572.0,579913.0,0.01
2016-09-21,0.005907,0.006188,0.005098,0.005758,4341.0,607992.0,0.01
2016-09-22,0.006063,0.006233,0.005832,0.006174,743.0,624238.0,0.01
2016-09-23,0.006175,0.006191,0.005764,0.006068,385.0,635962.0,0.01
2016-09-24,0.006068,0.006346,0.006068,0.006335,3000.0,625150.0,0.01
2016-09-25,0.006335,0.006337,0.006062,0.006071,681.0,652861.0,0.01
2016-09-26,0.00607,0.006376,0.005545,0.006151,3369.0,625739.0,0.01
2016-09-27,0.00615,0.006191,0.005146,0.00588,2630.0,634080.0,0.01
2016-09-28,0.005881,0.006126,0.005592,0.005728,382.0,606512.0,0.01
2016-09-29,0.005727,0.006128,0.005653,0.006117,3258.0,590840.0,0.01
2016-09-30,0.006118,0.007263,0.006096,0.006475,6722.0,631327.0,0.01
2016-10-01,0.006476,0.006672,0.006101,0.006552,916.0,668460.0,0.01
2016-10-02,0.006552,0.006552,0.005942,0.006134,757.0,676528.0,0.01
2016-10-03,0.006134,0.006209,0.005963,0.00606,1485.0,633583.0,0.01
2016-10-04,0.006061,0.007297,0.005965,0.006668,2610.0,626138.0,0.01
2016-10-05,0.006669,0.006683,0.005989,0.005989,1484.0,689162.0,0.01
2016-10-06,0.005989,0.006321,0.005979,0.006112,1083.0,619117.0,0.01
2016-10-07,0.006112,0.00629,0.0061,0.006167,406.0,631979.0,0.01
2016-10-08,0.006169,0.006311,0.005263,0.005919,1856.0,638024.0,0.01
2016-10-09,0.005919,0.006487,0.005264,0.005877,2245.0,612396.0,0.01
2016-10-10,0.005879,0.006338,0.005258,0.005817,6879.0,608383.0,0.01
2016-10-11,0.005819,0.006188,0.005646,0.005665,2335.0,602325.0,0.01
2016-10-12,0.005661,0.006009,0.005172,0.005942,2741.0,586151.0,0.01
2016-10-13,0.005941,0.005993,0.005271,0.005756,538.0,615297.0,0.01
2016-10-14,0.005757,0.005898,0.004195,0.005167,5411.0,596411.0,0.01
2016-10-15,0.005168,0.005342,0.004613,0.004616,1448.0,535570.0,0.0
