Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-10-29,0.000537,0.0013,0.000537,0.000991,80024.0,-1.0,0.0
2017-10-30,0.000985,0.001107,0.00061,0.000676,39445.0,-1.0,0.0
2017-10-31,0.000674,0.000738,0.000382,0.000516,11818.0,-1.0,0.0
2017-11-01,0.000516,0.000516,0.000199,0.000202,4452.0,-1.0,0.0
2017-11-02,0.000202,0.000905,0.000202,0.000492,11295.0,-1.0,0.0
2017-11-03,0.000492,0.000895,0.000417,0.000575,8921.0,-1.0,0.0
2017-11-04,0.000573,0.000651,0.000428,0.000591,6278.0,-1.0,0.0
2017-11-05,0.00059,0.000907,0.000511,0.000738,6386.0,-1.0,0.0
2017-11-06,0.000739,0.000809,0.000569,0.000697,2224.0,-1.0,0.0
2017-11-07,0.000696,0.000784,0.00056,0.000642,2960.0,-1.0,0.0
2017-11-08,0.00064,0.000678,0.000432,0.000523,5499.0,-1.0,0.0
2017-11-09,0.000523,0.000647,0.000356,0.000498,6029.0,67953.0,0.0
2017-11-10,0.000499,0.000649,0.000433,0.000487,3605.0,64867.0,0.0
2017-11-11,0.000486,0.000583,0.000422,0.000446,1180.0,63131.0,0.0
2017-11-12,0.000445,0.000622,0.000388,0.000528,2558.0,57885.0,0.0
2017-11-13,0.000528,0.000656,0.000442,0.000456,2315.0,68689.0,0.0
2017-11-14,0.000457,0.00059,0.00045,0.000462,984.0,59422.0,0.0
2017-11-15,0.000463,0.000584,0.000389,0.000392,2073.0,60166.0,0.0
2017-11-16,0.000394,0.000628,0.000361,0.000544,3399.0,51183.0,0.0
2017-11-17,0.000543,0.000556,0.000457,0.000463,513.0,70601.0,0.0
2017-11-18,0.000461,0.000702,0.000382,0.000468,1428.0,59956.0,0.0
2017-11-19,0.000467,0.000696,0.000399,0.000561,1805.0,60716.0,0.0
2017-11-20,0.000561,0.000663,0.000401,0.000659,689.0,72915.0,0.0
2017-11-21,0.000659,0.00066,0.000312,0.000405,1564.0,85692.0,0.0
2017-11-22,0.000487,0.00057,0.000405,0.000411,1229.0,63280.0,0.0
2017-11-23,0.000411,0.000413,0.000241,0.000241,1960.0,53460.0,0.0
2017-11-24,0.000241,0.000497,0.000237,0.000494,1638.0,31345.0,0.0
2017-11-25,0.000493,0.000612,0.000408,0.000612,846.0,64038.0,0.0
2017-11-26,0.000612,0.000618,0.000351,0.000373,2239.0,79590.0,0.0
2017-11-27,0.000373,0.00039,0.000282,0.000292,630.0,48436.0,0.0
2017-11-28,0.000293,0.000399,0.00029,0.000298,1190.0,38046.0,0.0
2017-11-29,0.000298,0.000435,0.000194,0.00029,1101.0,38682.0,0.0
2017-11-30,0.000295,0.000321,0.00018,0.000201,112.0,38324.0,0.0
2017-12-01,0.0003,0.000329,0.000209,0.000217,190.0,38969.0,0.0
2017-12-02,0.000217,0.000333,0.000214,0.000328,13.0,28216.0,0.0
2017-12-03,0.000328,0.000336,0.000212,0.000224,76.0,42634.0,0.0
2017-12-04,0.000225,0.000343,0.000218,0.000328,119.0,29225.0,0.0
2017-12-05,0.000329,0.00033,0.000226,0.000234,63.0,42780.0,0.0
2017-12-06,0.000234,0.000383,0.000127,0.000138,4032.0,30405.0,0.0
2017-12-07,0.000137,0.000302,0.000136,0.000166,246.0,17857.0,0.0
2017-12-08,0.000166,0.000169,0.000137,0.000162,282.0,21644.0,0.0
2017-12-09,0.000162,0.000298,0.000141,0.00015,330.0,21084.0,0.0
2017-12-10,0.00015,0.000315,0.000132,0.000154,26.0,19537.0,0.0
2017-12-11,0.000152,0.00035,0.000152,0.000336,65.0,19821.0,0.0
2017-12-12,0.000337,0.000354,0.000164,0.000345,1142.0,43775.0,0.0
2017-12-13,0.000346,0.00035,0.000159,0.000164,1784.0,44918.0,0.0
2017-12-14,0.000164,0.000341,0.000162,0.000165,34.0,21288.0,0.0
2017-12-15,0.000166,0.000181,0.000166,0.000176,119.0,21526.0,0.0
2017-12-16,0.000176,0.000392,0.000174,0.000389,625.0,22941.0,0.0
2017-12-17,0.000389,0.000391,0.000189,0.000191,1861.0,50627.0,0.0
2017-12-18,0.000191,0.000386,0.000183,0.000191,545.0,24872.0,0.0
2017-12-19,0.000191,0.000384,0.000171,0.000176,105.0,24853.0,0.0
2017-12-20,0.000176,0.000178,0.000158,0.000164,491.0,22904.0,0.0
2017-12-21,0.000165,0.000341,0.000152,0.000157,43.0,21427.0,0.0
2017-12-22,0.000157,0.000297,0.000128,0.000273,63.0,20427.0,0.0
2017-12-23,0.000276,0.000621,0.000272,0.000578,225228.0,35853.0,0.0
2017-12-24,0.000584,0.000584,0.000253,0.000418,8582.0,75954.0,0.0
2017-12-25,0.000423,0.000431,0.000138,0.000273,1242.0,54937.0,0.0
2017-12-26,0.000273,0.000321,0.000138,0.000316,322.0,35498.0,0.0
2017-12-27,0.000316,0.000327,0.000148,0.000311,183.0,41131.0,0.0
2017-12-28,0.00031,0.000427,0.000136,0.000286,1796.0,40342.0,0.0
2017-12-29,0.000289,0.00045,0.000283,0.000436,382.0,37616.0,0.0
2017-12-30,0.000435,0.000435,0.000243,0.000257,279.0,56533.0,0.0
2017-12-31,0.000254,0.000466,0.000133,0.000462,1254.0,33058.0,0.0
2018-01-01,0.000464,0.000477,0.000169,0.000329,1837.0,60338.0,0.0
2018-01-02,0.000329,0.000449,0.000232,0.000447,1086.0,42725.0,0.0
2018-01-03,0.000445,0.000617,0.000301,0.000303,3235.0,57860.0,0.0
2018-01-04,0.000304,0.000618,0.000291,0.000304,613.0,39542.0,0.0
2018-01-05,0.000304,0.000503,0.000299,0.000339,694.0,39471.0,0.0
2018-01-06,0.00034,0.00086,0.000329,0.000516,2702.0,44158.0,0.0
2018-01-07,0.000516,0.001152,0.000505,0.000978,9762.0,67090.0,0.0
2018-01-08,0.000977,0.001503,0.000765,0.001208,5690.0,127023.0,0.0
2018-01-09,0.001205,0.001968,0.001053,0.001896,19001.0,156623.0,0.0
2018-01-10,0.001899,0.0021,0.001643,0.0021,10755.0,246815.0,0.0
2018-01-11,0.002097,0.002105,0.001184,0.001207,3606.0,272664.0,0.0
2018-01-12,0.001215,0.001566,0.000828,0.001393,4677.0,157894.0,0.0
2018-01-13,0.001391,0.001733,0.001147,0.001148,2122.0,180879.0,0.0
2018-01-14,0.001149,0.001741,0.001061,0.001379,1712.0,149354.0,0.0
2018-01-15,0.001369,0.001403,0.000955,0.000955,2050.0,177959.0,0.0
