Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-10-20,0.000321,0.00071,0.000319,0.000482,262.0,-1.0,0.0
2014-10-21,0.000482,0.000483,0.000232,0.000295,131.0,-1.0,0.0
2014-10-22,0.000294,0.000357,0.000212,0.000212,67.0,-1.0,0.0
2014-10-23,0.000211,0.000235,0.000158,0.00023,8.0,-1.0,0.0
2014-10-24,0.00023,0.000233,0.000197,0.000215,18.0,-1.0,0.0
2014-10-25,0.000215,0.000216,0.000206,0.000209,27.0,-1.0,0.0
2014-10-26,0.000209,0.000209,0.000154,0.000154,50.0,-1.0,0.0
2014-10-27,0.000154,0.000376,9.3e-05,0.000328,23.0,-1.0,0.0
2014-10-28,0.000328,0.000335,0.000178,0.000179,33.0,-1.0,0.0
2014-10-29,0.000179,0.000248,0.000175,0.000232,2.0,-1.0,0.0
2014-10-30,0.000232,0.00024,0.000221,0.000222,1.0,-1.0,0.0
2014-10-31,0.000222,0.000223,6.4e-05,0.000206,8.0,-1.0,0.0
2014-11-01,0.000207,0.000235,0.000161,0.000182,7.0,-1.0,0.0
2014-11-02,0.000183,0.000184,0.000156,0.000156,0.0,-1.0,0.0
2014-11-03,0.000156,0.000166,0.000114,0.000115,11.0,-1.0,0.0
2014-11-04,0.000115,0.000191,0.000115,0.000169,2.0,-1.0,0.0
2014-11-05,0.000169,0.000172,7.2e-05,8.1e-05,10.0,-1.0,0.0
2014-11-06,8.1e-05,9.2e-05,5e-05,5.2e-05,8.0,-1.0,0.0
2014-11-07,5.2e-05,0.000158,5.1e-05,0.000158,14.0,-1.0,0.0
2014-11-08,0.000157,0.000166,4.8e-05,0.000166,591.0,-1.0,0.0
2014-11-09,0.000166,0.000169,4e-05,4e-05,10.0,-1.0,0.0
2014-11-10,4e-05,0.000101,4e-05,9.9e-05,8.0,-1.0,0.0
2014-11-11,9.9e-05,0.0001,7.3e-05,9.9e-05,3.0,-1.0,0.0
2014-11-12,9.9e-05,0.000189,8.6e-05,9.4e-05,60.0,-1.0,0.0
2014-11-13,9.5e-05,0.000101,7.5e-05,0.000101,1.0,-1.0,0.0
2014-11-14,0.0001,0.000101,5.5e-05,8.7e-05,3.0,-1.0,0.0
2014-11-15,8.8e-05,9.1e-05,6.3e-05,8.7e-05,9.0,-1.0,0.0
2014-11-16,8.6e-05,0.00013,8.6e-05,8.9e-05,4.0,-1.0,0.0
2014-11-17,8.9e-05,0.000197,8.9e-05,0.000167,10.0,-1.0,0.0
2014-11-18,0.000167,0.000169,0.00013,0.000131,2.0,-1.0,0.0
2014-11-19,0.000131,0.000364,0.000131,0.000354,30.0,-1.0,0.0
2014-11-20,0.000353,0.000355,0.000171,0.000265,28.0,-1.0,0.0
2014-11-21,0.000265,0.000339,0.000245,0.000333,618.0,-1.0,0.0
2014-11-22,0.000334,0.000343,0.000333,0.000341,15.0,-1.0,0.0
2014-11-24,0.000313,0.000313,0.00029,0.000298,6.0,-1.0,0.0
2014-11-25,0.000298,0.000312,0.000181,0.000188,3.0,-1.0,0.0
2014-11-26,0.000188,0.000191,0.000183,0.000188,5.0,-1.0,0.0
2014-11-27,0.000189,0.000191,0.000188,0.000189,1.0,-1.0,0.0
2014-11-29,0.000199,0.000205,0.00019,0.000191,4.0,-1.0,0.0
2014-11-30,0.000192,0.000195,0.00019,0.000193,4.0,-1.0,0.0
2014-12-02,0.00021,0.000211,0.000209,0.00021,1.0,-1.0,0.0
2014-12-03,0.00021,0.000211,3.7e-05,0.00012,27.0,-1.0,0.0
2014-12-04,0.00012,0.000121,0.000118,0.000119,0.0,-1.0,0.0
2014-12-08,0.000176,0.000177,0.000159,0.000159,3.0,-1.0,0.0
2014-12-09,0.000159,0.00016,0.000152,0.000156,1.0,-1.0,0.0
2014-12-10,0.000193,0.000209,0.000191,0.000191,11.0,-1.0,0.0
2014-12-11,0.000189,0.000199,0.000186,0.000193,1.0,-1.0,0.0
2014-12-12,0.000193,0.000212,0.000192,0.000212,0.0,-1.0,0.0
2014-12-13,0.000211,0.000258,0.000208,0.000257,5.0,-1.0,0.0
2014-12-14,0.000257,0.000286,0.000256,0.000285,14.0,-1.0,0.0
2014-12-15,0.000285,0.000323,0.0001,0.000321,24.0,-1.0,0.0
2014-12-16,0.000321,0.000322,0.000308,0.00031,0.0,-1.0,0.0
2014-12-18,0.000285,0.000286,0.000282,0.000283,3.0,-1.0,0.0
2014-12-19,0.000283,0.00029,0.000187,0.000254,462.0,-1.0,0.0
2014-12-20,0.000254,0.000307,0.000253,0.000307,65.0,-1.0,0.0
2014-12-21,0.000306,0.000307,0.000285,0.000286,0.0,-1.0,0.0
2014-12-22,0.000286,0.000326,0.000285,0.000325,27.0,-1.0,0.0
2014-12-23,0.000325,0.000403,0.000323,0.000358,17.0,-1.0,0.0
2014-12-24,0.000358,0.000358,0.000345,0.000346,0.0,-1.0,0.0
2014-12-25,0.000322,0.000367,0.00032,0.000367,0.0,-1.0,0.0
2014-12-26,0.000367,0.000486,0.000364,0.000482,83.0,-1.0,0.0
2014-12-27,0.000482,0.000483,0.00046,0.000474,12.0,-1.0,0.0
2014-12-28,0.000474,0.00048,0.000467,0.000475,4.0,-1.0,0.0
2014-12-30,0.000391,0.000393,0.000387,0.000388,0.0,-1.0,0.0
2014-12-31,0.000389,0.000391,0.000322,0.000327,1.0,-1.0,0.0
2015-01-01,0.000327,0.000327,0.000321,0.000322,0.0,-1.0,0.0
2015-01-02,0.000299,0.000441,0.000299,0.0004,473.0,-1.0,0.0
2015-01-03,0.0004,0.000443,0.00036,0.00036,5.0,-1.0,0.0
2015-01-04,0.00036,0.000441,0.000327,0.000417,5.0,-1.0,0.0
2015-01-05,0.000419,0.000437,0.000309,0.000387,4.0,-1.0,0.0
2015-01-06,0.000387,0.000389,0.00036,0.000378,0.0,-1.0,0.0
2015-01-07,0.000378,0.000463,0.000372,0.000373,19.0,-1.0,0.0
2015-01-08,0.000373,0.000374,0.000285,0.000286,0.0,-1.0,0.0
2015-01-09,0.000285,0.000286,0.000272,0.000279,9.0,-1.0,0.0
2015-01-10,0.000279,0.000279,0.000159,0.000159,4.0,-1.0,0.0
2015-01-11,0.000159,0.000162,0.00014,0.000141,2.0,-1.0,0.0
2015-01-12,0.000141,0.000237,0.000141,0.000233,2.0,-1.0,0.0
2015-01-13,0.000233,0.000233,0.000134,0.000138,12.0,-1.0,0.0
2015-01-14,0.000137,0.000137,0.000105,0.000125,3.0,-1.0,0.0
2015-01-15,0.000124,0.000213,0.000124,0.000201,0.0,-1.0,0.0
2015-01-16,0.000201,0.000603,0.0002,0.000431,395.0,-1.0,0.0
2015-01-17,0.00043,0.000432,0.000318,0.000323,12.0,-1.0,0.0
2015-01-18,0.000324,0.000437,0.000323,0.000358,1.0,-1.0,0.0
2015-01-19,0.00036,0.000368,0.000208,0.000215,0.0,-1.0,0.0
2015-01-20,0.000213,0.000435,0.000208,0.00029,3.0,-1.0,0.0
2015-01-21,0.00029,0.000291,0.000227,0.00025,1.0,-1.0,0.0
2015-01-22,0.00025,0.000426,0.000249,0.00028,4.0,-1.0,0.0
2015-01-23,0.00028,0.00028,0.000252,0.000261,1.0,-1.0,0.0
2015-01-24,0.000261,0.000454,0.000253,0.000273,4.0,-1.0,0.0
2015-01-25,0.000272,0.000272,0.000256,0.000259,2.0,-1.0,0.0
2015-01-26,0.000259,0.000316,0.000259,0.000277,2.0,-1.0,0.0
2015-01-27,0.000264,0.000274,0.000256,0.000269,2.0,-1.0,0.0
2015-01-28,0.000269,0.000272,0.000241,0.000241,1.0,-1.0,0.0
2015-01-29,0.000245,0.000245,0.000233,0.000236,1.0,-1.0,0.0
2015-01-30,0.000235,0.000405,0.000187,0.000188,3.0,-1.0,0.0
2015-01-31,0.000188,0.000255,0.000149,0.00015,2.0,-1.0,0.0
2015-02-01,0.00015,0.000155,0.000131,0.000141,2.0,-1.0,0.0
2015-02-02,0.00014,0.000228,0.000128,0.000205,8.0,-1.0,0.0
2015-02-03,0.000204,0.000243,0.000179,0.00022,4.0,-1.0,0.0
2015-02-04,0.000221,0.000222,0.000206,0.000211,0.0,-1.0,0.0
2015-02-05,0.000211,0.000212,0.000119,0.000119,0.0,-1.0,0.0
2015-02-06,0.000119,0.000252,0.000119,0.000193,320.0,-1.0,0.0
2015-02-07,0.000194,0.000223,0.000194,0.000221,20.0,-1.0,0.0
2015-02-08,0.000221,0.000221,0.000221,0.000221,20.0,-1.0,0.0
2015-02-09,0.000156,0.000157,0.000152,0.000154,0.0,-1.0,0.0
2015-02-10,0.000154,0.000155,0.000154,0.000154,0.0,-1.0,0.0
2015-02-12,0.000203,0.000368,0.000203,0.00023,3.0,-1.0,0.0
2015-02-13,0.000231,0.000232,0.00023,0.000232,0.0,-1.0,0.0
2015-02-14,0.000308,0.000426,0.000308,0.000381,2.0,-1.0,0.0
2015-02-15,0.000381,0.000393,0.000211,0.000265,0.0,-1.0,0.0
2015-02-16,0.000265,0.000392,0.000164,0.000166,3.0,-1.0,0.0
2015-02-17,0.000166,0.00041,0.00016,0.000195,1.0,-1.0,0.0
2015-02-18,0.000195,0.000195,0.000186,0.000186,0.0,-1.0,0.0
2015-02-19,0.000165,0.000166,0.00016,0.000163,7.0,-1.0,0.0
2015-02-20,0.000163,0.00024,0.000135,0.000234,349.0,-1.0,0.0
2015-02-21,0.000234,0.000236,0.000192,0.000193,10.0,-1.0,0.0
2015-02-22,0.000193,0.000195,0.000193,0.000194,10.0,-1.0,0.0
2015-02-23,0.000142,0.000144,0.00014,0.000143,1.0,-1.0,0.0
2015-02-24,0.000143,0.000144,0.000142,0.000143,1.0,-1.0,0.0
2015-02-28,0.000154,0.000155,0.000153,0.000155,3.0,-1.0,0.0
2015-03-01,0.000155,0.000155,0.000154,0.000154,3.0,-1.0,0.0
2015-03-02,0.000159,0.000169,0.000158,0.000168,1.0,-1.0,0.0
2015-03-03,0.000168,0.00017,0.000164,0.000165,1.0,-1.0,0.0
2015-03-04,0.000167,0.000171,0.000161,0.000164,2.0,-1.0,0.0
2015-03-05,0.000164,0.000271,0.000164,0.000254,2.0,-1.0,0.0
2015-03-06,0.000254,0.000274,0.000224,0.000226,450.0,-1.0,0.0
2015-03-07,0.000226,0.000227,0.000224,0.000226,5.0,-1.0,0.0
2015-03-13,0.000248,0.000248,0.000244,0.000244,3.0,-1.0,0.0
2015-03-14,0.000243,0.000243,0.000239,0.000241,3.0,-1.0,0.0
2015-03-16,0.000189,0.000189,0.000188,0.000189,1.0,-1.0,0.0
2015-03-17,0.000189,0.000228,0.000184,0.0002,413.0,-1.0,0.0
2015-03-18,0.0002,0.0002,0.000171,0.000175,10.0,1401.0,0.0
2015-03-19,0.000174,0.000174,0.000169,0.000172,10.0,1222.0,0.0
2015-03-21,0.000182,0.000184,0.000181,0.000182,2.0,1275.0,0.0
2015-03-22,0.000182,0.000184,0.000182,0.000183,2.0,1276.0,0.0
2015-03-27,0.000204,0.000204,0.000203,0.000203,2.0,1427.0,0.0
2015-03-28,0.000203,0.000208,0.000189,0.00019,0.0,1420.0,0.0
2015-03-29,0.00019,0.00019,0.000176,0.000177,0.0,1329.0,0.0
2015-03-30,0.000177,0.000177,0.000132,0.000173,9.0,1243.0,0.0
2015-03-31,0.000173,0.000174,0.00017,0.000171,0.0,1215.0,0.0
2015-04-01,0.000171,0.000173,0.000171,0.000173,0.0,1197.0,0.0
2015-04-02,0.000173,0.000178,0.000172,0.000178,0.0,1214.0,0.0
2015-04-04,0.000142,0.000142,0.000141,0.000142,0.0,998.0,0.0
2015-04-05,0.000142,0.00037,0.000141,0.000198,1.0,996.0,0.0
2015-04-06,0.000198,0.000199,0.000193,0.000195,0.0,1390.0,0.0
2015-04-07,0.000394,0.000464,0.000319,0.000319,25.0,2765.0,0.0
2015-04-08,0.000319,0.00032,0.000308,0.00031,0.0,2237.0,0.0
2015-04-09,0.000561,0.000569,0.00056,0.000565,23.0,3937.0,0.0
2015-04-10,0.000565,0.000565,0.000554,0.000556,23.0,3965.0,0.0
2015-04-11,0.000542,0.001013,0.000188,0.000331,89.0,3802.0,0.0
2015-04-12,0.000331,0.000386,0.000305,0.000307,0.0,2322.0,0.0
2015-04-15,0.000239,0.000242,0.000237,0.000242,0.0,1677.0,0.0
2015-04-16,0.000242,0.000245,0.000178,0.000181,0.0,1696.0,0.0
2015-04-17,0.000181,0.000358,0.000177,0.000183,12.0,1266.0,0.0
2015-04-18,0.000183,0.00056,0.000183,0.000449,421.0,1282.0,0.0
2015-04-19,0.000449,0.000453,0.000423,0.000423,69.0,3149.0,0.0
2015-04-20,0.000423,0.00043,0.000362,0.000364,4.0,2966.0,0.0
2015-04-21,0.000364,0.000543,0.000198,0.000206,38.0,2552.0,0.0
2015-04-22,0.000207,0.000393,0.000206,0.000386,0.0,1452.0,0.0
2015-04-23,0.000386,0.000387,0.000385,0.000386,0.0,2710.0,0.0
2015-04-24,0.00038,0.00038,0.000377,0.000379,0.0,2663.0,0.0
2015-04-25,0.000379,0.000813,0.000374,0.000804,32.0,2661.0,0.0
2015-04-26,0.000804,0.000808,0.000387,0.000663,40.0,5638.0,0.0
2015-04-27,0.000663,0.000668,0.000352,0.000364,1.0,4649.0,0.0
2015-04-28,0.000365,0.000447,0.000187,0.000339,141.0,2557.0,0.0
2015-04-29,0.000339,0.000341,0.000279,0.000287,190.0,2377.0,0.0
2015-04-30,0.000287,0.000297,0.000286,0.000296,7.0,2012.0,0.0
2015-05-01,0.000197,0.000198,0.000195,0.000195,13.0,1385.0,0.0
2015-05-02,0.000195,0.000198,0.000195,0.000196,5.0,1368.0,0.0
2015-05-03,0.000194,0.000197,0.000194,0.000195,9.0,1359.0,0.0
2015-05-04,0.000195,0.000264,0.000194,0.000261,1.0,1366.0,0.0
2015-05-05,0.000261,0.000261,0.00026,0.00026,1.0,1828.0,0.0
2015-05-06,0.000167,0.000168,0.000163,0.000163,0.0,1173.0,0.0
2015-05-07,0.000163,0.00033,0.000163,0.000221,10.0,1145.0,0.0
2015-05-08,0.000221,0.000222,0.00022,0.000221,0.0,1549.0,0.0
2015-05-10,0.000203,0.000203,0.000197,0.000197,1.0,1422.0,0.0
2015-05-11,0.000197,0.0002,0.000189,0.000189,1.0,1382.0,0.0
2015-05-12,0.000189,0.00049,0.000187,0.000217,403.0,1325.0,0.0
2015-05-13,0.000217,0.000219,0.000217,0.000219,29.0,1523.0,0.0
2015-05-19,0.000291,0.000292,0.00029,0.00029,9.0,2041.0,0.0
2015-05-20,0.00029,0.000292,0.000257,0.000257,6.0,2035.0,0.0
2015-05-21,0.000257,0.000259,0.000257,0.000258,5.0,1807.0,0.0
2015-05-22,0.000243,0.000243,0.000243,0.000243,2.0,1706.0,0.0
2015-05-23,0.000243,0.000243,0.000242,0.000242,2.0,1704.0,0.0
2015-05-27,0.000231,0.000231,0.00023,0.00023,4.0,1622.0,0.0
2015-05-28,0.00023,0.000231,0.000206,0.000207,0.0,1615.0,0.0
2015-05-29,0.000207,0.000207,0.000205,0.000206,0.0,1450.0,0.0
2015-06-03,0.000154,0.000155,0.000152,0.000154,2.0,1080.0,0.0
2015-06-04,0.000154,0.000154,0.000153,0.000153,2.0,1078.0,0.0
2015-06-09,0.000157,0.000159,0.000157,0.000158,14.0,1105.0,0.0
2015-06-10,0.000158,0.000158,0.000158,0.000158,10.0,1109.0,0.0
2015-06-15,0.000174,0.000189,0.000166,0.000166,355.0,1218.0,0.0
2015-06-16,0.000166,0.000176,0.000165,0.000173,7.0,1164.0,0.0
2015-06-17,0.000175,0.00018,0.000163,0.000164,10.0,1229.0,0.0
2015-06-18,0.000165,0.000166,0.000161,0.000162,8.0,1155.0,0.0
2015-06-19,0.000162,0.000201,0.000162,0.000196,250.0,1136.0,0.0
2015-06-20,0.000196,0.000196,0.000171,0.000174,9.0,1373.0,0.0
2015-06-21,0.000174,0.000174,0.000173,0.000173,6.0,1222.0,0.0
2015-06-24,0.000198,0.000198,0.000197,0.000197,1.0,1389.0,0.0
2015-06-25,0.000197,0.000202,0.000197,0.000201,4.0,1384.0,0.0
2015-06-26,0.000202,0.000202,0.0002,0.000201,4.0,1414.0,0.0
2015-06-29,0.000225,0.000256,0.000224,0.000242,407.0,1580.0,0.0
2015-06-30,0.000242,0.000252,0.000241,0.000247,4.0,1696.0,0.0
2015-07-01,0.000247,0.000286,0.000217,0.00022,12.0,1736.0,0.0
2015-07-02,0.00022,0.000222,0.000216,0.000217,1.0,1543.0,0.0
2015-07-03,0.000314,0.000318,0.000314,0.000318,1.0,2206.0,0.0
2015-07-04,0.000318,0.000319,0.000315,0.000317,1.0,2231.0,0.0
2015-07-05,0.000222,0.000233,0.000222,0.000231,0.0,1558.0,0.0
2015-07-06,0.000231,0.000233,0.000227,0.000233,0.0,1622.0,0.0
2015-07-10,0.000264,0.000265,0.000232,0.000234,428.0,1853.0,0.0
2015-07-11,0.000234,0.000257,0.000232,0.000234,25.0,1640.0,0.0
2015-07-12,0.000234,0.000246,0.000224,0.000227,42.0,1646.0,0.0
2015-07-13,0.000227,0.000227,0.000171,0.000178,15.0,1593.0,0.0
2015-07-14,0.000178,0.00018,0.000175,0.000176,8.0,1250.0,0.0
2015-07-15,0.000157,0.000158,0.000154,0.000154,3.0,1103.0,0.0
2015-07-16,0.000154,0.000157,0.000154,0.000157,3.0,1084.0,0.0
2015-11-18,0.000592,0.000592,0.000585,0.000585,208.0,4167.0,0.0
2015-11-19,0.000586,0.007014,0.000584,0.000908,33.0,4124.0,0.0
2015-11-20,0.000908,0.002584,0.000724,0.000725,12.0,6396.0,0.0
2015-11-21,0.000725,0.000725,0.000533,0.000535,7.0,5104.0,0.0
2015-11-22,0.000536,0.000875,0.000509,0.000866,53.0,3773.0,0.0
2015-11-23,0.000867,0.000925,0.000726,0.000925,3.0,6104.0,0.0
2015-11-24,0.000925,0.002896,0.000721,0.000723,1.0,6514.0,0.0
2015-11-25,0.000723,0.002962,0.000716,0.002955,0.0,5095.0,0.0
2015-11-26,0.002955,0.003004,0.000681,0.00071,38.0,20814.0,0.0
2015-11-27,0.000705,0.000981,0.000696,0.000975,12.0,4969.0,0.0
2015-11-28,0.000974,0.000978,0.00053,0.000535,183.0,6861.0,0.0
2015-11-29,0.000536,0.001038,0.000533,0.001036,188.0,3777.0,0.0
2015-11-30,0.001036,0.001067,0.001033,0.001053,0.0,7298.0,0.0
2015-12-01,0.000754,0.000975,0.000536,0.000556,80.0,5313.0,0.0
2015-12-02,0.000557,0.000838,0.000537,0.000832,335.0,3922.0,0.0
2015-12-03,0.000833,0.000859,0.000566,0.000574,310.0,5870.0,0.0
2015-12-04,0.000574,0.000582,0.000541,0.000581,373.0,4045.0,0.0
2015-12-05,0.000581,0.000764,0.000581,0.000762,17.0,4094.0,0.0
