Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-10-12,8.8e-05,8.8e-05,8.8e-05,8.8e-05,0.0,-1.0,0.0
2015-10-13,1.3e-05,0.000122,1.3e-05,0.000122,3.0,35.0,0.0
2015-10-14,0.000122,0.000203,0.0001,0.000202,13.0,321.0,0.0
2015-10-15,0.000202,0.000203,0.000116,0.00012,3.0,535.0,0.0
2015-10-16,0.00012,0.000205,0.000119,0.000205,6.0,320.0,0.0
2015-10-17,0.000205,0.000216,0.000205,0.000214,0.0,553.0,0.0
2015-10-18,0.000214,0.000215,0.000203,0.000204,0.0,583.0,0.0
2015-10-19,0.000204,0.000207,0.000204,0.000205,2.0,561.0,0.0
2015-10-20,0.000206,0.000209,0.000205,0.000209,2.0,564.0,0.0
2015-10-21,0.00021,0.000211,0.000177,0.000189,37.0,583.0,0.0
2015-10-22,0.000189,0.000211,0.000187,0.000192,16.0,528.0,0.0
2015-10-23,0.000192,0.000195,0.000191,0.000194,2.0,539.0,0.0
2015-10-24,0.000217,0.00022,0.000217,0.00022,0.0,619.0,0.0
2015-10-25,0.00022,0.000227,0.00022,0.000225,0.0,629.0,0.0
2015-10-26,0.000173,0.000174,0.000171,0.000174,1.0,499.0,0.0
2015-10-27,0.000174,0.000176,0.000137,0.000138,1.0,507.0,0.0
2015-10-28,0.000138,0.000144,0.000138,0.000143,0.0,406.0,0.0
2015-10-29,0.000143,0.000161,0.000142,0.00016,0.0,421.0,0.0
2015-10-30,0.00016,0.000174,0.00016,0.000174,0.0,478.0,0.0
2015-10-31,0.000174,0.000176,1.4e-05,1.4e-05,0.0,523.0,0.0
2015-11-01,1.4e-05,1.4e-05,1.4e-05,1.4e-05,0.0,42.0,0.0
2015-11-02,1.4e-05,1.5e-05,1.4e-05,1.5e-05,0.0,43.0,0.0
2015-11-03,1.5e-05,1.6e-05,1.4e-05,1.6e-05,0.0,45.0,0.0
2015-11-04,1.6e-05,0.000261,1.6e-05,0.000261,0.0,48.0,0.0
2015-11-05,0.000261,0.000354,0.000173,0.000328,19.0,800.0,0.0
2015-11-06,0.00033,0.00033,0.000226,0.000232,0.0,1011.0,0.0
2015-11-07,0.000232,0.001168,0.000231,0.000386,55.0,711.0,0.0
2015-11-08,0.000384,0.000421,0.000379,0.00041,1.0,1178.0,0.0
2015-11-09,0.000412,0.000412,0.000272,0.000282,0.0,1262.0,0.0
2015-11-10,0.000282,0.000565,0.000145,0.000536,1.0,863.0,0.0
2015-11-11,0.00054,0.000542,0.00025,0.000373,1.0,1656.0,0.0
2015-11-12,0.000377,0.000469,0.000211,0.000271,2.0,1155.0,0.0
2015-11-13,0.000271,0.000273,0.000141,0.000142,0.0,830.0,0.0
2015-11-14,0.000252,0.000254,0.000231,0.000233,2.0,774.0,0.0
2015-11-15,0.000233,0.000453,0.000194,0.000304,3.0,715.0,0.0
2015-11-16,0.000304,0.000304,0.000229,0.000231,1.0,931.0,0.0
2015-11-17,0.000231,0.000557,0.00023,0.000553,4.0,707.0,0.0
2015-11-18,0.000552,0.000552,0.000233,0.000234,1.0,1692.0,0.0
2015-11-19,0.000234,0.000235,0.000142,0.000143,0.0,718.0,0.0
2015-11-20,0.000143,0.000145,0.00014,0.000144,0.0,439.0,0.0
2015-11-21,0.000142,0.000521,0.000141,0.000245,8.0,435.0,0.0
2015-11-22,0.000245,0.000245,0.000241,0.000243,0.0,752.0,0.0
2015-11-23,0.000243,0.000243,0.000242,0.000242,0.0,746.0,0.0
2015-11-24,0.000141,0.000144,0.00014,0.000141,0.0,432.0,0.0
2015-11-25,0.000141,0.000142,0.000139,0.000139,0.0,432.0,0.0
2015-11-27,0.000253,0.000262,0.000243,0.000243,9.0,776.0,0.0
2015-11-28,0.000243,0.000467,0.000239,0.000465,7.0,744.0,0.0
2015-11-29,0.000465,0.00048,0.000434,0.000479,1.0,1424.0,0.0
2015-11-30,0.000479,0.000487,0.000248,0.000426,7.0,1469.0,0.0
2015-12-01,0.000426,0.000427,0.000201,0.000203,14.0,1307.0,0.0
2015-12-02,0.000203,0.000235,0.000196,0.000219,1.0,621.0,0.0
2015-12-03,0.000219,0.000349,0.000101,0.000101,18.0,672.0,0.0
2015-12-04,0.000101,0.000113,0.0001,0.000113,0.0,310.0,0.0
2015-12-05,0.000113,0.000273,0.000113,0.000272,1.0,346.0,0.0
2015-12-06,0.000273,0.000282,0.00014,0.000159,0.0,836.0,0.0
2015-12-07,0.00016,0.000164,0.000146,0.000147,0.0,490.0,0.0
2015-12-08,0.000147,0.000337,0.000142,0.000179,9.0,449.0,0.0
2015-12-09,0.000178,0.000332,0.000169,0.000234,22.0,546.0,0.0
2015-12-10,0.000234,0.000287,0.000166,0.000166,3.0,717.0,0.0
2015-12-11,0.000166,0.000176,0.000163,0.000176,6.0,509.0,0.0
2015-12-12,0.000176,0.000254,0.00016,0.000209,2.0,541.0,0.0
2015-12-13,0.000209,0.000352,0.000169,0.000169,5.0,640.0,0.0
2015-12-14,0.000169,0.00034,0.000168,0.000338,3.0,518.0,0.0
2015-12-15,0.000337,0.000348,0.000141,0.000144,9.0,1034.0,0.0
2015-12-16,0.000144,0.000144,0.00013,0.000132,12.0,442.0,0.0
2015-12-17,0.000132,0.000172,0.00013,0.000132,0.0,404.0,0.0
2015-12-18,0.000132,0.000135,0.000132,0.000134,0.0,405.0,0.0
2015-12-19,0.000173,0.000173,7.9e-05,8.3e-05,7.0,530.0,0.0
2015-12-20,8.3e-05,0.000162,8.2e-05,0.000158,0.0,255.0,0.0
2015-12-21,0.000157,0.000159,0.000157,0.000157,0.0,482.0,0.0
2015-12-22,0.000156,0.000161,8.7e-05,9.2e-05,0.0,479.0,0.0
2015-12-23,9.2e-05,0.000143,8.7e-05,0.000142,1.0,282.0,0.0
2015-12-24,0.000143,0.000147,0.000143,0.000145,1.0,437.0,0.0
2015-12-27,0.000171,0.000339,0.000121,0.000123,30.0,525.0,0.0
2015-12-28,0.000123,0.000324,0.000123,0.000249,0.0,376.0,0.0
2015-12-29,0.000249,0.000255,0.000152,0.000155,0.0,763.0,0.0
2015-12-30,0.000156,0.000166,0.000133,0.000133,2.0,477.0,0.0
2015-12-31,0.000132,0.000139,0.00013,0.000138,0.0,406.0,0.0
2016-01-01,0.000138,0.000185,0.000137,0.000139,0.0,423.0,0.0
2016-01-02,0.000139,0.000157,0.000138,0.000155,0.0,426.0,0.0
2016-01-03,0.000153,0.000226,0.000107,0.000146,2.0,469.0,0.0
2016-01-04,0.000146,0.000146,0.000129,0.00013,0.0,448.0,0.0
2016-01-05,0.00013,0.00013,0.000104,0.000104,0.0,398.0,0.0
2016-01-06,0.000104,0.000104,0.000102,0.000103,0.0,318.0,0.0
2016-01-07,0.000153,0.000155,0.0001,0.000101,0.0,468.0,0.0
2016-01-08,0.000101,0.000102,9.9e-05,9.9e-05,0.0,309.0,0.0
2016-01-09,0.000203,0.000203,0.000174,0.00018,0.0,622.0,0.0
2016-01-10,0.00018,0.00018,0.000141,0.000143,0.0,551.0,0.0
2016-01-11,0.000144,0.000144,0.000133,0.000135,1.0,440.0,0.0
2016-01-12,0.000134,0.000134,0.000133,0.000134,0.0,412.0,0.0
2016-01-13,0.000154,0.000154,0.000151,0.000151,0.0,472.0,0.0
2016-01-14,0.00015,0.000199,9.1e-05,0.000198,3.0,461.0,0.0
2016-01-15,0.000198,0.000198,7.4e-05,9.3e-05,0.0,606.0,0.0
2016-01-16,9.3e-05,0.000126,6.9e-05,0.000122,0.0,286.0,0.0
2016-01-17,0.000123,0.000124,0.000119,0.00012,0.0,376.0,0.0
2016-01-20,7.3e-05,8.1e-05,7.3e-05,8e-05,0.0,224.0,0.0
2016-01-21,8e-05,8e-05,7.9e-05,7.9e-05,0.0,244.0,0.0
2016-01-24,8.6e-05,9.7e-05,8.5e-05,9.7e-05,0.0,263.0,0.0
2016-01-25,9.7e-05,0.000108,9.5e-05,0.000102,0.0,297.0,0.0
2016-01-26,0.000178,0.000179,3.3e-05,3.6e-05,0.0,546.0,0.0
2016-01-27,3.6e-05,6.4e-05,3.5e-05,6.3e-05,0.0,110.0,0.0
2016-01-28,6.3e-05,0.000114,5.8e-05,0.000113,0.0,192.0,0.0
2016-01-29,0.000113,0.000151,7.1e-05,7.2e-05,3.0,347.0,0.0
2016-01-30,7.2e-05,0.000152,7e-05,0.000151,0.0,221.0,0.0
2016-01-31,0.000151,0.000152,0.000146,0.000147,0.0,464.0,0.0
2016-02-01,0.000147,0.000149,2.7e-05,2.7e-05,0.0,451.0,0.0
2016-02-02,2.7e-05,2.7e-05,2.6e-05,2.6e-05,0.0,82.0,0.0
2016-02-03,2.6e-05,0.00015,2.6e-05,0.000145,0.0,80.0,0.0
2016-02-04,0.000145,0.000146,6.8e-05,7e-05,0.0,443.0,0.0
2016-02-05,7e-05,7e-05,3.2e-05,3.4e-05,0.0,215.0,0.0
2016-02-06,3.4e-05,3.6e-05,3.4e-05,3.5e-05,0.0,104.0,0.0
2016-02-07,3.4e-05,0.000143,3.2e-05,0.000143,0.0,104.0,0.0
2016-02-08,0.000143,0.000151,6.4e-05,0.000149,0.0,437.0,0.0
2016-02-09,0.000149,0.000151,6.4e-05,0.00015,0.0,458.0,0.0
2016-02-10,0.00015,0.000154,0.00015,0.000153,0.0,461.0,0.0
2016-02-11,0.000153,0.000153,0.000151,0.000151,0.0,468.0,0.0
2016-02-13,5.7e-05,0.000117,5.6e-05,7.7e-05,1.0,173.0,0.0
2016-02-14,7.7e-05,7.8e-05,1.2e-05,1.2e-05,10.0,237.0,0.0
2016-02-15,1.2e-05,4.8e-05,1.2e-05,4.8e-05,0.0,38.0,0.0
2016-02-16,4.8e-05,5.3e-05,4.8e-05,5e-05,0.0,148.0,0.0
2016-02-17,5e-05,5.3e-05,5e-05,5e-05,0.0,153.0,0.0
2016-02-18,5e-05,5.1e-05,5e-05,5.1e-05,0.0,153.0,0.0
2016-02-19,5.1e-05,5.1e-05,4.2e-05,5.1e-05,1.0,155.0,0.0
2016-02-20,5.1e-05,0.000132,5.1e-05,0.000132,0.0,157.0,0.0
2016-02-21,3.1e-05,3.1e-05,3e-05,3.1e-05,0.0,94.0,0.0
2016-02-22,3.1e-05,4.8e-05,3e-05,4.8e-05,0.0,94.0,0.0
2016-02-23,4.8e-05,4.8e-05,3.1e-05,3.1e-05,0.0,148.0,0.0
2016-02-24,3e-05,3.1e-05,3e-05,3.1e-05,0.0,93.0,0.0
2016-02-25,3e-05,0.000119,3e-05,0.000119,0.0,93.0,0.0
2016-02-26,0.000119,0.000119,2.8e-05,2.9e-05,0.0,363.0,0.0
2016-02-27,2.9e-05,5.2e-05,2.8e-05,5.2e-05,4.0,87.0,0.0
