Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-03-09,0.031879,0.033321,0.027714,0.030437,193980.0,-1,0.03
2015-03-10,0.030437,0.030597,0.028996,0.029804,184685.0,-1,0.03
2015-03-11,0.029799,0.039732,0.029191,0.039732,271474.0,-1,0.03
2015-03-12,0.039727,0.039727,0.034441,0.038764,261044.0,-1,0.04
2015-03-13,0.038771,0.039332,0.03829,0.038707,273084.0,-1,0.04
2015-03-19,0.038552,0.03879,0.038314,0.038543,217.0,-1,0.04
2015-03-20,0.038543,0.038543,0.036964,0.036966,217.0,-1,0.04
2015-03-21,0.036956,0.037615,0.036488,0.036662,192.0,-1,0.04
2015-03-22,0.036662,0.037147,0.033917,0.035211,238.0,-1,0.04
2015-03-23,0.035211,0.035405,0.033273,0.033726,174.0,-1,0.03
2015-03-24,0.033725,0.043919,0.033579,0.039114,211.0,-1,0.04
2015-03-25,0.039108,0.041354,0.039108,0.039397,221.0,-1,0.04
2015-03-26,0.039392,0.040199,0.038245,0.038642,211.0,-1,0.04
2015-03-27,0.038642,0.039385,0.03714,0.038294,218.0,-1,0.04
2015-03-28,0.038174,0.038175,0.038174,0.038175,1301.0,-1,0.04
2015-03-29,0.038175,0.038175,0.036319,0.036804,11.0,-1,0.04
2015-03-30,0.036804,0.038375,0.036142,0.038281,217.0,-1,0.04
2015-03-31,0.038277,0.038439,0.037195,0.038049,198.0,-1,0.04
2015-04-01,0.038052,0.038488,0.037049,0.037393,220.0,-1,0.04
2015-04-02,0.0374,0.03774,0.037061,0.03745,223.0,-1,0.04
2015-04-03,0.037446,0.045471,0.03743,0.045471,270.0,-1,0.04
2015-04-04,0.045458,0.045469,0.045458,0.045469,1321.0,-1,0.05
2015-04-05,0.045464,0.045475,0.045464,0.045475,1303.0,-1,0.05
2015-04-06,0.045474,0.045504,0.045474,0.045504,1046.0,-1,0.05
2015-04-07,0.045399,0.047199,0.039724,0.045958,268.0,-1,0.04
2015-04-08,0.045961,0.047256,0.045476,0.046344,236.0,-1,0.05
2015-04-09,0.046338,0.049313,0.046338,0.049223,253.0,-1,0.05
2015-04-10,0.049214,0.04944,0.048906,0.049034,224.0,-1,0.05
2015-04-11,0.049037,0.049037,0.046843,0.048619,313.0,-1,0.05
2015-04-12,0.04863,0.049276,0.04766,0.04888,280.0,-1,0.05
2015-04-13,0.048896,0.04923,0.04888,0.049147,328.0,-1,0.05
2015-04-14,0.049144,0.04947,0.048982,0.049371,290.0,-1,0.05
2015-04-15,0.049383,0.049511,0.049093,0.049431,315.0,-1,0.05
2015-04-16,0.049424,0.04994,0.049424,0.049852,309.0,-1,0.05
2015-04-17,0.049841,0.053437,0.049712,0.053336,371.0,-1,0.05
2015-04-18,0.053316,0.055032,0.052119,0.053255,310.0,-1,0.05
2015-04-19,0.053255,0.054871,0.053255,0.054749,361.0,-1,0.05
2015-04-20,0.05471,0.056167,0.053415,0.055322,335.0,-1,0.05
2015-04-21,0.055328,0.059844,0.054033,0.059841,410.0,-1,0.06
2015-04-22,0.059851,0.070365,0.059851,0.06816,386.0,-1,0.07
2015-04-23,0.068142,0.076062,0.068142,0.076045,542.0,-1,0.07
2015-04-24,0.076045,0.080917,0.075738,0.079507,507.0,-1,0.08
2015-04-25,0.079488,0.083049,0.079488,0.082248,543.0,-1,0.08
2015-04-26,0.082238,0.087756,0.080943,0.087432,562.0,-1,0.08
2015-04-27,0.087429,0.117273,0.087429,0.117012,695.0,-1,0.1
2015-04-28,0.116997,0.145437,0.116997,0.145024,888.0,-1,0.13
2015-04-29,0.145016,0.14631,0.135801,0.140763,847.0,-1,0.14
2015-04-30,0.140755,0.140755,0.122108,0.12942,800.0,-1,0.13
2015-05-01,0.129406,0.129581,0.129277,0.129277,4821.0,-1,0.13
