Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-01-28,0.000315,0.000341,0.00022,0.000256,123.0,1901.0,0.0
2015-01-29,0.000256,0.000268,0.000214,0.000244,5.0,1560.0,0.0
2015-01-30,0.000243,0.000261,0.000223,0.000251,42.0,1504.0,0.0
2015-01-31,0.000251,0.000255,0.000206,0.000207,16.0,1569.0,0.0
2015-02-01,0.000206,0.000253,0.000206,0.000252,61.0,1305.0,0.0
2015-02-02,0.000251,0.000258,0.00021,0.000222,37.0,1608.0,0.0
2015-02-03,0.000221,0.000267,0.000214,0.000221,37.0,1435.0,0.0
2015-02-04,0.000221,0.000253,0.000122,0.000197,71.0,1450.0,0.0
2015-02-05,0.000197,0.000215,0.000148,0.000209,59.0,1307.0,0.0
2015-02-06,0.000209,0.000216,0.000143,0.000211,25.0,1402.0,0.0
2015-02-07,0.000211,0.000212,0.00015,0.00015,15.0,1433.0,0.0
2015-02-08,0.00015,0.000195,0.000147,0.000162,35.0,1030.0,0.0
2015-02-09,0.000162,0.000183,0.000127,0.000183,8.0,1122.0,0.0
2015-02-10,0.000183,0.000186,0.000146,0.000172,3.0,1284.0,0.0
2015-02-11,0.000172,0.000173,9.8e-05,0.00011,11.0,1218.0,0.0
2015-02-12,0.00011,0.000168,5.7e-05,0.000168,10.0,785.0,0.0
2015-02-13,0.000168,0.000175,0.00011,0.000156,8.0,1217.0,0.0
2015-02-14,0.000156,0.000173,0.000119,0.000172,7.0,1138.0,0.0
2015-02-15,0.000172,0.000207,0.000158,0.00019,67.0,1273.0,0.0
2015-02-16,0.00019,0.000194,0.000185,0.000189,21.0,1414.0,0.0
2015-02-17,0.000189,0.000197,0.000165,0.000197,6.0,1422.0,0.0
2015-02-18,0.000197,0.000198,0.000188,0.000191,13.0,1503.0,0.0
2015-02-19,0.000191,0.000204,0.000163,0.000202,28.0,1470.0,0.0
2015-02-20,0.000202,0.000205,0.000191,0.000195,6.0,1566.0,0.0
