Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-14,0.007329,0.007337,0.00732,0.007322,3228.0,-1,0.01
2016-09-15,0.007321,0.007321,0.00547,0.00547,466.0,-1,0.01
2016-09-16,0.005471,0.00548,0.00364,0.003642,22.0,-1,0.0
2016-09-17,0.003643,0.005105,0.002424,0.003787,471.0,-1,0.0
2016-09-18,0.003789,0.003809,0.003787,0.003808,14.0,-1,0.0
2016-09-19,0.002528,0.002529,0.002526,0.002528,1.0,-1,0.0
2016-09-20,0.002528,0.00253,0.000426,0.000602,216.0,-1,0.0
2016-09-21,0.000598,0.000598,0.00015,0.000203,140.0,-1,0.0
2016-09-22,0.000203,0.000261,0.000132,0.000177,173.0,-1,0.0
2016-09-23,0.000177,0.000427,5.7e-05,0.000172,1604.0,-1,0.0
2016-09-24,0.000172,0.000174,0.000103,0.000108,280.0,-1,0.0
2016-09-25,0.000108,0.000116,9.4e-05,9.4e-05,17.0,-1,0.0
2016-09-26,9.4e-05,0.000124,9.4e-05,0.000106,52.0,-1,0.0
2016-09-27,0.000106,0.000106,6.4e-05,7.7e-05,88.0,-1,0.0
2016-09-28,7.7e-05,8.4e-05,5.4e-05,5.8e-05,92.0,-1,0.0
2016-09-29,5.8e-05,7.2e-05,3.5e-05,6e-05,61.0,-1,0.0
2016-09-30,6e-05,7.4e-05,5.8e-05,7e-05,45.0,-1,0.0
2016-10-01,7e-05,7.4e-05,4.4e-05,7.4e-05,47.0,-1,0.0
2016-10-02,7.4e-05,8.6e-05,6.4e-05,7e-05,18.0,-1,0.0
2016-10-03,7e-05,7.3e-05,3.8e-05,3.8e-05,15.0,-1,0.0
2016-10-04,3.8e-05,4.3e-05,3.2e-05,3.2e-05,43.0,-1,0.0
2016-10-05,3.2e-05,4.9e-05,2.5e-05,4.9e-05,31.0,-1,0.0
2016-10-06,4.9e-05,5.5e-05,1.3e-05,3.7e-05,125.0,-1,0.0
2016-10-07,3.7e-05,5e-05,3.2e-05,5e-05,4.0,-1,0.0
2016-10-08,5e-05,6.7e-05,3.7e-05,3.7e-05,25.0,-1,0.0
2016-10-09,3.7e-05,4.3e-05,3.4e-05,3.4e-05,7.0,-1,0.0
2016-10-10,3.4e-05,4.3e-05,2.5e-05,4.3e-05,109.0,-1,0.0
2016-10-11,4.3e-05,4.5e-05,1.9e-05,1.9e-05,264.0,-1,0.0
2016-10-12,1.9e-05,3.6e-05,1.9e-05,3.5e-05,50.0,-1,0.0
2016-10-13,3.5e-05,3.5e-05,2.6e-05,2.6e-05,41.0,-1,0.0
2016-10-14,2.6e-05,0.000128,2.5e-05,0.000128,29.0,-1,0.0
2016-10-15,0.000128,0.000128,5.3e-05,5.7e-05,56.0,-1,0.0
2016-10-16,5.7e-05,5.7e-05,1.9e-05,1.9e-05,21.0,-1,0.0
2016-10-17,1.9e-05,6.4e-05,1.9e-05,6.3e-05,4.0,-1,0.0
2016-10-18,6.3e-05,6.3e-05,4.5e-05,4.5e-05,4.0,-1,0.0
2016-10-19,4.5e-05,4.5e-05,4.1e-05,4.1e-05,1.0,-1,0.0
2016-10-20,4.1e-05,4.5e-05,3.1e-05,4.5e-05,7.0,-1,0.0
2016-10-21,4.5e-05,6.3e-05,4.4e-05,4.4e-05,0.0,-1,0.0
2016-10-22,4.4e-05,4.6e-05,4.4e-05,4.6e-05,0.0,-1,0.0
2016-10-23,4e-05,4e-05,3.9e-05,3.9e-05,1.0,-1,0.0
2016-10-24,3.9e-05,5.9e-05,3.9e-05,5.9e-05,2.0,-1,0.0
2016-10-25,5.9e-05,5.9e-05,2.6e-05,2.6e-05,5.0,-1,0.0
2016-10-26,2.6e-05,4.1e-05,2.6e-05,4.1e-05,0.0,-1,0.0
2016-10-27,4.1e-05,4.2e-05,4.1e-05,4.2e-05,4.0,-1,0.0
2016-10-28,4.2e-05,4.8e-05,4.2e-05,4.8e-05,1.0,-1,0.0
2016-10-29,4.8e-05,4.9e-05,3.6e-05,3.6e-05,0.0,-1,0.0
2016-10-30,3.6e-05,4e-05,2.2e-05,3.5e-05,4.0,-1,0.0
2016-10-31,3.5e-05,3.5e-05,3.5e-05,3.5e-05,4.0,-1,0.0
2016-11-01,3.5e-05,3.6e-05,3.5e-05,3.6e-05,4.0,-1,0.0
2016-11-02,4.4e-05,4.4e-05,4.3e-05,4.4e-05,0.0,-1,0.0
2016-11-03,4.5e-05,4.5e-05,4.1e-05,4.1e-05,0.0,-1,0.0
2016-11-04,4.1e-05,4.2e-05,4.1e-05,4.1e-05,0.0,-1,0.0
2016-11-05,4.2e-05,4.2e-05,2.8e-05,2.8e-05,1.0,-1,0.0
2016-11-06,2.8e-05,4.3e-05,2.8e-05,4.3e-05,4.0,-1,0.0
2016-11-07,4.3e-05,4.9e-05,2.9e-05,3e-05,5.0,-1,0.0
