Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-03-01,1.3e-05,1.7e-05,9e-06,1.3e-05,386.0,2576.0,0.0
2016-03-02,1.3e-05,1.7e-05,4e-06,1.3e-05,165.0,2605.0,0.0
2016-03-03,1.3e-05,1.3e-05,4e-06,8e-06,345.0,2763.0,0.0
2016-03-04,8e-06,9e-06,4e-06,8e-06,69.0,2376.0,0.0
2016-03-05,8e-06,8e-06,4e-06,4e-06,147.0,2504.0,0.0
2016-03-06,4e-06,8e-06,4e-06,8e-06,8.0,1277.0,0.0
2016-03-07,8e-06,8e-06,4e-06,4e-06,41.0,2801.0,0.0
2016-03-08,4e-06,8e-06,4e-06,4e-06,69.0,1681.0,0.0
2016-03-09,4e-06,8e-06,4e-06,4e-06,43.0,2152.0,0.0
2016-03-10,4e-06,8e-06,4e-06,4e-06,162.0,2394.0,0.0
2016-03-11,4e-06,8e-06,4e-06,4e-06,76.0,2541.0,0.0
2016-03-12,4e-06,4e-06,4e-06,4e-06,34.0,2840.0,0.0
2016-03-13,4e-06,4e-06,4e-06,4e-06,1.0,3313.0,0.0
2016-03-14,4e-06,4e-06,4e-06,4e-06,1.0,4091.0,0.0
2016-03-15,4e-06,4e-06,4e-06,4e-06,2.0,4302.0,0.0
2016-03-16,4e-06,4e-06,4e-06,4e-06,46.0,4307.0,0.0
2016-03-17,4e-06,8e-06,4e-06,8e-06,203.0,5783.0,0.0
2016-03-18,8e-06,8e-06,4e-06,4e-06,68.0,11832.0,0.0
2016-03-19,4e-06,8e-06,4e-06,4e-06,1.0,5757.0,0.0
2016-03-20,4e-06,8e-06,4e-06,4e-06,79.0,5773.0,0.0
2016-03-21,4e-06,8e-06,4e-06,8e-06,13.0,5815.0,0.0
2016-03-22,8e-06,8e-06,4e-06,4e-06,37.0,11623.0,0.0
2016-03-23,4e-06,8e-06,4e-06,8e-06,87.0,5882.0,0.0
2016-03-24,8e-06,8e-06,4e-06,4e-06,35.0,11772.0,0.0
2016-03-25,4e-06,8e-06,4e-06,4e-06,13.0,5859.0,0.0
2016-03-26,4e-06,8e-06,4e-06,4e-06,22.0,5871.0,0.0
2016-03-27,4e-06,4e-06,4e-06,4e-06,1.0,5882.0,0.0
2016-03-28,4e-06,4e-06,4e-06,4e-06,0.0,8056.0,0.0
2016-03-29,4e-06,4e-06,4e-06,4e-06,29.0,8014.0,0.0
2016-03-30,4e-06,4e-06,4e-06,4e-06,21.0,7873.0,0.0
2016-03-31,4e-06,4e-06,4e-06,4e-06,1.0,7843.0,0.0
2016-04-01,4e-06,4e-06,4e-06,4e-06,0.0,7871.0,0.0
