Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-08-12,0.013826,0.013897,0.009226,0.011175,48504.0,-1.0,0.01
2016-08-13,0.011171,0.016318,0.008483,0.014405,156217.0,1095050.0,0.01
2016-08-14,0.014405,0.033588,0.013431,0.02396,603562.0,1412140.0,0.02
2016-08-15,0.024023,0.027224,0.019404,0.024511,221564.0,2355090.0,0.02
2016-08-16,0.023893,0.031045,0.022763,0.028699,218752.0,2342370.0,0.03
2016-08-17,0.02831,0.030283,0.024678,0.027411,153193.0,2775420.0,0.03
2016-08-18,0.02736,0.027938,0.02085,0.02399,121468.0,2682320.0,0.02
2016-08-19,0.02468,0.024977,0.019231,0.020717,68362.0,2419540.0,0.02
2016-08-20,0.020733,0.022651,0.019495,0.020357,36074.0,2032670.0,0.02
2016-08-21,0.02054,0.021267,0.019723,0.020555,17146.0,2013740.0,0.02
2016-08-22,0.020654,0.023463,0.020379,0.021984,40105.0,2024960.0,0.02
2016-08-23,0.021985,0.023075,0.019797,0.022228,117115.0,2155460.0,0.02
2016-08-24,0.022228,0.022234,0.020301,0.02095,26100.0,2179290.0,0.02
2016-08-25,0.02095,0.021053,0.016875,0.018488,35593.0,2054090.0,0.02
2016-08-26,0.018488,0.02432,0.018065,0.021864,50463.0,1812710.0,0.02
2016-08-27,0.022749,0.027015,0.021072,0.023835,78507.0,2230530.0,0.02
2016-08-28,0.02338,0.025276,0.020146,0.021103,52311.0,2292440.0,0.02
2016-08-29,0.021109,0.023414,0.020138,0.021121,37867.0,2069720.0,0.02
2016-08-30,0.021179,0.021537,0.020227,0.020241,13575.0,2076630.0,0.02
2016-08-31,0.020245,0.022638,0.020113,0.021287,24222.0,1985060.0,0.02
2016-09-01,0.021289,0.022687,0.020624,0.02209,16398.0,2087530.0,0.02
2016-09-02,0.022095,0.0248,0.021984,0.023228,21842.0,2166520.0,0.02
2016-09-03,0.023228,0.023769,0.021618,0.023516,32279.0,2277710.0,0.02
