Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-10-30,0.00021,0.000308,0.000207,0.000259,628.0,-1.0,0.0
2015-10-31,0.00026,0.000671,0.000205,0.000396,295.0,5927.0,0.0
2015-11-01,0.000397,0.000624,0.00039,0.000602,179.0,9108.0,0.0
2015-11-02,0.000603,0.000617,0.000419,0.00061,554.0,13854.0,0.0
2015-11-03,0.000612,0.000648,0.000333,0.000359,78.0,14155.0,0.0
2015-11-04,0.000359,0.000446,0.000312,0.000337,25.0,8433.0,0.0
2015-11-05,0.000335,0.000366,0.000256,0.000336,26.0,7985.0,0.0
2015-11-06,0.000338,0.000414,0.000251,0.000255,28.0,8425.0,0.0
2015-11-07,0.000255,0.000371,0.000253,0.000259,27.0,6391.0,0.0
2015-11-08,0.000242,0.000343,0.000238,0.000238,6.0,6098.0,0.0
2015-11-09,0.00024,0.000298,0.000232,0.000297,6.0,6094.0,0.0
2015-11-10,0.000296,0.000328,0.000283,0.00029,0.0,7584.0,0.0
2015-11-11,0.000292,0.000293,0.000244,0.000277,9.0,7890.0,0.0
2015-11-12,0.00028,0.000307,0.000279,0.000294,2.0,8075.0,0.0
2015-11-13,0.000294,0.000297,0.000284,0.000289,1.0,8667.0,0.0
2015-11-14,0.000211,0.00029,0.000211,0.00022,70.0,6348.0,0.0
2015-11-15,0.00022,0.000221,0.0002,0.000202,14.0,6974.0,0.0
2015-11-16,0.000201,0.000233,0.000201,0.000222,3.0,6402.0,0.0
2015-11-17,0.000222,0.001415,0.000209,0.000405,763.0,7065.0,0.0
2015-11-18,0.000405,0.000975,0.00034,0.000679,141.0,13154.0,0.0
2015-11-19,0.000679,0.001313,0.000347,0.000968,336.0,22282.0,0.0
2015-11-20,0.000969,0.00097,0.000336,0.000528,898.0,31969.0,0.0
2015-11-21,0.000528,0.000528,0.000367,0.000369,100.0,17473.0,0.0
2015-11-22,0.000369,0.000416,0.000312,0.000409,78.0,12260.0,0.0
2015-11-23,0.000409,0.000409,0.000326,0.000326,0.0,13789.0,0.0
