Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-07-11,0.005188,0.012993,0.005188,0.008128,682.0,36654.0,0.01
2016-07-12,0.008136,0.025961,0.005206,0.009975,2212.0,57512.0,0.02
2016-07-13,0.009979,0.010002,0.007199,0.007199,748.0,70668.0,0.01
2016-07-14,0.007182,0.011808,0.005951,0.007239,3520.0,50958.0,0.01
2016-07-15,0.007251,0.021251,0.007249,0.013265,9701.0,51542.0,0.01
2016-07-16,0.013276,0.026438,0.013276,0.020015,7246.0,94541.0,0.02
2016-07-17,0.020052,0.025585,0.01748,0.023442,3079.0,143063.0,0.02
2016-07-18,0.023454,0.033033,0.017303,0.026612,2122.0,167643.0,0.03
2016-07-19,0.026598,0.038963,0.017365,0.03896,8468.0,190461.0,0.03
2016-07-20,0.038957,0.04934,0.026653,0.033357,8297.0,279483.0,0.04
2016-07-21,0.033334,0.137441,0.03325,0.072895,34675.0,239585.0,0.09
2016-07-22,0.072885,0.078837,0.02982,0.040613,16388.0,524814.0,0.05
2016-07-23,0.040619,0.061086,0.0406,0.060816,2152.0,293022.0,0.05
2016-07-24,0.060464,0.060494,0.020682,0.020699,6365.0,436967.0,0.04
2016-07-25,0.020699,0.032634,0.020699,0.029434,5425.0,149859.0,0.03
2016-07-26,0.02944,0.039248,0.024617,0.03254,1390.0,213537.0,0.03
2016-07-27,0.032532,0.036565,0.013138,0.016644,6015.0,236390.0,0.02
2016-07-28,0.016648,0.026226,0.015355,0.026201,1333.0,121190.0,0.02
2016-07-29,0.026204,0.039163,0.019156,0.024935,1274.0,191108.0,0.03
2016-07-30,0.024936,0.050707,0.024936,0.034923,8132.0,182192.0,0.04
2016-07-31,0.034926,0.03507,0.02648,0.026861,1719.0,255643.0,0.03
2016-08-01,0.026858,0.0373,0.022457,0.035451,3293.0,196939.0,0.03
2016-08-02,0.035458,0.035826,0.015945,0.016429,2430.0,260467.0,0.03
2016-08-03,0.016465,0.028662,0.016252,0.018123,2496.0,121169.0,0.02
2016-08-04,0.018122,0.020572,0.012553,0.020529,1752.0,133607.0,0.02
2016-08-05,0.020529,0.020529,0.01392,0.013941,612.0,151623.0,0.02
2016-08-06,0.01394,0.020711,0.013806,0.014694,8.0,103145.0,0.02
2016-08-07,0.014694,0.02509,0.014691,0.023998,172.0,108917.0,0.02
2016-08-08,0.023999,0.024383,0.013573,0.024115,1703.0,178210.0,0.02
2016-08-09,0.024114,0.024116,0.017609,0.022748,159.0,179390.0,0.02
2016-08-10,0.022742,0.023939,0.017252,0.017295,1674.0,169490.0,0.02
2016-08-11,0.017296,0.024471,0.017288,0.023977,1176.0,129136.0,0.02
2016-08-12,0.023964,0.024009,0.018413,0.018449,876.0,179270.0,0.02
2016-08-13,0.018443,0.023436,0.014791,0.023424,21096.0,138240.0,0.02
2016-08-14,0.023424,0.042785,0.01764,0.042785,8361.0,175931.0,0.03
2016-08-15,0.042787,0.042809,0.022906,0.023809,2018.0,321966.0,0.03
2016-08-16,0.023809,0.02704,0.023141,0.023144,120.0,179475.0,0.03
2016-08-17,0.028058,0.034837,0.023041,0.023057,1677.0,211872.0,0.03
2016-08-18,0.023077,0.040371,0.023074,0.039035,2758.0,174566.0,0.03
2016-08-19,0.039037,0.039053,0.025968,0.025968,3919.0,295822.0,0.03
2016-08-20,0.025988,0.034831,0.025833,0.025886,11389.0,197294.0,0.03
2016-08-21,0.025896,0.034954,0.025881,0.034533,24547.0,196941.0,0.03
2016-08-22,0.034533,0.034608,0.02579,0.034603,6041.0,263078.0,0.03
