Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-07-16,5.3e-05,7e-05,5.3e-05,6.7e-05,118.0,-1.0,0.0
2015-07-17,6.7e-05,8.7e-05,5.8e-05,8.7e-05,152.0,2579.0,0.0
2015-07-18,8.7e-05,0.000111,8.6e-05,9.6e-05,138.0,3346.0,0.0
2015-07-19,9.6e-05,9.6e-05,8.5e-05,8.5e-05,18.0,3768.0,0.0
2015-07-20,8.5e-05,0.000103,6.6e-05,0.000103,22.0,3322.0,0.0
2015-07-21,0.000103,0.000103,8e-06,6.1e-05,213.0,4043.0,0.0
2015-07-22,6.1e-05,9.4e-05,6e-05,6.7e-05,18.0,2370.0,0.0
2015-07-23,6.7e-05,9.5e-05,4.2e-05,8.6e-05,571.0,2602.0,0.0
2015-07-24,8.6e-05,9e-05,5.8e-05,8.9e-05,200.0,3353.0,0.0
2015-07-25,8.9e-05,9e-05,5.7e-05,5.8e-05,4.0,3501.0,0.0
2015-07-26,5.8e-05,8.5e-05,5.8e-05,8.2e-05,346.0,2262.0,0.0
2015-07-27,8.2e-05,8.8e-05,5.8e-05,7.3e-05,498.0,3211.0,0.0
2015-07-28,7.3e-05,8e-05,6.2e-05,6.5e-05,365.0,2877.0,0.0
2015-07-29,6.5e-05,8e-05,6.1e-05,6.1e-05,1.0,2539.0,0.0
2015-07-30,6.1e-05,6.3e-05,5.2e-05,5.2e-05,48.0,2379.0,0.0
2015-07-31,5.2e-05,5.4e-05,5.1e-05,5.4e-05,0.0,2030.0,0.0
2015-08-01,5.4e-05,5.4e-05,5.3e-05,5.3e-05,0.0,2120.0,0.0
2015-08-02,8e-06,4.2e-05,8e-06,4.2e-05,185.0,327.0,0.0
2015-08-03,4.2e-05,4.3e-05,2.8e-05,3.1e-05,9.0,1640.0,0.0
2015-08-04,3.1e-05,3.1e-05,2.3e-05,2.3e-05,7.0,1196.0,0.0
2015-08-05,2.3e-05,2.3e-05,2.3e-05,2.3e-05,7.0,881.0,0.0
2015-08-06,2.5e-05,6.1e-05,2.2e-05,6.1e-05,50.0,974.0,0.0
2015-08-07,6.1e-05,6.1e-05,3.9e-05,4.2e-05,95.0,2371.0,0.0
2015-08-08,4.2e-05,4.2e-05,3.1e-05,3.1e-05,1.0,1622.0,0.0
2015-08-09,3.1e-05,5.3e-05,3.1e-05,5.3e-05,171.0,1211.0,0.0
2015-08-10,5.3e-05,5.3e-05,4.2e-05,4.2e-05,116.0,2053.0,0.0
2015-08-11,4.2e-05,4.9e-05,4.2e-05,4.9e-05,1.0,1635.0,0.0
2015-08-12,4.9e-05,5.1e-05,3.2e-05,5.1e-05,3.0,1883.0,0.0
2015-08-13,5.1e-05,5.1e-05,3.4e-05,3.4e-05,2.0,1955.0,0.0
2015-08-14,3.4e-05,3.4e-05,3.4e-05,3.4e-05,2.0,1328.0,0.0
2015-08-15,3.2e-05,3.2e-05,3.1e-05,3.1e-05,3.0,1233.0,0.0
2015-08-16,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,1215.0,0.0
2015-08-17,3.1e-05,3.1e-05,3.1e-05,3.1e-05,1.0,1199.0,0.0
2015-08-18,3.1e-05,3.1e-05,3.1e-05,3.1e-05,0.0,1197.0,0.0
2015-08-19,2.8e-05,2.8e-05,2.2e-05,2.3e-05,4.0,1086.0,0.0
2015-08-20,2.3e-05,2.4e-05,2.3e-05,2.4e-05,7.0,877.0,0.0
2015-08-21,2.4e-05,2.4e-05,2.3e-05,2.3e-05,2.0,910.0,0.0
2015-08-23,2.5e-05,2.5e-05,2.5e-05,2.5e-05,0.0,968.0,0.0
2015-08-24,2.5e-05,4.1e-05,2.3e-05,4e-05,87.0,970.0,0.0
2015-08-25,4e-05,4.8e-05,3.8e-05,4.7e-05,71.0,1543.0,0.0
2015-08-26,4.7e-05,4.8e-05,4.2e-05,4.3e-05,10.0,1803.0,0.0
2015-08-27,4.3e-05,0.000107,2.2e-05,8.8e-05,910.0,1661.0,0.0
2015-08-28,8.8e-05,0.000114,6.8e-05,8.8e-05,436.0,3389.0,0.0
2015-08-29,8.8e-05,8.9e-05,5.7e-05,7.8e-05,158.0,3402.0,0.0
2015-08-30,7.8e-05,7.9e-05,2.3e-05,3e-05,128.0,3023.0,0.0
2015-08-31,3e-05,5.6e-05,2.9e-05,5.5e-05,1.0,1152.0,0.0
2015-09-01,5.5e-05,5.5e-05,5.4e-05,5.5e-05,0.0,2137.0,0.0
2015-09-02,3.2e-05,3.2e-05,3e-05,3e-05,2.0,1239.0,0.0
2015-09-03,3e-05,3e-05,2.5e-05,2.5e-05,1.0,1153.0,0.0
2015-09-04,2.5e-05,2.5e-05,2.1e-05,2.1e-05,14.0,970.0,0.0
2015-09-05,2.1e-05,2.1e-05,2.1e-05,2.1e-05,0.0,801.0,0.0
2015-09-06,2.1e-05,2.2e-05,1.4e-05,1.7e-05,7.0,818.0,0.0
2015-09-07,1.7e-05,1.7e-05,1.7e-05,1.7e-05,0.0,649.0,0.0
2015-09-12,1.7e-05,1.7e-05,1.6e-05,1.6e-05,2.0,649.0,0.0
2015-09-13,1.6e-05,1.7e-05,1.6e-05,1.6e-05,2.0,637.0,0.0
2015-09-14,1.6e-05,1.6e-05,1.6e-05,1.6e-05,2.0,628.0,0.0
2015-09-15,1.6e-05,1.8e-05,1.6e-05,1.6e-05,0.0,624.0,0.0
2015-09-16,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0,623.0,0.0
2015-09-22,1.4e-05,1.4e-05,1.4e-05,1.4e-05,0.0,529.0,0.0
2015-09-23,1.4e-05,1.4e-05,1.4e-05,1.4e-05,0.0,536.0,0.0
2015-09-29,1.4e-05,1.4e-05,1.2e-05,1.2e-05,10.0,550.0,0.0
2015-09-30,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2.0,458.0,0.0
2015-10-03,1.4e-05,1.4e-05,1.4e-05,1.4e-05,3.0,553.0,0.0
2015-10-04,1.4e-05,1.4e-05,1.4e-05,1.4e-05,3.0,553.0,0.0
2015-10-06,2.9e-05,0.000106,2.9e-05,0.000106,477.0,1117.0,0.0
2015-10-07,0.000106,0.000113,6.1e-05,6.6e-05,181.0,4092.0,0.0
2015-10-08,6.6e-05,9.3e-05,1.5e-05,3.4e-05,363.0,2537.0,0.0
2015-10-09,3.4e-05,3.7e-05,3.4e-05,3.7e-05,0.0,1312.0,0.0
2015-10-10,3.7e-05,3.7e-05,3.6e-05,3.7e-05,0.0,1414.0,0.0
2015-10-11,3.7e-05,3.7e-05,1.7e-05,1.7e-05,2.0,1420.0,0.0
2015-10-12,1.7e-05,1.7e-05,1.7e-05,1.7e-05,2.0,668.0,0.0
2015-10-13,1.2e-05,1.2e-05,1.2e-05,1.2e-05,5.0,481.0,0.0
2015-10-14,1.2e-05,1.3e-05,1.2e-05,1.3e-05,6.0,482.0,0.0
2015-10-16,1.6e-05,1.6e-05,1.6e-05,1.6e-05,0.0,613.0,0.0
2015-10-17,1.6e-05,2.7e-05,1.6e-05,2.7e-05,7.0,610.0,0.0
2015-10-18,2.7e-05,2.7e-05,2.1e-05,2.1e-05,0.0,1047.0,0.0
2015-10-19,2.1e-05,2.6e-05,2.1e-05,2.6e-05,0.0,809.0,0.0
2015-10-20,2.6e-05,2.6e-05,2.1e-05,2.2e-05,0.0,1019.0,0.0
2015-10-21,2.2e-05,2.2e-05,2.1e-05,2.1e-05,0.0,833.0,0.0
2015-10-22,1.9e-05,1.9e-05,1.9e-05,1.9e-05,4.0,722.0,0.0
2015-10-23,1.9e-05,3.3e-05,1.7e-05,3.3e-05,0.0,741.0,0.0
2015-10-24,3.3e-05,3.6e-05,1.1e-05,3.1e-05,33.0,1283.0,0.0
2015-10-25,3.1e-05,3.2e-05,8e-06,9e-06,1.0,1197.0,0.0
2015-10-26,9e-06,1.1e-05,8e-06,1.1e-05,0.0,329.0,0.0
2015-10-27,1.1e-05,2.1e-05,9e-06,9e-06,5.0,441.0,0.0
2015-10-28,9e-06,1.5e-05,9e-06,1.5e-05,0.0,341.0,0.0
