Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-04-25,0.017389,0.051891,0.003433,0.003433,4306.0,-1,0.03
2017-04-26,0.003432,0.013324,0.001335,0.002051,9580.0,-1,0.01
2017-04-27,0.001706,0.004556,0.001205,0.004556,1972.0,-1,0.0
2017-04-28,0.004601,0.023458,0.004601,0.020098,1550.0,-1,0.01
2017-04-29,0.020119,0.520713,0.020119,0.493672,2485.0,-1,0.27
2017-04-30,0.493396,0.53423,0.038491,0.290299,765.0,-1,0.29
2017-05-01,0.290633,0.463091,0.141051,0.213485,196.0,-1,0.3
2017-05-02,0.213399,0.290056,0.21141,0.21308,26.0,-1,0.25
2017-05-03,0.213221,0.215483,0.088904,0.089405,49.0,-1,0.15
2017-05-04,0.089443,0.128713,0.089443,0.092414,8.0,-1,0.11
2017-05-05,0.092606,0.096689,0.065691,0.074272,49.0,-1,0.08
2017-05-06,0.074336,0.094471,0.065597,0.065678,0.0,-1,0.08
2017-05-07,0.065706,0.117619,0.046955,0.112188,162.0,-1,0.08
2017-05-08,0.112203,0.299826,0.112203,0.299826,1549.0,-1,0.21
2017-05-09,0.29992,0.319009,0.29862,0.313622,5.0,-1,0.31
2017-05-10,0.061058,0.246951,0.058021,0.246003,37.0,-1,0.15
2017-05-11,0.246445,0.248783,0.152727,0.185924,16.0,-1,0.2
2017-05-12,0.186108,0.208563,0.152624,0.18681,2.0,-1,0.18
2017-05-13,0.186424,0.191759,0.065296,0.065622,5.0,-1,0.13
2017-05-14,0.065832,0.177252,0.065503,0.177035,14.0,-1,0.12
2017-05-15,0.177139,0.183682,0.168813,0.175501,5.0,-1,0.18
2017-05-16,0.175241,0.19266,0.038216,0.03828,52.0,-1,0.12
2017-05-17,0.038269,0.040425,0.037867,0.039966,15.0,-1,0.04
2017-05-18,0.055968,0.056636,0.055718,0.056537,45.0,-1,0.06
2017-05-19,0.05657,0.058674,0.041997,0.043221,67.0,-1,0.05
2017-05-20,0.043174,0.19248,0.043172,0.19238,104.0,-1,0.12
2017-05-21,0.192311,0.193118,0.075297,0.183456,605.0,-1,0.13
2017-05-22,0.184073,0.198123,0.0901,0.09402,9.0,-1,0.14
2017-05-23,0.093883,0.204181,0.088077,0.090359,2.0,-1,0.15
2017-05-24,0.090468,0.095871,0.090468,0.094241,45.0,-1,0.09
2017-05-25,0.094064,0.106836,0.084996,0.087286,44.0,-1,0.1
2017-05-26,0.086646,0.218437,0.086456,0.18098,671.0,-1,0.15
2017-05-27,0.181581,0.186374,0.039912,0.181023,4.0,-1,0.11
2017-05-28,0.182104,0.190886,0.113092,0.118102,377.0,-1,0.15
2017-05-29,0.117862,0.119028,0.018619,0.05233,9.0,-1,0.07
2017-05-30,0.052391,0.122398,0.050978,0.117805,178.0,-1,0.09
2017-05-31,0.118267,0.124836,0.080282,0.080282,4.0,-1,0.1
2017-06-01,0.080353,0.129523,0.060727,0.129523,0.0,-1,0.1
2017-06-02,0.129582,0.131119,0.038261,0.09557,18.0,-1,0.08
2017-06-03,0.095528,0.227578,0.066181,0.192836,799.0,-1,0.15
2017-06-04,0.192315,0.192315,0.082151,0.088036,734.0,-1,0.14
2017-06-05,0.088052,0.096194,0.088052,0.094037,495.0,-1,0.09
2017-06-06,0.094322,0.102367,0.082867,0.083112,424.0,-1,0.09
2017-06-07,0.083133,0.083343,0.070999,0.072285,5.0,-1,0.08
2017-06-08,0.072648,0.168344,0.070712,0.168344,483.0,-1,0.12
2017-06-09,0.168078,0.170388,0.097995,0.098278,626.0,-1,0.13
2017-06-10,0.098426,0.152697,0.076276,0.078256,344.0,-1,0.11
2017-06-11,0.07821,0.088982,0.044126,0.044323,0.0,-1,0.07
2017-06-12,0.178599,0.178678,0.108971,0.117164,17.0,-1,0.14
2017-06-13,0.116772,0.134108,0.06137,0.132208,18.0,-1,0.1
2017-06-14,0.132131,0.166856,0.132105,0.147424,1.0,-1,0.15
2017-06-15,0.147418,0.150236,0.133532,0.140575,1.0,-1,0.14
2017-06-17,0.067546,0.149631,0.059952,0.059952,55.0,-1,0.1
2017-06-18,0.059952,0.099895,0.059952,0.099895,0.0,-1,0.08
2017-06-19,0.099895,0.099895,0.047537,0.047537,47.0,-1,0.07
2017-06-20,0.047537,0.12485,0.047537,0.12485,5.0,-1,0.09
2017-06-21,0.119197,0.119197,0.032724,0.032724,0.0,-1,0.08
2017-06-22,0.032724,0.13739,0.032724,0.13739,555.0,-1,0.09
2017-06-23,0.13739,0.149418,0.120867,0.12108,3.0,-1,0.14
2017-06-24,0.121066,0.255944,0.121066,0.177312,624.0,-1,0.19
2017-06-25,0.176906,0.178614,0.076107,0.076952,338.0,-1,0.13
2017-06-26,0.076912,6.52,0.073722,6.52,797.0,-1,3.3
2017-06-27,6.66,6.66,0.126911,0.174168,772.0,-1,3.39
2017-06-28,0.175868,0.175868,0.084029,0.084593,43.0,-1,0.13
2017-06-29,0.084515,0.219177,0.075463,0.150072,215.0,-1,0.15
2017-06-30,0.150371,0.161032,0.107428,0.11825,8.0,-1,0.13
2017-07-01,0.118204,0.125677,0.08363,0.084352,2.0,-1,0.1
2017-07-02,0.084342,0.243312,0.083103,0.153293,736.0,-1,0.16
2017-07-03,0.152728,0.180659,0.076269,0.076269,103.0,-1,0.13
2017-07-04,0.076096,0.156302,0.076096,0.155153,16.0,-1,0.12
2017-07-05,0.155069,0.155069,0.15113,0.152453,5.0,-1,0.15
2017-07-06,0.077703,0.109274,0.077222,0.109057,2.0,-1,0.09
2017-07-07,0.109137,0.204969,0.109137,0.188388,219.0,-1,0.16
2017-07-08,0.188546,0.188546,0.074216,0.075905,16.0,-1,0.13
2017-07-09,0.104427,0.153831,0.102393,0.15312,7.0,-1,0.13
2017-07-10,0.153418,0.213439,0.122792,0.126265,191.0,-1,0.17
2017-07-11,0.125996,0.157138,0.099829,0.149601,41.0,-1,0.13
2017-07-12,0.149379,0.182972,0.107725,0.168657,542.0,-1,0.15
2017-07-13,0.168782,0.171102,0.082902,0.082902,98.0,-1,0.13
2017-07-14,0.082841,0.083223,0.064869,0.066561,21.0,-1,0.07
2017-07-15,0.081268,0.081268,0.068519,0.072803,130.0,-1,0.07
2017-07-16,0.072584,0.074956,0.061916,0.063604,10.0,-1,0.07
