Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-02-17,3.9e-05,8.2e-05,6e-06,4.4e-05,32743.0,443329.0,0.0
2014-02-18,4.4e-05,4.4e-05,6e-06,3.1e-05,10560.0,503233.0,0.0
2014-02-19,3.1e-05,0.000313,1.6e-05,3.7e-05,36280.0,359287.0,0.0
2014-02-20,3.7e-05,4.3e-05,2.2e-05,2.2e-05,8491.0,429574.0,0.0
2014-02-21,2.2e-05,6.5e-05,2.2e-05,3e-05,16382.0,255801.0,0.0
2014-02-22,3e-05,5.9e-05,2.6e-05,3.4e-05,13166.0,350589.0,0.0
2014-02-23,3.1e-05,3.8e-05,2.4e-05,2.4e-05,10500.0,355283.0,0.0
2014-02-24,2.4e-05,7.5e-05,1.7e-05,5.5e-05,183768.0,279060.0,0.0
2014-02-25,6e-05,6e-05,2.9e-05,4.1e-05,210044.0,691929.0,0.0
2014-02-26,3.6e-05,4.2e-05,2.8e-05,3.5e-05,15853.0,415544.0,0.0
2014-02-27,3.5e-05,4.1e-05,2.8e-05,3e-05,13198.0,406743.0,0.0
2014-02-28,3e-05,3.5e-05,2.2e-05,2.7e-05,5545.0,339997.0,0.0
2014-03-01,2.7e-05,2.9e-05,2.2e-05,2.7e-05,4146.0,309337.0,0.0
2014-03-02,2.7e-05,2.7e-05,1.7e-05,2.2e-05,3517.0,306177.0,0.0
2014-03-03,2.3e-05,2.9e-05,1.7e-05,2e-05,4827.0,259190.0,0.0
2014-03-04,2e-05,2.8e-05,8e-06,1.3e-05,7698.0,230914.0,0.0
2014-03-05,1.3e-05,2.4e-05,1.3e-05,1.7e-05,2894.0,153484.0,0.0
2014-03-06,1.7e-05,2.6e-05,1.7e-05,2.1e-05,1946.0,194933.0,0.0
2014-03-07,2.1e-05,2.6e-05,1.3e-05,1.9e-05,1952.0,241035.0,0.0
2014-03-08,1.9e-05,2.5e-05,1.2e-05,1.3e-05,1329.0,215397.0,0.0
2014-03-09,1.3e-05,2.5e-05,1.3e-05,1.3e-05,762.0,151543.0,0.0
2014-03-10,1.3e-05,1.9e-05,1.3e-05,1.7e-05,179.0,150297.0,0.0
2014-03-11,1.5e-05,2e-05,1.2e-05,1.3e-05,2204.0,173424.0,0.0
2014-03-12,1.3e-05,1.9e-05,1.3e-05,1.5e-05,369.0,145579.0,0.0
2014-03-15,1.1e-05,1.1e-05,6e-06,6e-06,2038.0,121073.0,0.0
2014-03-16,6e-06,1.3e-05,6e-06,6e-06,485.0,73203.0,0.0
2014-03-17,6e-06,1.9e-05,6e-06,1.2e-05,9697.0,72677.0,0.0
