Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2015-08-21,0.001348,0.001374,0.001045,0.001086,276.0,6125.0,0.0
2015-08-22,0.001291,0.001323,0.001068,0.001081,332.0,5887.0,0.0
2015-08-23,0.00108,0.003755,0.00108,0.003651,669.0,4943.0,0.0
2015-08-24,0.00365,0.004016,0.00217,0.003549,682.0,16760.0,0.0
2015-08-25,0.003542,0.003551,0.001273,0.001276,472.0,16323.0,0.0
2015-08-26,0.001279,0.002764,0.001279,0.002683,334.0,5917.0,0.0
2015-08-27,0.002685,0.00273,0.001808,0.002666,566.0,12468.0,0.0
2015-08-28,0.002665,0.002674,0.001563,0.001851,187.0,12418.0,0.0
2015-08-29,0.001852,0.003038,0.001755,0.003033,482.0,8663.0,0.0
2015-08-30,0.003035,0.003381,0.002275,0.003381,588.0,14242.0,0.0
2015-08-31,0.003386,0.003411,0.002356,0.003382,278.0,15949.0,0.0
2015-09-01,0.003385,0.003404,0.002315,0.00308,213.0,15999.0,0.0
2015-09-02,0.003078,0.004113,0.002291,0.002476,911.0,14603.0,0.0
2015-09-03,0.002477,0.004011,0.002474,0.002478,12.0,11790.0,0.0
2015-09-04,0.002478,0.004009,0.002478,0.00339,1234.0,11838.0,0.0
2015-09-05,0.003388,0.003444,0.002235,0.002968,1974.0,16242.0,0.0
2015-09-06,0.002966,0.003687,0.002174,0.00281,2544.0,14268.0,0.0
2015-09-07,0.002811,0.002972,0.002402,0.002418,442.0,13568.0,0.0
2015-09-08,0.002418,0.002488,0.001467,0.001749,1325.0,11713.0,0.0
2015-09-09,0.001747,0.001747,0.000908,0.001203,1472.0,8494.0,0.0
2015-09-10,0.001204,0.001221,0.000723,0.000723,373.0,5872.0,0.0
2015-09-11,0.000722,0.001309,0.000231,0.000793,674.0,3536.0,0.0
2015-09-12,0.000792,0.0008,0.000572,0.00068,56.0,3892.0,0.0
2015-09-13,0.00068,0.000682,0.000569,0.000643,107.0,3351.0,0.0
2015-09-14,0.000643,0.000671,0.000622,0.000623,27.0,3176.0,0.0
2015-09-15,0.000622,0.001032,0.000606,0.000723,116.0,3072.0,0.0
2015-09-16,0.000723,0.000997,0.000719,0.00087,102.0,3568.0,0.0
2015-09-17,0.00087,0.000917,0.000556,0.000811,291.0,4298.0,0.0
2015-09-18,0.000811,0.000907,0.000499,0.000722,58.0,4004.0,0.0
2015-09-19,0.000722,0.000922,0.000694,0.000921,92.0,3566.0,0.0
2015-09-20,0.000921,0.000922,0.000812,0.000812,19.0,4549.0,0.0
