Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-08-08,0.000318,0.000318,0.000317,0.000317,249.0,-1,0.0
2016-08-09,0.000317,0.000317,0.000106,0.000158,47.0,-1,0.0
2016-08-10,0.000158,0.000176,8.6e-05,0.000126,40.0,-1,0.0
2016-08-11,0.000126,0.000161,7.3e-05,0.000152,117.0,-1,0.0
2016-08-12,0.000152,0.000152,4e-05,5.7e-05,129.0,-1,0.0
2016-08-13,5.7e-05,7.4e-05,3.5e-05,3.9e-05,31.0,-1,0.0
2016-08-14,3.9e-05,3.9e-05,2.9e-05,3.4e-05,2.0,-1,0.0
2016-08-15,3.4e-05,4e-05,2.9e-05,3.4e-05,2.0,-1,0.0
2016-08-16,3.4e-05,6.9e-05,2.8e-05,5.7e-05,3.0,-1,0.0
2016-08-17,5.7e-05,6.4e-05,3.5e-05,6.2e-05,105.0,-1,0.0
2016-08-18,6.2e-05,7e-05,2.9e-05,2.9e-05,83.0,-1,0.0
2016-08-19,2.9e-05,4.6e-05,1.7e-05,1.7e-05,285.0,-1,0.0
2016-08-20,1.7e-05,3.5e-05,1.7e-05,2.3e-05,146.0,-1,0.0
2016-08-21,2.3e-05,6.4e-05,1.7e-05,6.4e-05,187.0,-1,0.0
2016-08-22,6.4e-05,0.00014,4.6e-05,0.0001,69.0,-1,0.0
2016-08-23,0.0001,0.000106,2.9e-05,6.4e-05,17.0,-1,0.0
2016-08-24,6.4e-05,6.4e-05,2.9e-05,3.5e-05,19.0,-1,0.0
2016-08-25,3.5e-05,5.8e-05,3.5e-05,3.5e-05,1.0,-1,0.0
2016-08-26,3.5e-05,5.8e-05,3.5e-05,5.2e-05,27.0,-1,0.0
2016-08-27,5.2e-05,5.2e-05,2.3e-05,2.8e-05,28.0,-1,0.0
2016-08-28,2.8e-05,4e-05,2.8e-05,4e-05,4.0,-1,0.0
2016-08-29,4e-05,4e-05,2.9e-05,2.9e-05,2.0,-1,0.0
2016-08-30,2.9e-05,2.9e-05,2.9e-05,2.9e-05,0.0,-1,0.0
