Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-08-30,0.000185,0.000202,0.000185,0.000196,1325.0,18469.0,0.0
2016-08-31,0.000196,0.000414,0.000184,0.000414,9581.0,19638.0,0.0
2016-09-01,0.000334,0.000513,0.000328,0.000389,14266.0,33382.0,0.0
2016-09-02,0.000389,0.000429,0.000373,0.00038,6550.0,38924.0,0.0
2016-09-03,0.00038,0.000443,0.000374,0.000401,1436.0,37987.0,0.0
2016-09-04,0.000401,0.000502,0.00034,0.00042,2693.0,40106.0,0.0
2016-09-05,0.00042,0.000434,0.000381,0.0004,3967.0,42021.0,0.0
2016-09-06,0.0004,0.000409,0.000359,0.000397,8506.0,40030.0,0.0
2016-09-07,0.000397,0.000405,0.000367,0.000399,387.0,39688.0,0.0
2016-09-08,0.0004,0.0004,0.000362,0.000388,3388.0,39953.0,0.0
2016-09-09,0.000388,0.000392,0.000374,0.000386,459.0,38835.0,0.0
2016-09-10,0.000374,0.000437,0.000373,0.000405,1060.0,37377.0,0.0
2016-09-11,0.000405,0.000425,0.000345,0.000346,3462.0,40524.0,0.0
2016-09-12,0.000346,0.000395,0.000346,0.000365,3216.0,34601.0,0.0
2016-09-13,0.000365,0.000409,0.000359,0.000408,11440.0,36497.0,0.0
2016-09-14,0.000408,0.000414,0.000384,0.000397,3560.0,40795.0,0.0
2016-09-15,0.000397,0.000403,0.000383,0.000395,253.0,39691.0,0.0
2016-09-16,0.000395,0.000396,0.000382,0.000382,232.0,39474.0,0.0
2016-09-17,0.000383,0.000395,0.000381,0.000388,27.0,38257.0,0.0
2016-09-18,0.000388,0.000396,0.000382,0.00039,294.0,38805.0,0.0
2016-09-19,0.00039,0.000391,0.000347,0.000372,188.0,39035.0,0.0
2016-09-20,0.000372,0.00042,0.000353,0.000401,3825.0,37168.0,0.0
2016-09-21,0.000398,0.000407,0.000221,0.000293,1706.0,39840.0,0.0
2016-09-22,0.000293,0.000299,0.000197,0.000197,613.0,29270.0,0.0
2016-09-23,0.000197,0.000294,0.000197,0.000265,3393.0,19677.0,0.0
2016-09-24,0.000265,0.000278,0.000217,0.000217,36.0,26533.0,0.0
2016-09-25,0.000217,0.000264,0.000198,0.00021,6887.0,21701.0,0.0
2016-09-26,0.000264,0.000265,0.000224,0.000255,2296.0,26439.0,0.0
2016-09-27,0.000255,0.000255,0.00023,0.000249,14.0,25541.0,0.0
2016-09-28,0.000249,0.000249,0.000242,0.000248,66.0,24859.0,0.0
2016-09-29,0.000248,0.000261,0.000236,0.000236,3066.0,24809.0,0.0
2016-09-30,0.000236,0.000272,0.000224,0.00025,5200.0,23626.0,0.0
2016-10-01,0.00025,0.000251,0.000232,0.000239,90.0,25011.0,0.0
2016-10-02,0.000239,0.000262,0.000238,0.000238,20.0,23947.0,0.0
2016-10-03,0.000238,0.000275,0.000238,0.000275,2676.0,23831.0,0.0
2016-10-04,0.000275,0.000281,0.000256,0.000256,3165.0,27546.0,0.0
2016-10-05,0.000256,0.000269,0.000238,0.000239,32.0,25633.0,0.0
2016-10-06,0.000239,0.000264,0.000239,0.000245,1.0,23890.0,0.0
2016-10-07,0.000245,0.000245,0.000239,0.000241,26.0,24508.0,0.0
2016-10-08,0.000241,0.000242,0.000235,0.000235,53.0,24080.0,0.0
2016-10-09,0.000235,0.000259,0.000234,0.000234,264.0,23533.0,0.0
2016-10-10,0.000234,0.00026,0.000234,0.00026,2.0,23441.0,0.0
2016-10-11,0.00026,0.000275,0.000249,0.000269,3295.0,26013.0,0.0
2016-10-12,0.000269,0.000294,0.000248,0.000261,7161.0,26930.0,0.0
2016-10-13,0.000261,0.000293,0.000242,0.000287,52.0,26082.0,0.0
2016-10-14,0.000287,0.000288,0.000248,0.00025,36.0,28661.0,0.0
2016-10-15,0.00025,0.000282,0.00025,0.000275,24.0,24980.0,0.0
2016-10-16,0.000275,0.000283,0.000263,0.000263,0.0,27468.0,0.0
2016-10-17,0.000263,0.000269,0.000255,0.000268,4.0,26320.0,0.0
2016-10-18,0.000269,0.000269,0.000254,0.000255,4.0,26861.0,0.0
2016-10-19,0.000255,0.000275,0.000251,0.000252,342.0,25531.0,0.0
2016-10-20,0.000252,0.000252,0.000239,0.00024,225.0,25232.0,0.0
2016-10-21,0.00024,0.000278,0.00024,0.000278,6.0,23978.0,0.0
2016-10-22,0.000278,0.00029,0.000263,0.000263,5.0,27851.0,0.0
2016-10-23,0.000263,0.000264,0.000262,0.000263,8.0,26311.0,0.0
2016-10-24,0.000263,0.000288,0.000261,0.000288,2.0,26293.0,0.0
2016-10-25,0.000288,0.000289,0.000249,0.000256,107.0,28783.0,0.0
2016-10-26,0.000256,0.000272,0.000256,0.000271,30.0,25656.0,0.0
2016-10-27,0.000271,0.000275,0.000259,0.000261,135.0,27135.0,0.0
2016-10-28,0.000262,0.000262,0.00026,0.000262,49.0,26163.0,0.0
2016-10-29,0.000262,0.000274,0.000262,0.000272,130.0,26238.0,0.0
2016-10-30,0.000272,0.000272,0.000231,0.000232,240.0,27157.0,0.0
2016-10-31,0.000232,0.000255,0.000228,0.000252,282.0,23168.0,0.0
2016-11-01,0.000252,0.000261,0.000232,0.000233,93.0,25242.0,0.0
2016-11-02,0.000234,0.000244,0.000232,0.000244,102.0,23360.0,0.0
2016-11-03,0.000245,0.000246,0.000224,0.000227,77.0,24504.0,0.0
2016-11-04,0.000227,0.000246,0.000226,0.000246,0.0,22748.0,0.0
2016-11-05,0.000246,0.000246,0.000223,0.000225,424.0,24620.0,0.0
2016-11-06,0.000225,0.000264,0.000225,0.000235,4.0,22529.0,0.0
2016-11-07,0.000235,0.00024,0.000232,0.000239,6.0,23487.0,0.0
2016-11-08,0.000239,0.00025,0.000239,0.000249,0.0,23914.0,0.0
2016-11-09,0.000248,0.000254,0.00023,0.000231,165.0,24852.0,0.0
2016-11-10,0.000231,0.000231,0.000228,0.000229,11.0,23138.0,0.0
2016-11-11,0.000229,0.00023,0.000229,0.000229,49.0,22905.0,0.0
2016-11-12,0.000229,0.000247,0.000225,0.000247,1.0,22944.0,0.0
2016-11-13,0.000247,0.000247,0.00022,0.000225,173.0,24685.0,0.0
2016-11-14,0.000225,0.000247,0.000224,0.000233,1.0,22472.0,0.0
2016-11-15,0.000233,0.000279,0.000227,0.000235,38.0,23273.0,0.0
2016-11-16,0.000235,0.000284,0.000234,0.000283,8.0,23491.0,0.0
2016-11-17,0.000283,0.000287,0.000251,0.000252,1.0,28289.0,0.0
2016-11-18,0.000252,0.000254,0.000239,0.000248,48.0,25202.0,0.0
2016-11-19,0.000248,0.00025,0.000246,0.000248,1.0,24811.0,0.0
2016-11-21,0.000244,0.000245,0.000244,0.000244,0.0,24407.0,0.0
2016-11-22,0.000244,0.000248,0.000243,0.000248,0.0,24403.0,0.0
2016-11-23,0.000248,0.000248,0.000244,0.000246,0.0,24803.0,0.0
2016-11-24,0.000246,0.000246,0.000242,0.000244,0.0,24580.0,0.0
2016-11-25,0.000244,0.000274,0.000242,0.000274,25.0,24438.0,0.0
2016-11-26,0.000274,0.000275,0.000272,0.000272,0.0,27450.0,0.0
2016-11-27,0.000249,0.000251,0.000249,0.000249,1.0,24950.0,0.0
